system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_1_2_LE07_171030_20000109,34.0,4614.0,4603.0,65.0,322,4854.78759765625,4538.8154296875,1.29451411524464E+07,788813.0,791355.0,5486595.0,6407300.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,0.0,12.56,12.61,87.39,48.5,98.92,1,157.4,68.6,LANDSAT_7,2000-01-09,947403733074,36534.32098379630,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000117,17.0,4689.0,4675.0,183.9,328,4985.4697265625,4445.01611328125,1.29451411524464E+07,961876.0,2636405.0,2879334.0,7169510.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,30.36,17.44,47.8,52.2,42.61,89.14,1,151.9,69.1,LANDSAT_5,2000-01-17,948093854035,36542.30849537040,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000124,3.0,5130.0,5130.0,39.2,104,5182.09716796875,5060.60791015625,1.29451411524464E+07,63891.0,328636.0,2737212.0,9619402.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,8.64,2.08,10.72,89.28,23.68,99.08,1,150.8,67.9,LANDSAT_5,2000-01-24,948699010416,36549.31261574070,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000202,22.0,4630.0,4639.0,26.5,790,4809.21142578125,4551.87451171875,1.29451411524464E+07,1739599.0,1827438.0,4676278.0,6181534.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,1.34,26.75,28.1,71.9,50.24,91.55,1,149.3,65.9,LANDSAT_5,2000-02-02,949476220397,36558.30810185190,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000210,8.0,3739.0,3745.0,15.5,173,3770.42822265625,3713.0791015625,1.29451411524464E+07,2916841.0,3020402.0,5678398.0,3986451.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,1.12,33.53,34.72,65.28,67.2,99.08,1,152.9,62.0,LANDSAT_7,2000-02-10,950168526305,36566.32090277780,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_172030_20000217,69.0,4116.0,4153.0,124.7,119,4254.30615234375,3801.876220703130,1.29451411524464E+07,3350800.0,3933662.0,2715230.0,6036359.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,8.7,50.4,59.16,40.84,51.36,75.63,1,151.9,59.7,LANDSAT_7,2000-02-17,950773695005,36573.32517361110,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000226,35.0,3453.0,3353.0,167.4,1260,3933.837646484380,3253.779296875,1.29451411524464E+07,1774178.0,3143616.0,2670388.0,6871247.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,23.55,30.52,54.07,45.93,44.91,61.35,1,150.9,56.6,LANDSAT_7,2000-02-26,951550920625,36582.32083333330,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000313,70.0,4769.0,4859.0,264.2,805,5182.09716796875,4227.81298828125,1.29451411524464E+07,4519950.0,6071328.0,797484.0,5816437.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,22.55,65.8,88.39,11.61,53.06,59.5,1,149.0,50.6,LANDSAT_7,2000-03-13,952933316626,36598.32078703700,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000328,21.0,3675.0,3670.0,63.1,1547,3843.781982421880,3551.55908203125,1.29451411524464E+07,1830231.0,2343754.0,4199820.0,6141676.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4161.0,7.84,27.97,35.82,64.18,50.55,52.43,1,141.6,46.6,LANDSAT_5,2000-03-28,954228593509,36613.312418981500,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,4277.0,3605.0,853.4,1135,5433.3310546875,3092.741943359380,1.29451411524464E+07,704954.0,785442.0,1.0137785E+07,1762023.0,COP-30m,942662,12.945141152446400,G042432E43372N,Ulluchiran,5600.6504,3031.4175,4400.0,0.73,6.45,7.19,92.81,84.38,88.9,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
