system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,4089.0,4085.0,18.7,141,4125.193359375,4055.0751953125,9426791.66011348,14169.0,14169.0,9256954.0,13618.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,0.0,0.15,0.15,99.85,98.35,100.08,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000515,27.0,5453.0,5456.0,38.0,315,5525.35009765625,5378.6171875,9426791.66011348,95874.0,100731.0,8670943.0,513067.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,0.06,1.09,1.15,98.85,93.05,94.83,1,132.1,31.7,LANDSAT_5,2000-05-15,958375880065,36661.313425925924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_172030_20000523,36.0,5423.0,5436.0,43.0,307,5494.2353515625,5336.13916015625,9426791.66011348,111727.0,3302035.0,160013.0,5822693.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,4.79,3.23,95.38,4.62,36.73,41.32,1,136.4,28.3,LANDSAT_7,2000-05-23,959068052076,36669.32467592593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,5417.0,5420.0,47.0,471,5545.1943359375,5341.06494140625,9426791.66011348,144546.0,165733.0,9081247.0,37760.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,0.23,1.56,1.79,98.21,98.09,100.04,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,4068.0,4116.0,206.3,667,4296.70703125,3558.809326171875,9426791.66011348,151903.0,166267.0,4931956.0,4186517.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,0.28,2.98,3.26,96.74,54.08,55.65,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000616,3.0,3359.0,3358.0,23.0,503,3402.682861328125,3317.8798828125,9426791.66011348,150180.0,156150.0,9104089.0,24501.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,0.06,1.62,1.69,98.31,98.23,100.08,1,125.4,28.8,LANDSAT_5,2000-06-16,961140715847,36693.31383101852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3844.0,3840.0,6.1,33,3857.964111328125,3837.614013671875,9426791.66011348,148519.0,6788042.0,501812.0,1994886.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,0.54,2.04,93.12,6.88,77.33,100.08,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3334.0,3369.0,126.9,882,3520.894775390625,3109.611083984375,9426791.66011348,526835.0,5234581.0,801770.0,3248390.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,1.69,8.73,86.72,13.28,64.03,97.78,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_172030_20000710,9.0,4268.0,4283.0,38.0,167,4330.84814453125,4170.79443359375,9426791.66011348,1041015.0,5505346.0,454871.0,3324523.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,5049.0,1.71,17.47,92.37,7.63,63.23,100.08,1,130.9,28.2,LANDSAT_7,2000-07-10,963215224351,36717.32435185185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3417.0,3407.0,139.0,1529,3620.853271484375,3134.403076171875,9426791.66011348,944770.0,1013537.0,8070142.0,201062.0,COP-30m,942669,9.42679166011348,G042449E43302N,Azay Maliy,5603.3604,3099.1187,4400.0,0.76,10.4,11.16,88.84,96.36,98.91,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
