system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,2995.0,2997.0,6.8,50,3006.230712890625,2976.361572265625,8062019.65933495,6713.0,9272.0,7865292.0,13235.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,0.03,0.09,0.12,99.88,97.67,99.36,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000515,27.0,5491.0,5483.0,27.6,47,5531.98193359375,5443.70751953125,8062019.65933495,14255.0,18998.0,6329020.0,1539781.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,0.07,0.22,0.3,99.7,78.74,80.75,1,132.1,31.7,LANDSAT_5,2000-05-15,958375880065,36661.313425925924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_172030_20000523,36.0,3256.0,3251.0,13.0,8,3279.68115234375,3246.936279296875,8062019.65933495,25439.0,4096740.0,75840.0,3715219.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,1.8,0.61,98.18,1.82,51.76,55.18,1,136.4,28.3,LANDSAT_7,2000-05-23,959068052076,36669.32467592593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,5552.0,5595.0,55.5,124,5610.0576171875,5464.3837890625,8062019.65933495,29122.0,60809.0,7797910.0,29080.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,0.4,0.37,0.77,99.23,97.48,99.28,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,3321.0,3322.0,9.9,452,3336.68310546875,3287.28076171875,8062019.65933495,315569.0,346581.0,5126082.0,2415137.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,0.56,5.77,6.33,93.67,67.88,69.62,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000616,3.0,3097.0,3050.0,102.3,273,3305.099609375,3005.975341796875,8062019.65933495,134860.0,147179.0,7701045.0,39575.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,0.16,1.72,1.88,98.12,97.35,99.41,1,125.4,28.8,LANDSAT_5,2000-06-16,961140715847,36693.31383101852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3087.0,3048.0,141.9,189,3545.6044921875,3016.79345703125,8062019.65933495,154517.0,6232359.0,314007.0,1341433.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,0.99,2.36,95.2,4.8,81.2,99.41,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3300.0,3296.0,34.0,631,3395.551025390625,3231.08837890625,8062019.65933495,435167.0,5730552.0,503769.0,1653478.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,1.21,6.98,91.92,8.08,77.33,98.1,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_172030_20000710,9.0,3339.0,3334.0,110.7,2190,3653.789794921875,3080.403076171875,8062019.65933495,596442.0,4879085.0,732801.0,2275914.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,1.78,10.63,86.94,13.06,69.61,99.41,1,130.9,28.2,LANDSAT_7,2000-07-10,963215224351,36717.32435185185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3403.0,3397.0,88.1,1796,3552.471435546875,3244.274658203125,8062019.65933495,761392.0,800897.0,6986115.0,100787.0,COP-30m,942711,8.06201965933495,G042488E43308N,Terskol,5605.257,2951.0845,4400.0,0.51,9.78,10.29,89.71,96.59,98.86,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
