system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,3515.0,3515.0,13.1,47,3540.946533203125,3488.19677734375,8115653.864741264,15382.0,15517.0,7805188.0,64796.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,0.0,0.2,0.2,99.8,96.37,100.18,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000515,27.0,3489.0,3490.0,6.2,76,3500.1025390625,3472.325927734375,8115653.864741264,16856.0,16856.0,7732484.0,136161.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,0.0,0.22,0.22,99.78,95.49,99.24,1,132.1,31.7,LANDSAT_5,2000-05-15,958375880065,36661.313425925924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_172030_20000523,36.0,3975.0,3999.0,110.1,149,4084.454833984375,3699.38720703125,8115653.864741264,279108.0,5474405.0,376204.0,2034891.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,4.76,4.77,93.57,6.43,72.09,85.14,1,136.4,28.3,LANDSAT_7,2000-05-23,959068052076,36669.32467592593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,3604.0,3607.0,17.6,33,3639.576171875,3583.09716796875,8115653.864741264,14024.0,15685.0,7781804.0,88012.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,0.02,0.18,0.2,99.8,96.08,100.18,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000531,72.0,3513.0,3514.0,13.9,38,3540.946533203125,3488.19677734375,8115653.864741264,13973.0,15616.0,7803857.0,66028.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,0.02,0.18,0.2,99.8,96.35,100.1,1,128.2,29.4,LANDSAT_5,2000-05-31,959758295339,36677.31359953704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,4117.0,4114.0,24.5,113,4192.43798828125,4080.2236328125,8115653.864741264,24807.0,28282.0,2543694.0,5313524.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,0.14,0.96,1.1,98.9,31.69,31.76,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000616,3.0,2980.0,2983.0,30.3,131,3024.683837890625,2919.71630859375,8115653.864741264,67117.0,78550.0,7668775.0,138175.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,0.15,0.87,1.01,98.99,95.46,100.36,1,125.4,28.8,LANDSAT_5,2000-06-16,961140715847,36693.31383101852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,0,0,0,0,0,0,8115653.864741264,53027.0,2778603.0,975788.0,4131109.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,0.95,1.41,74.01,25.99,46.26,100.36,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,0,0,0,0,0,0,8115653.864741264,232921.0,2121569.0,1049883.0,4714048.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,3.06,7.34,66.9,33.1,39.08,97.42,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_172030_20000710,9.0,3064.0,3060.0,16.5,110,3095.238037109375,3032.30615234375,8115653.864741264,336283.0,2116676.0,1360168.0,4408656.0,COP-30m,942715,8.115653864741263,G042497E43168N,Kvishi,4387.265,2662.97,4400.0,2.41,9.67,60.88,39.12,42.84,100.36,1,130.9,28.2,LANDSAT_7,2000-07-10,963215224351,36717.32435185185,"{""type"":""MultiPoint"",""coordinates"":[]}"
