system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_1_2_LE07_171030_20000109,34.0,3493.0,3506.0,34.8,223,3534.7568359375,3413.9677734375,1.1308957415762702E7,84339.0,84339.0,9690311.0,1315879.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.0,0.86,0.86,99.14,86.43,89.22,1,157.4,68.6,LANDSAT_7,2000-01-09,947403733074,36534.32098379629,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000117,17.0,3425.0,3414.0,40.2,227,3511.919677734375,3379.76123046875,1.1308957415762702E7,70065.0,76781.0,1.061177E7,401977.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.06,0.66,0.72,99.28,94.51,96.76,1,151.9,69.1,LANDSAT_5,2000-01-17,948093854035,36542.30849537037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000124,3.0,3389.0,3389.0,3.5,50,3397.55029296875,3381.68408203125,1.1308957415762702E7,28262.0,28262.0,2217510.0,8844756.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.0,1.26,1.26,98.74,19.86,100.23,1,150.8,67.9,LANDSAT_5,2000-01-24,948699010416,36549.31261574074,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000202,22.0,3427.0,3408.0,42.7,204,3511.919677734375,3374.751708984375,1.1308957415762702E7,46405.0,49743.0,9390337.0,1650448.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.04,0.49,0.53,99.47,83.47,85.99,1,149.3,65.9,LANDSAT_5,2000-02-02,949476220397,36558.30810185185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000210,8.0,3455.0,3460.0,33.7,143,3511.362060546875,3394.201904296875,1.1308957415762702E7,45679.0,47967.0,8342137.0,2700424.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.03,0.54,0.57,99.43,74.19,100.23,1,152.9,62.0,LANDSAT_7,2000-02-10,950168526305,36566.32090277778,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000305,4.0,3777.0,3777.0,13.8,73,3797.10986328125,3755.045654296875,1.1308957415762702E7,15088.0,15094.0,9698844.0,1376590.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.0,0.16,0.16,99.84,85.9,100.23,1,144.7,55.5,LANDSAT_5,2000-03-05,952240960801,36590.30740740741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000312,62.0,3773.0,3770.0,9.9,71,3794.115478515625,3759.636474609375,1.1308957415762702E7,5717.0,6262.0,9479460.0,1604807.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.01,0.06,0.07,99.93,83.88,86.45,1,143.8,52.8,LANDSAT_5,2000-03-12,952846148757,36597.311898148146,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000328,21.0,0,0,0,0,0,0,1.1308957415762702E7,1745.0,1745.0,5537095.0,5551688.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.0,0.03,0.03,99.97,48.98,50.5,1,141.6,46.6,LANDSAT_5,2000-03-28,954228593509,36613.312418981484,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,2682.0,2671.0,21.0,169,2726.971923828125,2655.406982421875,1.1308957415762702E7,30561.0,38709.0,1.1014974E7,36845.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.07,0.28,0.35,99.65,97.74,99.72,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000515,27.0,2683.0,2672.0,19.8,178,2726.971923828125,2659.773681640625,1.1308957415762702E7,40741.0,57949.0,9287610.0,1744969.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.18,0.44,0.62,99.38,82.64,84.75,1,132.1,31.7,LANDSAT_5,2000-05-15,958375880065,36661.313425925924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_172030_20000523,36.0,3824.0,3859.0,64.5,322,3891.12060546875,3729.06640625,1.1308957415762702E7,118772.0,7330069.0,224647.0,3535813.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,2.41,1.57,97.03,2.97,66.8,70.83,1,136.4,28.3,LANDSAT_7,2000-05-23,959068052076,36669.32467592593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,2775.0,2773.0,40.8,420,2874.36328125,2680.148193359375,1.1308957415762702E7,57206.0,120786.0,1.0940108E7,29634.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.57,0.52,1.09,98.91,97.81,99.75,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000531,72.0,3901.0,3886.0,28.1,136,3962.998046875,3865.3642578125,1.1308957415762702E7,19391.0,36196.0,4829579.0,6224754.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.35,0.4,0.74,99.26,43.03,40.73,1,128.2,29.4,LANDSAT_5,2000-05-31,959758295339,36677.31359953704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,2804.0,2805.0,30.9,250,2882.17138671875,2752.1005859375,1.1308957415762702E7,177311.0,207874.0,1.0155333E7,727322.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,0.29,1.71,2.01,97.99,91.64,94.23,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000616,3.0,3019.0,3021.0,38.2,407,3073.1064453125,2922.01953125,1.1308957415762702E7,244128.0,381405.0,1.0667632E7,41492.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,1.24,2.21,3.45,96.55,97.7,100.23,1,125.4,28.8,LANDSAT_5,2000-06-16,961140715847,36693.31383101852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3049.0,3047.0,75.0,469,3555.172119140625,2920.848388671875,1.1308957415762702E7,260702.0,7457626.0,479092.0,3153811.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4400.0,2.11,3.28,93.96,6.04,70.18,100.23,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3832.0,3830.0,12.2,70,3880.21044921875,3821.314697265625,1.1308957415762702E7,1157254.0,6247099.0,401872.0,4441557.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,5174.0,3.41,17.41,93.96,6.04,58.79,99.14,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_172030_20000710,9.0,3463.0,3414.0,158.5,94,3825.374267578125,3379.14697265625,1.1308957415762702E7,787755.0,6313263.0,572094.0,4205171.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,5053.0,4.68,11.44,91.69,8.31,60.88,100.23,1,130.9,28.2,LANDSAT_7,2000-07-10,963215224351,36717.32435185185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3270.0,3255.0,64.4,1216,3459.42333984375,3188.94384765625,1.1308957415762702E7,1790682.0,2037880.0,8931492.0,121157.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,5072.0,2.25,16.32,18.58,81.42,97.0,99.83,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000719,70.0,3451.0,3442.0,57.1,883,3967.6806640625,3371.91259765625,1.1308957415762702E7,2572577.0,3650787.0,1387968.0,6051773.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4773.0,5.39,51.06,72.45,27.55,44.56,82.34,1,132.2,29.5,LANDSAT_7,2000-07-19,963992446752,36726.31997685185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_172030_20000726,13.0,3560.0,3575.0,86.3,633,3670.580322265625,3403.7294921875,1.1308957415762702E7,3891259.0,5141442.0,2230006.0,3719080.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4417.0,5.57,52.79,69.75,30.25,65.18,100.23,1,133.7,30.7,LANDSAT_7,2000-07-26,964597605088,36733.32413194444,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000727,14.0,3843.0,3842.0,135.7,9863,4252.96875,3465.283935546875,1.1308957415762702E7,3647396.0,4181675.0,5757138.0,1151715.0,COP-30m,942722,11.308957415762702,G042501E43334N,Irik,5586.1,2654.3918,4542.0,5.36,36.7,42.07,57.93,87.88,100.23,1,128.9,32.8,LANDSAT_5,2000-07-27,964682789371,36734.310057870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
