system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_1_2_LE07_171030_20000109,34.0,3157.0,3292.0,374.9,1202,3434.52587890625,2256.23193359375,3.27674318550688E+07,859169.0,861399.0,1.8270584E+07,1.2644792E+07,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4400.0,0.01,4.49,4.5,95.5,58.39,91.01,1,157.4,68.6,LANDSAT_7,2000-01-09,947403733074,36534.32098379630,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000117,17.0,2457.0,2470.0,50.4,496,2558.85791015625,2358.421630859380,3.27674318550688E+07,1319719.0,1326527.0,1.9945745E+07,1.0504502E+07,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4400.0,0.03,6.2,6.24,93.76,64.92,97.05,1,151.9,69.1,LANDSAT_5,2000-01-17,948093854035,36542.30849537040,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000124,3.0,0,0,0,0,0,0,3.27674318550688E+07,1705036.0,1736255.0,1.0064796E+07,1.9975723E+07,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4400.0,0.26,14.45,14.71,85.29,36.01,100.28,1,150.8,67.9,LANDSAT_5,2000-01-24,948699010416,36549.31261574070,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000202,22.0,0,0,0,0,0,0,3.27674318550688E+07,2703477.0,2798163.0,5044550.0,2.3934061E+07,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4721.0,1.21,34.47,35.68,64.32,23.93,45.12,1,149.3,65.9,LANDSAT_5,2000-02-02,949476220397,36558.30810185190,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000210,8.0,3155.0,3251.0,210.7,3004,3440.60400390625,2680.639404296880,3.27674318550688E+07,1592739.0,1597449.0,2.0905234E+07,9274092.0,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,5007.0,0.02,7.08,7.1,92.9,68.67,100.28,1,152.9,62.0,LANDSAT_7,2000-02-10,950168526305,36566.32090277780,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_172030_20000217,69.0,3329.0,3668.0,520.9,1210,3865.177490234380,2582.33837890625,3.27674318550688E+07,9992801.0,1.0523474E+07,4518937.0,1.6734364E+07,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4544.0,3.53,66.43,69.96,30.04,45.91,49.07,1,151.9,59.7,LANDSAT_7,2000-02-17,950773695005,36573.32517361110,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000305,4.0,2736.0,2731.0,75.1,1504,2899.5478515625,2618.216064453130,3.27674318550688E+07,2468292.0,2534934.0,2.6199445E+07,3042397.0,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4400.0,0.23,8.59,8.82,91.18,87.69,100.28,1,144.7,55.5,LANDSAT_5,2000-03-05,952240960801,36590.30740740740,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,3170.0,3186.0,101.0,615,3364.844970703130,3006.48974609375,3.27674318550688E+07,983698.0,1015528.0,2.9417716E+07,1343531.0,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4400.0,0.1,3.23,3.34,96.66,92.88,99.49,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000515,27.0,2957.0,3184.0,315.2,1290,3303.38916015625,2528.8349609375,3.27674318550688E+07,394739.0,415217.0,2.0899292E+07,1.0462266E+07,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4400.0,0.09,1.85,1.95,98.05,65.05,68.05,1,132.1,31.7,LANDSAT_5,2000-05-15,958375880065,36661.313425925900,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,2158.0,2160.0,3.3,17,2160.90380859375,2152.904296875,3.27674318550688E+07,417040.0,510254.0,3.0268592E+07,997929.0,COP-30m,942886,32.767431855068800,G042766E43151N,Lekziri,4219.63,2119.9485,4400.0,0.3,1.35,1.66,98.34,93.93,98.88,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981480,"{""type"":""MultiPoint"",""coordinates"":[]}"
