system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,2827.0,2817.0,29.5,144,2900.11376953125,2788.1376953125,1.0888957064017018E7,164029.0,173233.0,9691038.0,727232.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4400.0,0.09,1.66,1.76,98.24,90.59,94.25,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000515,27.0,2406.0,2394.0,25.1,139,2458.507080078125,2375.3408203125,1.0888957064017018E7,70987.0,76415.0,1.036088E7,154208.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4400.0,0.03,0.68,0.73,99.27,95.85,99.1,1,132.1,31.7,LANDSAT_5,2000-05-15,958375880065,36661.313425925924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_172030_20000523,36.0,0,0,0,0,0,0,1.0888957064017018E7,858619.0,3807883.0,1314866.0,5468754.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4400.0,6.84,16.76,74.33,25.67,47.05,61.59,1,136.4,28.3,LANDSAT_7,2000-05-23,959068052076,36669.32467592593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,2435.0,2432.0,16.6,196,2492.20068359375,2412.3193359375,1.0888957064017018E7,356806.0,370211.0,9998708.0,222583.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4400.0,0.12,3.44,3.57,96.43,95.22,99.08,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000531,72.0,3140.0,3144.0,18.2,21,3172.941650390625,3122.88525390625,1.0888957064017018E7,3561.0,3847.0,8613429.0,1974227.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4400.0,0.0,0.04,0.04,99.96,79.14,80.58,1,128.2,29.4,LANDSAT_5,2000-05-31,959758295339,36677.31359953704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,3311.0,3308.0,33.2,1421,3469.315185546875,3271.76123046875,1.0888957064017018E7,1089402.0,1139925.0,5694982.0,3756596.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4400.0,0.74,15.94,16.68,83.32,62.77,64.28,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000616,3.0,3232.0,3232.0,11.9,15,3252.10009765625,3203.3330078125,1.0888957064017018E7,1773186.0,1839270.0,8245772.0,506460.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4913.0,0.66,17.58,18.24,81.76,92.62,99.22,1,125.4,28.8,LANDSAT_5,2000-06-16,961140715847,36693.31383101852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3176.0,3173.0,83.4,506,3365.8125,3043.416748046875,1.0888957064017018E7,1619905.0,2902941.0,1626398.0,6062163.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4802.0,2.02,35.76,64.09,35.91,41.6,99.22,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3256.0,3267.0,28.4,33,3291.882568359375,3217.046142578125,1.0888957064017018E7,1363020.0,2627357.0,2000605.0,5963541.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4278.0,11.66,29.45,56.77,43.23,42.5,77.65,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_172030_20000710,9.0,3221.0,3227.0,46.5,868,3365.8125,3129.29052734375,1.0888957064017018E7,1893334.0,2283923.0,2669198.0,5638382.0,COP-30m,943005,10.888957064017019,G042950E43105N,Kvitlodi,3899.4846,2375.1538,4397.0,3.63,38.23,46.11,53.89,45.49,99.22,1,130.9,28.2,LANDSAT_7,2000-07-10,963215224351,36717.32435185185,"{""type"":""MultiPoint"",""coordinates"":[]}"
