system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_1_2_LE07_171030_20000109,34.0,3716.0,3703.0,83.3,2238,3918.327880859375,3520.82080078125,1.2477128238544164E7,622647.0,622647.0,7774041.0,3852968.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.0,7.42,7.42,92.58,67.3,94.59,1,157.4,68.6,LANDSAT_7,2000-01-09,947403733074,36534.32098379629,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000117,17.0,3760.0,3753.0,65.3,985,3888.206298828125,3646.030517578125,1.2477128238544164E7,699839.0,703857.0,7952593.0,3593205.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.0,8.08,8.13,91.87,69.38,95.91,1,151.9,69.1,LANDSAT_5,2000-01-17,948093854035,36542.30849537037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000202,22.0,3678.0,3680.0,6.5,21,3685.575927734375,3665.1689453125,1.2477128238544164E7,674669.0,688770.0,2117335.0,9443551.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.5,24.04,24.55,75.45,22.49,40.57,1,149.3,65.9,LANDSAT_5,2000-02-02,949476220397,36558.30810185185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000210,8.0,3796.0,3789.0,43.4,864,3918.7392578125,3726.219482421875,1.2477128238544164E7,722732.0,722743.0,8017709.0,3509204.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.0,8.27,8.27,91.73,70.05,100.27,1,152.9,62.0,LANDSAT_7,2000-02-10,950168526305,36566.32090277778,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000305,4.0,3567.0,3585.0,62.9,578,3678.98291015625,3446.05859375,1.2477128238544164E7,546018.0,546018.0,1.1199169E7,504468.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.0,4.65,4.65,95.35,94.13,100.27,1,144.7,55.5,LANDSAT_5,2000-03-05,952240960801,36590.30740740741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000312,62.0,3664.0,3679.0,122.9,986,3878.5244140625,3383.0029296875,1.2477128238544164E7,5904066.0,6046605.0,1013577.0,5189473.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,2.02,83.62,85.64,14.36,56.58,59.36,1,143.8,52.8,LANDSAT_5,2000-03-12,952846148757,36597.311898148146,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,3655.0,3676.0,46.8,172,3712.650146484375,3537.47119140625,1.2477128238544164E7,136717.0,153840.0,1.1853502E7,242313.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.14,1.14,1.28,98.72,96.23,99.86,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000515,27.0,3700.0,3691.0,46.4,144,3768.542236328125,3600.63671875,1.2477128238544164E7,71849.0,74507.0,9462509.0,2712639.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.03,0.75,0.78,99.22,76.44,79.36,1,132.1,31.7,LANDSAT_5,2000-05-15,958375880065,36661.313425925924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,3038.0,3044.0,56.0,237,3111.9169921875,2930.4638671875,1.2477128238544164E7,156008.0,167373.0,1.1866204E7,216078.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.09,1.3,1.39,98.61,96.45,99.9,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000531,72.0,3677.0,3677.0,6.3,31,3685.736328125,3666.616943359375,1.2477128238544164E7,4319.0,4794.0,9667310.0,2577551.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.0,0.04,0.05,99.95,77.52,79.43,1,128.2,29.4,LANDSAT_5,2000-05-31,959758295339,36677.31359953704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,3927.0,3922.0,33.2,174,3981.61376953125,3877.072265625,1.2477128238544164E7,113717.0,142698.0,9213269.0,2893688.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.31,1.22,1.53,98.47,74.98,76.72,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000616,3.0,3131.0,3149.0,55.0,510,3246.5595703125,2956.886962890625,1.2477128238544164E7,409510.0,427287.0,1.1562847E7,259522.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,4400.0,0.14,3.42,3.56,96.44,96.1,100.27,1,125.4,28.8,LANDSAT_5,2000-06-16,961140715847,36693.31383101852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3552.0,3572.0,129.8,408,3811.6474609375,3336.255615234375,1.2477128238544164E7,1186369.0,3978187.0,850990.0,7420479.0,COP-30m,943036,12.477128238544164,G042998E43049N,Caneri,4271.6665,2755.925,5199.0,0.67,24.57,82.38,17.62,38.7,100.27,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
