system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_1_2_LE07_171030_20000109,34.0,2664.0,2735.0,129.9,360,2769.775634765630,2433.110107421880,1.39437234565625E+07,339682.0,339682.0,7699639.0,5591440.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,4207.0,0.0,4.23,4.23,95.77,57.66,99.94,1,157.4,68.6,LANDSAT_7,2000-01-09,947403733074,36534.32098379630,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000117,17.0,2822.0,2820.0,14.2,275,2853.09423828125,2795.3359375,1.39437234565625E+07,450932.0,454416.0,7047072.0,6129273.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,3778.0,0.04,6.01,6.06,93.94,53.8,93.35,1,151.9,69.1,LANDSAT_5,2000-01-17,948093854035,36542.30849537040,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000202,22.0,4179.0,4167.0,40.7,170,4272.05810546875,4114.615234375,1.39437234565625E+07,580476.0,592612.0,5439510.0,7598639.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,4400.0,0.2,9.62,9.82,90.18,43.26,69.47,1,149.3,65.9,LANDSAT_5,2000-02-02,949476220397,36558.30810185190,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000210,8.0,3237.0,3246.0,50.9,256,3308.709228515630,3153.902099609380,1.39437234565625E+07,558319.0,560426.0,1.0332849E+07,2737486.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,4201.0,0.02,5.13,5.14,94.86,78.12,100.67,1,152.9,62.0,LANDSAT_7,2000-02-10,950168526305,36566.32090277780,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_172030_20000217,69.0,3273.0,3295.0,100.8,569,3416.51025390625,3122.8203125,1.39437234565625E+07,2404067.0,3351817.0,1066205.0,9212739.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,4931.0,21.45,54.42,75.87,24.13,31.68,42.78,1,151.9,59.7,LANDSAT_7,2000-02-17,950773695005,36573.32517361110,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000226,35.0,3457.0,3318.0,230.2,684,3792.48388671875,3177.119140625,1.39437234565625E+07,891272.0,930022.0,5545203.0,7155536.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,4400.0,0.6,13.76,14.36,85.64,46.44,60.09,1,150.9,56.6,LANDSAT_7,2000-02-26,951550920625,36582.32083333330,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000305,4.0,3422.0,3426.0,173.6,802,3770.6640625,3177.119140625,1.39437234565625E+07,1361966.0,1390033.0,1.0914897E+07,1325831.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,4744.0,0.23,11.07,11.3,88.7,88.25,100.67,1,144.7,55.5,LANDSAT_5,2000-03-05,952240960801,36590.30740740740,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000312,62.0,2729.0,2666.0,84.4,1124,2863.44482421875,2630.177734375,1.39437234565625E+07,1488776.0,1900541.0,3907310.0,7822911.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,4400.0,7.03,25.63,32.72,67.28,41.65,45.27,1,143.8,52.8,LANDSAT_5,2000-03-12,952846148757,36597.311898148100,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000328,21.0,3220.0,3227.0,87.4,728,3387.533935546880,3081.72607421875,1.39437234565625E+07,2965089.0,3289026.0,5332595.0,5009140.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,5024.0,3.76,34.39,38.15,61.85,61.83,64.1,1,141.6,46.6,LANDSAT_5,2000-03-28,954228593509,36613.312418981500,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,3182.0,3176.0,41.7,799,3295.48095703125,3119.735107421880,1.39437234565625E+07,2533204.0,3392048.0,8655919.0,1582794.0,COP-30m,943039,13.943723456562500,G042999E43050N,Caneri,4833.109,2334.858,4809.0,7.13,21.03,28.15,71.85,86.4,98.38,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
