system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_172030_20000429,41.0,4455.0,4453.0,13.7,55,4477.4765625,4429.76123046875,1.020986587535152E7,457.0,13040.0,4758393.0,5217521.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4400.0,0.26,0.01,0.27,99.73,46.73,48.73,1,135.9,35.6,LANDSAT_5,2000-04-29,956993454618,36645.313125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,2503.0,2504.0,6.8,196,2514.46875,2479.076171875,1.020986587535152E7,134878.0,302884.0,9188580.0,497490.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4400.0,1.76,1.42,3.19,96.81,92.96,97.3,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,4049.0,3952.0,374.5,289,4457.30078125,3406.772216796875,1.020986587535152E7,49076.0,64305.0,4107633.0,5817016.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4400.0,0.37,1.18,1.54,98.46,40.86,43.2,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_172030_20000616,3.0,3396.0,3387.0,84.3,1229,3599.69140625,3243.204833984375,1.020986587535152E7,1438362.0,1992709.0,6536137.0,1460108.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,5197.0,6.49,16.86,23.36,76.64,83.54,100.05,1,125.4,28.8,LANDSAT_5,2000-06-16,961140715847,36693.31383101852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,4106.0,4105.0,17.7,20,4144.86279296875,4081.210693359375,1.020986587535152E7,1129938.0,6327030.0,1158682.0,2503242.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4940.0,7.95,15.09,84.52,15.48,73.32,100.55,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3269.0,3362.0,185.5,938,3497.714599609375,2912.5517578125,1.020986587535152E7,984893.0,5641351.0,1268079.0,3079525.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4799.0,9.93,14.25,81.65,18.35,67.67,99.2,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_172030_20000710,9.0,3633.0,3203.0,529.2,58,4289.9697265625,3176.1142578125,1.020986587535152E7,999367.0,2149251.0,13467.0,7826237.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,5046.0,30.29,46.21,99.38,0.62,21.18,42.68,1,130.9,28.2,LANDSAT_7,2000-07-10,963215224351,36717.32435185185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3619.0,3615.0,116.0,1604,3821.1552734375,3362.452880859375,1.020986587535152E7,1591487.0,2291336.0,6913560.0,784059.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4695.0,7.6,17.29,24.89,75.11,90.16,96.71,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_172030_20000718,75.0,3901.0,3900.0,23.7,135,3952.47998046875,3857.154541015625,1.020986587535152E7,890022.0,1957865.0,3777354.0,4253736.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4573.0,18.58,15.52,34.14,65.86,56.17,61.43,1,126.8,31.3,LANDSAT_5,2000-07-18,963905556578,36725.314305555556,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_172030_20000726,13.0,4458.0,4454.0,12.8,21,4474.35546875,4443.35791015625,1.020986587535152E7,695285.0,3151018.0,291104.0,6546833.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4538.0,61.03,20.2,91.54,8.46,33.71,99.16,1,133.7,30.7,LANDSAT_7,2000-07-26,964597605088,36733.32413194444,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000727,14.0,3669.0,3686.0,91.8,1341,3821.1552734375,3428.851806640625,1.020986587535152E7,1831979.0,2575587.0,7046107.0,367261.0,COP-30m,943044,10.20986587535152,G043016E43017N,Adishi,4897.9165,2339.2224,4155.0,7.63,19.04,26.77,73.23,94.24,100.55,1,128.9,32.8,LANDSAT_5,2000-07-27,964682789371,36734.310057870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
