system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,2508.0,2509.0,6.7,22,2516.1455078125,2497.9443359375,1.0247907351529948E7,44504.0,110312.0,9328773.0,354146.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4400.0,0.69,0.47,1.17,98.83,92.11,95.67,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,2906.0,2909.0,57.3,1337,3024.599609375,2788.3984375,1.0247907351529948E7,543979.0,3200452.0,2715961.0,3876819.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4535.0,16.13,9.19,54.09,45.91,57.73,98.54,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3050.0,3053.0,32.3,882,3105.201416015625,2989.704345703125,1.0247907351529948E7,1047113.0,3933028.0,3016343.0,2843860.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4152.0,22.4,15.07,56.6,43.4,67.81,96.47,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3263.0,3249.0,59.9,1143,3430.085205078125,3178.269775390625,1.0247907351529948E7,1854626.0,3612132.0,3938532.0,2242567.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4400.0,23.28,24.56,47.84,52.16,73.68,79.32,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000719,70.0,3186.0,3207.0,87.5,430,3365.360595703125,3039.27001953125,1.0247907351529948E7,578186.0,2930002.0,108303.0,6754927.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4400.0,77.41,19.03,96.44,3.56,29.65,38.1,1,132.2,29.5,LANDSAT_7,2000-07-19,963992446752,36726.31997685185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000727,14.0,3434.0,3435.0,24.4,25,3470.6044921875,3402.01611328125,1.0247907351529948E7,1070099.0,3385527.0,3139259.0,3268446.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4400.0,35.49,16.4,51.89,48.11,63.67,98.54,1,128.9,32.8,LANDSAT_5,2000-07-27,964682789371,36734.310057870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000812,32.0,3694.0,3676.0,57.7,1278,3871.133056640625,3610.30712890625,1.0247907351529948E7,3105315.0,5572270.0,2723993.0,1496969.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4400.0,29.74,37.43,67.17,32.83,80.96,97.39,1,133.8,36.0,LANDSAT_5,2000-08-12,966065216366,36750.31037037037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000820,24.0,3714.0,3645.0,186.0,1311,4548.89013671875,3500.39111328125,1.0247907351529948E7,1091127.0,4049562.0,1928181.0,3815489.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4400.0,45.42,18.25,67.74,32.26,58.33,91.8,1,141.3,36.4,LANDSAT_7,2000-08-20,966757224760,36758.31972222222,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000905,9.0,3434.0,3442.0,50.6,1197,3566.83642578125,3344.057861328125,1.0247907351529948E7,2214688.0,5224638.0,2345376.0,2223217.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4217.0,29.23,29.26,69.02,30.98,73.87,98.54,1,146.8,41.0,LANDSAT_7,2000-09-05,968139609118,36774.31954861111,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20001007,59.0,3014.0,3000.0,56.0,836,3126.731689453125,2926.752685546875,1.0247907351529948E7,1265992.0,2706400.0,6659099.0,427732.0,COP-30m,943050,10.247907351529948,G043043E42994N,Khalde,4936.858,2453.0977,4411.0,15.38,13.52,28.9,71.1,91.39,95.7,1,156.1,51.7,LANDSAT_7,2000-10-07,970904386199,36806.31928240741,"{""type"":""MultiPoint"",""coordinates"":[]}"
