system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_1_2_LE07_171030_20000109,34.0,3777.0,3605.0,390.9,933,4422.05029296875,3399.219970703130,3.36089880081259E+07,538724.0,544676.0,1.7346191E+07,1.4786562E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,0.03,3.01,3.04,96.96,53.23,90.5,1,157.4,68.6,LANDSAT_7,2000-01-09,947403733074,36534.32098379630,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000117,17.0,3600.0,3615.0,54.7,309,3680.60791015625,3485.61962890625,3.36089880081259E+07,580259.0,599333.0,1.9670605E+07,1.2407491E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,0.08,2.86,2.96,97.04,60.31,96.2,1,151.9,69.1,LANDSAT_5,2000-01-17,948093854035,36542.30849537040,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000202,22.0,3507.0,3496.0,61.9,401,3605.49169921875,3391.20166015625,3.36089880081259E+07,691511.0,833447.0,1.5687057E+07,1.6156926E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,0.44,4.19,5.04,94.96,49.16,78.34,1,149.3,65.9,LANDSAT_5,2000-02-02,949476220397,36558.30810185190,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000210,8.0,3012.0,3026.0,112.2,1282,3127.576416015630,2344.554443359380,3.36089880081259E+07,1396044.0,1420692.0,2.2058415E+07,9198322.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,0.1,5.95,6.05,93.95,69.86,100.98,1,152.9,62.0,LANDSAT_7,2000-02-10,950168526305,36566.32090277780,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000226,35.0,3427.0,3414.0,117.3,1206,3689.15673828125,3229.4033203125,3.36089880081259E+07,1770961.0,1816505.0,1.0474214E+07,2.038671E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4030.0,0.37,14.41,14.78,85.22,36.57,47.5,1,150.9,56.6,LANDSAT_7,2000-02-26,951550920625,36582.32083333330,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000305,4.0,3141.0,3125.0,40.7,717,3227.169189453130,3081.662109375,3.36089880081259E+07,2334735.0,2438135.0,2.573503E+07,4504263.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,0.37,8.29,8.65,91.35,83.83,100.98,1,144.7,55.5,LANDSAT_5,2000-03-05,952240960801,36590.30740740740,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000422,40.0,2392.0,2391.0,7.7,33,2411.396240234380,2382.079833984380,3.36089880081259E+07,2450009.0,3507653.0,1.2745437E+07,1.6424339E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,6.41,15.07,21.58,78.42,48.36,50.27,1,137.4,37.7,LANDSAT_5,2000-04-22,956388263041,36638.308599537000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,2635.0,2625.0,25.3,782,2680.100830078130,2590.34619140625,3.36089880081259E+07,3711259.0,6207322.0,2.2085385E+07,4384722.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,5183.0,8.82,13.12,21.94,78.06,84.18,90.05,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981480,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000601,76.0,2659.0,2658.0,17.8,119,2691.78662109375,2632.216552734380,3.36089880081259E+07,2389649.0,1.5511023E+07,2114750.0,1.5051656E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,5074.0,17.21,13.56,88.0,12.0,52.44,75.32,1,134.2,27.2,LANDSAT_7,2000-06-01,959845277460,36678.320335648100,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,2852.0,2825.0,115.1,2299,3125.182861328130,2688.02001953125,3.36089880081259E+07,3049452.0,5255771.0,1.1171442E+07,1.6250216E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,5198.0,13.42,18.56,31.99,68.01,48.88,53.58,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870400,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,2971.0,2970.0,12.2,390,2993.086181640630,2950.084228515630,3.36089880081259E+07,3926044.0,1.4317893E+07,6160858.0,1.2198678E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4664.0,16.77,19.17,69.92,30.08,60.93,100.98,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351900,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3035.0,3027.0,34.0,1655,3168.801025390630,2988.2080078125,3.36089880081259E+07,4170757.0,1.2036134E+07,8506195.0,1.21351E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4279.0,20.53,20.3,58.59,41.41,61.12,93.87,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888900,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3125.0,3127.0,60.6,994,3233.86328125,3022.75830078125,3.36089880081259E+07,5021995.0,9976736.0,1.5315281E+07,7385412.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4040.0,19.59,19.86,39.45,60.55,75.25,83.46,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212960,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000719,70.0,0,0,0,0,0,0,3.36089880081259E+07,2884908.0,8898482.0,1638568.0,2.214038E+07,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4307.0,51.18,27.38,84.45,15.55,31.35,39.54,1,132.2,29.5,LANDSAT_7,2000-07-19,963992446752,36726.31997685190,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000727,14.0,3487.0,3523.0,117.9,1453,3718.040771484380,3199.447021484380,3.36089880081259E+07,8742830.0,1.5330665E+07,1.335865E+07,3988114.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,22.96,30.47,53.44,46.56,85.36,100.98,1,128.9,32.8,LANDSAT_5,2000-07-27,964682789371,36734.310057870400,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000812,32.0,3560.0,3563.0,108.5,1463,3834.77490234375,3274.0810546875,3.36089880081259E+07,1.0566755E+07,1.8378374E+07,1.0107105E+07,4191950.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,27.42,37.1,64.52,35.48,84.76,100.37,1,133.8,36.0,LANDSAT_5,2000-08-12,966065216366,36750.31037037040,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000820,24.0,3466.0,3470.0,207.5,1628,3900.351318359380,3169.31982421875,3.36089880081259E+07,1.0536316E+07,1.9076704E+07,7437066.0,6163659.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,29.37,39.74,71.95,28.05,78.89,100.23,1,141.3,36.4,LANDSAT_7,2000-08-20,966757224760,36758.31972222220,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000905,9.0,3365.0,3392.0,108.5,874,3562.68115234375,3054.92919921875,3.36089880081259E+07,7125754.0,1.4972437E+07,1.0204059E+07,7500933.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,3972.0,25.69,28.3,59.47,40.53,74.91,100.98,1,146.8,41.0,LANDSAT_7,2000-09-05,968139609118,36774.31954861110,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20001007,59.0,2844.0,2790.0,102.3,1545,3037.5966796875,2726.63525390625,3.36089880081259E+07,3700925.0,6082110.0,2.1706469E+07,4888851.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4276.0,8.57,13.32,21.89,78.11,82.68,91.44,1,156.1,51.7,LANDSAT_7,2000-10-07,970904386199,36806.31928240740,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20001015,5.0,2501.0,2500.0,69.2,817,2628.670166015630,2379.6416015625,3.36089880081259E+07,2280738.0,4375761.0,2.4799785E+07,3501882.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,7.17,7.82,15.0,85.0,86.81,100.98,1,154.5,55.2,LANDSAT_5,2000-10-15,971594876074,36814.311064814800,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20001031,24.0,3097.0,3111.0,268.9,1732,3378.269775390630,2399.521484375,3.36089880081259E+07,2717114.0,4013928.0,2.0215296E+07,8448206.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,5.35,11.21,16.57,83.43,72.09,93.16,1,157.1,60.4,LANDSAT_5,2000-10-31,972977289649,36830.311215277800,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20001108,50.0,3045.0,3083.0,71.3,753,3185.490234375,2938.089111328130,3.36089880081259E+07,2094477.0,3665545.0,2.0668368E+07,8343516.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4730.0,6.46,8.61,15.06,84.94,72.4,94.68,1,160.9,62.0,LANDSAT_7,2000-11-08,973669180674,36838.31921296300,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20001116,23.0,2989.0,2950.0,73.3,595,3098.2900390625,2902.80078125,3.36089880081259E+07,846685.0,875147.0,2.2469704E+07,9332578.0,COP-30m,943118,33.608988008125900,G043183E42984N,Dyh-Cu,4679.512,2099.727,4400.0,0.12,3.63,3.75,96.25,69.46,97.33,1,158.4,64.9,LANDSAT_5,2000-11-16,974359703280,36846.311377314800,"{""type"":""MultiPoint"",""coordinates"":[]}"
