system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,2782.0,2782.0,58.8,1268,2881.431396484375,2668.729736328125,8137321.586222554,465179.0,894174.0,5748392.0,1203584.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4796.0,6.46,7.0,13.46,86.54,81.63,89.26,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000601,76.0,3635.0,3626.0,24.6,54,3688.283203125,3599.719482421875,8137321.586222554,207206.0,1684801.0,504456.0,5656893.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4400.0,21.11,9.46,76.96,23.04,26.9,35.35,1,134.2,27.2,LANDSAT_7,2000-06-01,959845277460,36678.320335648146,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000609,83.0,3778.0,3758.0,77.2,427,3924.013671875,3679.536376953125,8137321.586222554,222315.0,401841.0,3814033.0,3630276.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4400.0,4.26,5.27,9.53,90.47,51.81,56.28,1,126.4,28.9,LANDSAT_5,2000-06-09,960535535993,36686.309432870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3291.0,3303.0,141.2,943,3544.677978515625,3012.6015625,8137321.586222554,1466336.0,3995591.0,1538237.0,2312322.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4800.0,16.73,26.5,72.2,27.8,68.01,100.8,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3365.0,3458.0,209.3,1207,3660.68115234375,3012.32958984375,8137321.586222554,1326416.0,3178606.0,2307034.0,2360510.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4412.0,21.27,24.18,57.94,42.06,67.41,97.6,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3549.0,3553.0,52.5,953,3674.000244140625,3411.55029296875,8137321.586222554,1384653.0,2712269.0,4438276.0,695605.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4302.0,18.57,19.36,37.93,62.07,87.87,97.86,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000719,70.0,4130.0,4167.0,65.2,114,4236.080078125,4028.47998046875,8137321.586222554,597661.0,3017475.0,786414.0,4042262.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4133.0,55.14,15.71,79.33,20.67,46.75,65.13,1,132.2,29.5,LANDSAT_7,2000-07-19,963992446752,36726.31997685185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000727,14.0,3766.0,3747.0,179.5,2066,4417.20654296875,3139.0322265625,8137321.586222554,1930470.0,3608156.0,2820517.0,1417477.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4400.0,26.1,30.03,56.13,43.87,79.0,100.8,1,128.9,32.8,LANDSAT_5,2000-07-27,964682789371,36734.310057870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000812,32.0,4062.0,4103.0,182.2,1549,4426.2890625,3716.36865234375,8137321.586222554,2423312.0,4605013.0,2282786.0,958351.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4400.0,31.67,35.18,66.86,33.14,84.64,100.26,1,133.8,36.0,LANDSAT_5,2000-08-12,966065216366,36750.31037037037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000820,24.0,3771.0,3770.0,58.4,130,3877.6103515625,3659.379150390625,8137321.586222554,729623.0,3140397.0,1946271.0,2759482.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,3784.0,47.39,14.34,61.74,38.26,62.51,75.43,1,141.3,36.4,LANDSAT_7,2000-08-20,966757224760,36758.31972222222,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000905,9.0,3368.0,3397.0,150.1,1329,3567.70068359375,3030.834228515625,8137321.586222554,984900.0,2663233.0,3661609.0,1521308.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,3949.0,22.57,15.57,42.11,57.89,77.73,100.8,1,146.8,41.0,LANDSAT_7,2000-09-05,968139609118,36774.31954861111,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20001007,59.0,2786.0,2778.0,60.4,818,2920.287353515625,2685.44921875,8137321.586222554,299039.0,948014.0,5921138.0,976997.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,3767.0,9.45,4.35,13.8,86.2,84.42,95.81,1,156.1,51.7,LANDSAT_7,2000-10-07,970904386199,36806.31928240741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20001015,5.0,2724.0,2721.0,37.8,282,2790.109619140625,2663.591796875,8137321.586222554,429116.0,551673.0,5779364.0,1515113.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4718.0,1.94,6.78,8.71,91.29,77.8,100.8,1,154.5,55.2,LANDSAT_5,2000-10-15,971594876074,36814.311064814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20001031,24.0,3518.0,3528.0,69.5,667,3606.750732421875,3355.38330078125,8137321.586222554,366316.0,522444.0,4818334.0,2505372.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4522.0,2.92,6.86,9.78,90.22,65.63,94.15,1,157.1,60.4,LANDSAT_5,2000-10-31,972977289649,36830.311215277776,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20010604,38.0,4126.0,4158.0,159.3,275,4397.11083984375,3879.673583984375,8137321.586222554,559353.0,3132156.0,1140480.0,3573514.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,5050.0,13.01,13.09,73.31,26.69,52.51,89.77,1,132.6,27.3,LANDSAT_7,2001-06-04,991640343265,37046.31878472222,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20010612,9.0,2866.0,2868.0,10.7,231,2882.98388671875,2846.1484375,8137321.586222554,786957.0,1321824.0,5677238.0,847088.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4810.0,7.64,11.24,18.89,81.11,86.01,100.8,1,127.5,28.2,LANDSAT_5,2001-06-12,992330984152,37054.312314814815,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20010628,37.0,3423.0,3412.0,78.2,644,3544.90673828125,3292.25830078125,8137321.586222554,1344836.0,2394280.0,4739983.0,711887.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4659.0,14.71,18.85,33.56,66.44,87.67,97.08,1,126.0,28.6,LANDSAT_5,2001-06-28,993713383510,37070.31230324074,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20010706,17.0,3264.0,3351.0,210.4,1246,3661.911376953125,2932.8759765625,8137321.586222554,1184710.0,2881234.0,2458697.0,2506219.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4298.0,22.64,22.19,53.96,46.04,65.62,96.96,1,129.6,28.0,LANDSAT_7,2001-07-06,994405124656,37078.318564814814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20010714,33.0,3447.0,3445.0,88.5,474,3614.302978515625,3305.90185546875,8137321.586222554,1540246.0,2790440.0,2706394.0,2349315.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4421.0,22.74,28.02,50.76,49.24,67.55,73.84,1,127.2,30.3,LANDSAT_5,2001-07-14,995095786515,37086.31233796296,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20010730,7.0,3529.0,3578.0,190.7,282,3769.28076171875,3049.954345703125,8137321.586222554,402632.0,1803782.0,545156.0,5497211.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4789.0,59.65,17.14,76.79,23.21,28.87,100.8,1,130.6,32.9,LANDSAT_5,2001-07-30,996478182070,37102.31229166667,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20010815,52.0,3791.0,3734.0,154.4,1963,4118.1611328125,3566.80126953125,8137321.586222554,1450892.0,3048282.0,2495877.0,2301990.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4400.0,28.81,26.17,54.98,45.02,68.13,85.15,1,135.6,36.4,LANDSAT_5,2001-08-15,997860580979,37118.31226851852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20010916,13.0,0,0,0,0,0,0,8137321.586222554,0.0,2172678.0,517625.0,5155847.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4400.0,80.76,0.0,80.76,19.24,33.06,100.8,1,146.9,45.4,LANDSAT_5,2001-09-16,1000625367283,37150.31211805555,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20011002,9.0,0,0,0,0,0,0,8137321.586222554,0.0,0.0,0.0,7846150.0,COP-30m,943157,8.137321586222553,G043238E43064N,Ullauzna,4602.44,2629.0679,4400.0,0.0,0.0,0.0,0.0,0.0,100.8,1,151.7,50.7,LANDSAT_5,2001-10-02,1002007759015,37166.31202546296,"{""type"":""MultiPoint"",""coordinates"":[]}"
