system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_1_2_LE07_171030_20000109,34.0,3046.0,3091.0,278.1,1894,3406.4091796875,2554.638916015630,1.98134732334852E+07,1408510.0,1410254.0,1.3170177E+07,4726806.0,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4400.0,0.01,9.66,9.67,90.33,73.59,87.57,1,157.4,68.6,LANDSAT_7,2000-01-09,947403733074,36534.32098379630,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000117,17.0,3285.0,3313.0,151.9,1765,3575.37353515625,2989.472900390630,1.98134732334852E+07,1409349.0,1415386.0,1.501396E+07,2877891.0,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4400.0,0.03,8.58,8.61,91.39,82.92,97.64,1,151.9,69.1,LANDSAT_5,2000-01-17,948093854035,36542.30849537040,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000210,8.0,3097.0,3123.0,115.5,1767,3306.9951171875,2797.212890625,1.98134732334852E+07,1463319.0,1471870.0,1.4492735E+07,3342632.0,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4400.0,0.05,9.17,9.22,90.78,80.57,99.46,1,152.9,62.0,LANDSAT_7,2000-02-10,950168526305,36566.32090277780,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000305,4.0,3055.0,3055.0,97.1,984,3212.100341796880,2876.880859375,1.98134732334852E+07,895933.0,905173.0,1.7906514E+07,495550.0,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4400.0,0.04,4.76,4.81,95.19,94.94,99.46,1,144.7,55.5,LANDSAT_5,2000-03-05,952240960801,36590.30740740740,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000422,40.0,3238.0,3203.0,137.8,645,3564.043701171880,3054.8828125,1.98134732334852E+07,231761.0,255699.0,6330747.0,1.2720791E+07,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4400.0,0.36,3.52,3.88,96.12,33.24,33.57,1,137.4,37.7,LANDSAT_5,2000-04-22,956388263041,36638.308599537000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,3038.0,3033.0,19.8,994,3109.447998046880,3012.599365234380,1.98134732334852E+07,1063877.0,1086317.0,1.209245E+07,6128470.0,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4400.0,0.14,8.07,8.24,91.76,66.51,68.64,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981480,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000601,76.0,3014.0,3014.0,29.6,139,3071.20166015625,2900.8525390625,1.98134732334852E+07,1570483.0,8905991.0,1606440.0,8794806.0,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4400.0,3.25,14.94,84.72,15.28,53.06,61.57,1,134.2,27.2,LANDSAT_7,2000-06-01,959845277460,36678.320335648100,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3048.0,3047.0,94.0,673,3196.12744140625,2893.60498046875,1.98134732334852E+07,2229365.0,8917968.0,1120973.0,9268296.0,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,5187.0,3.16,22.21,88.83,11.17,50.67,99.46,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351900,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,2777.0,2777.0,4.5,116,2788.477294921880,2769.80126953125,1.98134732334852E+07,2389630.0,6377715.0,1843348.0,1.1086174E+07,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4546.0,8.21,29.07,77.58,22.42,41.49,74.9,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888900,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,2858.0,2853.0,45.7,807,2943.942138671880,2774.41455078125,1.98134732334852E+07,1713274.0,2289992.0,1.519785E+07,1819395.0,COP-30m,943183,19.813473233485200,G043291E42928N,Agashtan,4057.0017,2324.7097,4305.0,3.3,9.8,13.09,86.91,88.26,93.81,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212960,"{""type"":""MultiPoint"",""coordinates"":[]}"
