system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_171030_20000524,24.0,2928.0,2937.0,46.0,455,3005.929931640625,2834.233642578125,7837988.216692132,624985.0,1254174.0,3725415.0,2552901.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4534.0,12.64,12.55,25.19,74.81,63.53,68.16,1,129.9,30.2,LANDSAT_5,2000-05-24,959153114807,36670.30918981481,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000601,76.0,3476.0,3409.0,223.0,961,4170.4111328125,3156.707275390625,7837988.216692132,770793.0,3285770.0,617276.0,3629445.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4400.0,15.77,19.75,84.18,15.82,49.8,58.69,1,134.2,27.2,LANDSAT_7,2000-06-01,959845277460,36678.320335648146,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3162.0,3154.0,55.9,1753,3315.33251953125,3069.17919921875,7837988.216692132,947050.0,2794538.0,2125569.0,2612384.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4396.0,21.11,19.25,56.8,43.2,62.77,99.86,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,3177.0,3178.0,45.8,1546,3298.4853515625,3085.276123046875,7837988.216692132,1011746.0,2590976.0,2255868.0,2685647.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4032.0,28.69,20.87,53.46,46.54,61.84,90.99,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3257.0,3236.0,50.0,616,3444.87451171875,3203.5498046875,7837988.216692132,1131396.0,2652511.0,4389930.0,490050.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,3801.0,21.6,16.07,37.66,62.34,89.85,98.53,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000719,70.0,3348.0,3321.0,73.1,657,3537.219482421875,3281.035400390625,7837988.216692132,1167116.0,3144101.0,1504774.0,2883616.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4400.0,41.46,25.11,67.63,32.37,59.31,81.36,1,132.2,29.5,LANDSAT_7,2000-07-19,963992446752,36726.31997685185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000727,14.0,3681.0,3669.0,20.4,16,3697.927734375,3614.91796875,7837988.216692132,991231.0,2301798.0,1002961.0,4227732.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4400.0,39.66,29.99,69.65,30.35,42.16,99.86,1,128.9,32.8,LANDSAT_5,2000-07-27,964682789371,36734.310057870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000812,32.0,3762.0,3759.0,23.0,95,3805.9140625,3710.903076171875,7837988.216692132,2447413.0,4607054.0,1810527.0,1114910.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4400.0,33.65,38.14,71.79,28.21,81.88,99.2,1,133.8,36.0,LANDSAT_5,2000-08-12,966065216366,36750.31037037037,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000820,24.0,3681.0,3696.0,94.8,198,3888.232421875,3493.488525390625,7837988.216692132,1640998.0,3097785.0,1568457.0,2866249.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4400.0,31.22,35.17,66.39,33.61,59.53,75.8,1,141.3,36.4,LANDSAT_7,2000-08-20,966757224760,36758.31972222222,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000905,9.0,3378.0,3355.0,87.4,938,3586.23046875,3198.733642578125,7837988.216692132,1490027.0,3225012.0,3193976.0,1113503.0,COP-30m,943284,7.837988216692132,G043482E42972N,Nahashbita,4286.601,2614.343,4400.0,26.15,23.21,50.24,49.76,81.9,99.86,1,146.8,41.0,LANDSAT_7,2000-09-05,968139609118,36774.31954861111,"{""type"":""MultiPoint"",""coordinates"":[]}"
