system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_170030_20000501,42.0,3520.0,3521.0,31.0,723,3627.638671875,3473.7158203125,9421706.339714712,792670.0,809197.0,4185962.0,4157734.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4400.0,0.33,15.87,16.2,83.8,53.02,58.58,1,135.5,35.0,LANDSAT_5,2000-05-01,957165517429,36647.30459490741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_170030_20000517,24.0,4249.0,4282.0,178.8,147,4476.7421875,3952.1865234375,9421706.339714712,180598.0,188164.0,8301417.0,663311.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4400.0,0.08,2.13,2.22,97.78,90.11,100.52,1,131.6,31.4,LANDSAT_5,2000-05-17,958547939143,36663.30484953704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_170030_20000525,14.0,3173.0,3176.0,16.2,32,3186.68310546875,3130.547607421875,9421706.339714712,33441.0,501331.0,181347.0,8470215.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4400.0,13.6,4.9,73.44,26.56,7.25,100.52,1,135.9,28.0,LANDSAT_7,2000-05-25,959240109603,36671.31607638889,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000601,76.0,3534.0,3569.0,203.0,75,3624.862548828125,2984.572265625,9421706.339714712,169336.0,1976934.0,499075.0,6676884.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4400.0,7.94,6.84,79.84,20.16,26.28,34.37,1,134.2,27.2,LANDSAT_7,2000-06-01,959845277460,36678.320335648146,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_171030_20000617,3.0,3178.0,3146.0,68.0,731,3305.953857421875,3094.010498046875,9421706.339714712,1766662.0,3065360.0,1719886.0,4367647.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4929.0,3.2,36.92,64.06,35.94,50.79,100.52,1,131.2,26.6,LANDSAT_7,2000-06-17,961227673490,36694.320289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_170030_20000626,63.0,3320.0,3315.0,66.7,703,3432.604248046875,3202.9580078125,9421706.339714712,1408826.0,2319897.0,2746819.0,4086176.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4562.0,9.05,27.81,45.79,54.21,53.78,98.41,1,130.4,26.9,LANDSAT_7,2000-06-26,962004894575,36703.31590277778,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_171030_20000703,66.0,0,0,0,0,0,0,9421706.339714712,500851.0,1712297.0,1267934.0,6172662.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4400.0,27.01,16.81,57.46,42.54,31.63,43.54,1,130.4,27.4,LANDSAT_7,2000-07-03,962610060313,36710.320138888885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_170030_20000704,25.0,3554.0,3563.0,120.6,2321,3805.9052734375,3295.381591796875,9421706.339714712,1643229.0,2237013.0,5043946.0,1871934.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4400.0,8.14,22.57,30.72,69.28,77.28,96.76,1,124.9,29.7,LANDSAT_5,2000-07-04,962695198686,36711.30553240741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3450.0,3477.0,108.7,2097,3643.8310546875,3277.309326171875,9421706.339714712,2643334.0,3644651.0,4372471.0,1135771.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4400.0,12.49,32.97,45.46,54.54,85.09,100.39,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_170030_20000712,53.0,3489.0,3524.0,100.8,2592,3702.3056640625,3290.8896484375,9421706.339714712,3085030.0,4195801.0,3431614.0,1525477.0,COP-30m,943599,9.421706339714712,G044390E42722N,Midagrabin,4704.144,2923.1807,4400.0,14.51,40.45,55.01,44.99,80.96,99.99,1,131.1,28.5,LANDSAT_7,2000-07-12,963387280717,36719.31574074074,"{""type"":""MultiPoint"",""coordinates"":[]}"
