system:index,CLOUD_COVER,SLA_MP-mean,SLA_MP-median,SLA_MP-stdDev,SLA_MP-totalCount,SLA_MP-totalMax,SLA_MP-totalMin,area_glacier,area_ice,area_noSnow,area_snow,area_unknown,dem_info,glacier_anlys_id,glacier_area_km2,glacier_glims_id,glacier_name,glacier_zmax_m,glacier_zmin_m,otsu,percent_DCAF,percent_IEAF,percent_NSCAF,percent_SCAF,percent_classified,percent_data,scene_count,solar_azimuth_angle,solar_zenith_angle,spacecraft,time_date-string,time_millis,time_xlsx,.geo
2_1_1_1_1_1_1_2_LT05_170030_20000501,42.0,3347.0,3347.0,10.8,137,3366.888916015625,3327.352783203125,9562149.789884182,180961.0,193560.0,5411015.0,3688966.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,4400.0,0.22,3.23,3.45,96.55,58.61,61.84,1,135.5,35.0,LANDSAT_5,2000-05-01,957165517429,36647.30459490741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_170030_20000517,24.0,4142.0,4145.0,35.8,147,4223.966796875,4053.070068359375,9562149.789884182,46079.0,46334.0,9202452.0,44755.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,4400.0,0.0,0.5,0.5,99.5,96.72,99.52,1,131.6,31.4,LANDSAT_5,2000-05-17,958547939143,36663.30484953704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_LE07_170030_20000525,14.0,3972.0,3973.0,13.3,42,4015.7783203125,3955.030029296875,9562149.789884182,46134.0,2795868.0,19814.0,6477860.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,4400.0,1.61,1.64,99.3,0.7,29.45,99.84,1,135.9,28.0,LANDSAT_7,2000-05-25,959240109603,36671.31607638889,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_170030_20000618,31.0,3425.0,3424.0,60.4,667,3566.035888671875,3326.4716796875,9562149.789884182,1544524.0,2155347.0,1320339.0,5817855.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,4967.0,17.5,44.44,62.01,37.99,36.35,42.1,1,125.2,28.8,LANDSAT_5,2000-06-18,961312777246,36695.305289351854,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_170030_20000626,63.0,3244.0,3241.0,22.7,293,3294.244873046875,3206.092529296875,9562149.789884182,205977.0,4928470.0,493074.0,3871997.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,4400.0,1.27,3.8,90.91,9.09,56.7,97.15,1,130.4,26.9,LANDSAT_7,2000-06-26,962004894575,36703.31590277778,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_170030_20000704,25.0,3415.0,3421.0,94.0,2058,3655.906005859375,3254.771728515625,9562149.789884182,873852.0,1050223.0,7453133.0,790186.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,4561.0,2.07,10.28,12.35,87.65,88.93,94.78,1,124.9,29.7,LANDSAT_5,2000-07-04,962695198686,36711.30553240741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_LT05_171030_20000711,33.0,3353.0,3349.0,19.9,746,3402.375,3317.860107421875,9562149.789884182,776322.0,984409.0,5307204.0,3001929.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,4307.0,3.31,12.34,15.65,84.35,65.8,68.76,1,125.6,30.4,LANDSAT_5,2000-07-11,963300379230,36718.30994212963,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_LE07_170030_20000712,53.0,3387.0,3376.0,44.0,1403,3488.78955078125,3308.12451171875,9562149.789884182,662090.0,1780140.0,2359795.0,5153607.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,3991.0,7.51,15.99,43.0,57.0,43.3,97.95,1,131.1,28.5,LANDSAT_7,2000-07-12,963387280717,36719.31574074074,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_170030_20000720,2.0,3619.0,3625.0,120.7,3657,3889.3447265625,3406.668212890625,9562149.789884182,2378462.0,4538205.0,4536828.0,218508.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,3904.0,23.78,26.21,50.01,49.99,94.91,99.84,1,127.2,31.6,LANDSAT_5,2000-07-20,964077616815,36727.30574074074,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_LT05_171030_20000727,14.0,3654.0,3654.0,23.6,317,3695.484130859375,3605.88232421875,9562149.789884182,1725119.0,3187597.0,453927.0,5652018.0,COP-30m,943615,9.562149789884181,G044443E42706N,Suatisi Vostothnyi,4524.773,3130.1985,4167.0,40.08,47.37,87.53,12.47,38.08,99.84,1,128.9,32.8,LANDSAT_5,2000-07-27,964682789371,36734.310057870374,"{""type"":""MultiPoint"",""coordinates"":[]}"
