time_date-string,SLA_MP-median,glacier_area_km2,glacier_glims_id,glacier_name,weight_velocity,weight_class,LS_weight_final,SLA_unweighted_20day,SLA_weighted_20day
2000-05-24,3033.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3023.5,3023.5
2000-06-01,3014.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3023.5,3023.5
2000-06-17,3047.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3047.0,3047.0
2000-07-03,2777.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,2815.0,2832.4745
2000-07-11,2853.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2815.0,2832.4745
2000-07-27,3098.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3098.0,3098.0
2000-08-12,3165.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3177.0,3171.5404
2000-08-20,3189.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.10659999999999997,0.3746,3177.0,3171.5404
2000-09-05,3257.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3306.0,3306.0
2000-09-13,3355.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3306.0,3306.0
2000-10-07,2977.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2866.5,2866.5
2000-10-15,2756.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2866.5,2866.5
2000-10-31,3287.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.745,0.8215,3287.0,3287.0
2001-06-04,2510.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,2507.5,2506.3504
2001-06-12,2505.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2507.5,2506.3504
2001-06-28,2782.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2776.0,2778.7591
2001-07-06,2770.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,2828.3333,2838.4076
2001-07-14,2933.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.8056000000000003,0.8639,2851.5,2884.1225
2001-07-30,2985.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.9988000000000002,0.9992,2985.0,2985.0
2001-08-15,3495.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3495.0,3495.0
2001-09-16,3327.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3327.0,3327.0
2001-10-26,3067.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3067.0,3067.0
2002-05-22,3330.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,3330.0,3330.0
2002-09-27,3285.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,3285.0,3285.0
2004-07-14,2852.0,19.8134732334852,G043291E42928N,Agashtan,1.0,0.1,0.37,2852.0,2852.0
2004-07-30,2952.0,19.8134732334852,G043291E42928N,Agashtan,1.0,1.0,1.0,2952.0,2952.0
