time_date-string,SLA_MP-median,glacier_area_km2,glacier_glims_id,glacier_name,weight_velocity,weight_class,LS_weight_final,SLA_unweighted_20day,SLA_weighted_20day
2000-05-15,2672.0,11.308957415762702,G042501E43334N,Irik,1.0,0.8584,0.9009,3101.3333,2783.1734
2000-05-23,3859.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,3297.5,2843.4075
2000-05-24,2773.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3297.5,2843.4075
2000-05-31,3886.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,3330.75,2919.5422
2000-06-09,2805.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3189.75,2993.204
2000-06-16,3021.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,2957.6667,2950.8432
2000-06-17,3047.0,11.308957415762702,G042501E43334N,Irik,1.0,0.11080000000000041,0.3776,2957.6667,2950.8432
2000-07-03,3830.0,11.308957415762702,G042501E43334N,Irik,0.8659375,0.1,0.3298,3499.6667,3429.7381
2000-07-10,3414.0,11.308957415762702,G042501E43334N,Irik,0.7085714285714286,0.1,0.2826,3485.25,3432.3875
2000-07-11,3255.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3485.25,3432.3875
2000-07-19,3442.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3505.6,3521.2666
2000-07-26,3575.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3619.6667,3674.1156
2000-07-27,3842.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3619.6667,3674.1156
2000-08-12,3974.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3888.0,3896.1988
2000-08-19,3945.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1474000000000004,0.4032,3888.0,3896.1988
2000-08-20,3745.0,11.308957415762702,G042501E43334N,Irik,0.1,0.8781999999999999,0.6447,3888.0,3896.1988
2000-09-05,3859.0,11.308957415762702,G042501E43334N,Irik,1.0,0.11680000000000007,0.3818,3741.0,3742.8521
2000-09-12,3623.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3681.0,3639.0434
2000-09-20,3561.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3592.0,3577.7445
2000-10-07,3059.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,2864.6667,2896.6156
2000-10-14,2749.0,11.308957415762702,G042501E43334N,Irik,0.9357142857142857,0.1,0.3507,3038.25,2923.644
2000-10-15,2786.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3038.25,2923.644
2000-10-22,3559.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,2970.0,2814.6624
2000-10-31,2786.0,11.308957415762702,G042501E43334N,Irik,0.31166666666666676,1.0,0.7935,3172.5,2872.5137
2001-05-18,2665.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,2665.0,2665.0
2001-06-04,2770.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,2792.5,2802.8467
2001-06-12,2815.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,2853.3333,2875.4852
2001-06-19,2975.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,2960.0,2960.0
2001-06-28,3090.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3244.5,3141.2903
2001-07-05,3313.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3302.5,3216.2517
2001-07-06,3600.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,3302.5,3216.2517
2001-07-14,3207.0,11.308957415762702,G042501E43334N,Irik,0.863125,1.0,0.9589,3373.3333,3277.5717
2001-07-29,3712.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3632.6667,3617.5667
2001-07-30,3565.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3632.6667,3617.5667
2001-08-06,3621.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3668.75,3641.4494
2001-08-15,3777.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3750.3333,3703.5057
2001-08-22,3853.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3815.0,3815.0
2001-09-07,3498.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3613.5,3560.3869
2001-09-16,3729.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3684.3333,3628.0508
2001-09-23,3826.0,11.308957415762702,G042501E43334N,Irik,1.0,0.2404000000000002,0.4683,3441.6667,3311.5767
2001-10-02,2770.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3617.3333,3265.3592
2001-10-09,4256.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,3624.6667,3199.4646
2001-10-17,3848.0,11.308957415762702,G042501E43334N,Irik,0.835,0.1,0.3205,4269.5,3940.2933
2001-10-25,3460.0,11.308957415762702,G042501E43334N,Irik,0.8725,0.1,0.3318,4274.0,3898.3278
2001-10-26,5514.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,4274.0,3898.3278
2002-05-21,2674.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,2670.0,2670.0
2002-05-22,2666.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,2670.0,2670.0
2002-06-22,2661.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3864.0,3676.2486
2002-06-23,5067.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3864.0,3676.2486
2002-07-16,3777.0,11.308957415762702,G042501E43334N,Irik,0.758695652173913,0.1,0.2976,3777.0,3777.0
2002-08-01,3625.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3625.0,3625.0
2002-08-17,3421.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3421.0,3421.0
2002-09-27,3225.0,11.308957415762702,G042501E43334N,Irik,1.0,0.49119999999999975,0.6438,3225.0,3225.0
2002-10-20,3054.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3054.0,3054.0
2003-05-25,2845.0,11.308957415762702,G042501E43334N,Irik,1.0,0.9088000000000003,0.9362,2845.0,2845.0
2003-06-25,3016.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3016.0,3016.0
2003-07-11,3263.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3263.0,3263.0
2003-07-27,3415.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3622.5,3514.7942
2003-08-04,3830.0,11.308957415762702,G042501E43334N,Irik,0.821875,0.1,0.3166,3622.5,3514.7942
2003-08-20,3778.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3717.0,3688.9489
2003-08-28,3656.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3717.0,3688.9489
2003-09-22,2989.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3323.0,3060.8908
2003-09-29,3657.0,11.308957415762702,G042501E43334N,Irik,0.16857142857142848,0.1,0.1206,3519.6667,3272.4032
2003-10-08,3913.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3539.0,3369.7806
2003-10-15,3047.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3480.0,3338.2909
2004-06-27,3692.0,11.308957415762702,G042501E43334N,Irik,1.0,0.7293999999999997,0.8106,3692.0,3692.0
2004-07-14,3486.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3486.0,3486.0
2004-07-30,3554.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3554.0,3554.0
2004-08-14,3341.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3447.0,3452.6629
2004-08-15,3433.0,11.308957415762702,G042501E43334N,Irik,0.21999999999999997,0.1,0.136,3447.0,3452.6629
2004-08-23,3567.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3447.0,3452.6629
2004-09-08,5546.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,4080.6667,4214.2051
2004-09-15,2946.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,4080.6667,4214.2051
2004-09-16,3750.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,4080.6667,4214.2051
2004-10-25,3547.0,11.308957415762702,G042501E43334N,Irik,1.0,0.4234000000000001,0.5964,4534.5,4633.9647
2004-10-26,5522.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,4534.5,4633.9647
2005-05-06,3766.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3766.0,3766.0
2005-05-29,3870.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3383.5,3781.5455
2005-06-07,2897.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,3383.5,3781.5455
2005-06-30,3323.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3407.0,3329.0728
2005-07-01,3523.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,3407.0,3329.0728
2005-07-08,3848.0,11.308957415762702,G042501E43334N,Irik,0.9035714285714286,0.37,0.5301,3407.0,3329.0728
2005-07-09,2934.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3407.0,3329.0728
2005-07-24,3829.0,11.308957415762702,G042501E43334N,Irik,0.7050000000000001,0.37,0.4705,3539.5,3476.9217
2005-07-25,3250.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3539.5,3476.9217
2005-08-09,3739.0,11.308957415762702,G042501E43334N,Irik,1.0,0.2913999999999999,0.504,3713.0,3716.9863
2005-08-18,3687.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3713.0,3716.9863
2005-09-10,3735.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3735.0,3735.0
2006-05-16,3692.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3810.6667,3800.7434
2006-05-24,3873.0,11.308957415762702,G042501E43334N,Irik,1.0,0.4113999999999999,0.588,3534.0,3559.4467
2006-05-25,3867.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3534.0,3559.4467
2006-06-01,2704.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3540.25,3511.1431
2006-06-09,3717.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,3396.6667,3116.7917
2006-06-17,3769.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3764.6667,3779.9881
2006-06-25,3808.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3762.0,3762.0
2006-07-03,3709.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3598.6667,3487.1114
2006-07-12,3279.0,11.308957415762702,G042501E43334N,Irik,0.8833333333333333,1.0,0.965,3494.0,3398.176
2006-07-27,3805.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3658.0,3628.5843
2006-07-28,3563.0,11.308957415762702,G042501E43334N,Irik,0.1,0.3825999999999996,0.2978,3658.0,3628.5843
2006-08-04,3577.0,11.308957415762702,G042501E43334N,Irik,1.0,1.0,1.0,3710.0,3703.3175
2006-08-05,3687.0,11.308957415762702,G042501E43334N,Irik,0.1,0.1,0.1,3710.0,3703.3175
2006-08-12,3844.0,11.308957415762702,G042501E43334N,Irik,1.0,0.26439999999999975,0.4851,3723.0,3705.0696
2006-08-13,3784.0,11.308957415762702,G042501E43334N,Irik,0.7,0.8308000000000004,0.7916,3723.0,3705.0696
2006-08-28,3816.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3882.5,3904.2636
2006-08-29,3949.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3882.5,3904.2636
2006-09-13,3759.0,11.308957415762702,G042501E43334N,Irik,1.0,0.1,0.37,3519.3333,3457.3762
2006-09-14,3442.0,11.308957415762702,G042501E43334N,Irik,0.1,1.0,0.73,3519.3333,3457.3762
