date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-04,,3072.33,3072.33,MODIS WLS (Proxy),G043016E43017N
2000-05-15,,3146.04,3146.04,MODIS WLS (Proxy),G043016E43017N
2000-05-21,,3223.15,3223.15,MODIS WLS (Proxy),G043016E43017N
2000-05-24,2504.0,,2504.0,Landsat/Sentinel (Observation),G043016E43017N
2000-05-26,,3384.51,3384.51,MODIS WLS (Proxy),G043016E43017N
2000-06-09,3608.97,,3608.97,Landsat/Sentinel (Observation),G043016E43017N
2000-06-10,,3131.17,3131.17,MODIS WLS (Proxy),G043016E43017N
2000-06-15,,3328.61,3328.61,MODIS WLS (Proxy),G043016E43017N
2000-06-16,3608.97,3328.61,3608.97,Landsat/Sentinel (Observation),G043016E43017N
2000-06-17,3608.97,3328.61,3608.97,Landsat/Sentinel (Observation),G043016E43017N
2000-06-21,,3181.65,3181.65,MODIS WLS (Proxy),G043016E43017N
2000-06-23,,3266.98,3266.98,MODIS WLS (Proxy),G043016E43017N
2000-06-25,,3328.3,3328.3,MODIS WLS (Proxy),G043016E43017N
2000-06-26,,3328.3,3328.3,MODIS WLS (Proxy),G043016E43017N
2000-06-28,,3325.05,3325.05,MODIS WLS (Proxy),G043016E43017N
2000-07-03,3449.34,3446.45,3449.34,Landsat/Sentinel (Observation),G043016E43017N
2000-07-04,,3446.45,3446.45,MODIS WLS (Proxy),G043016E43017N
2000-07-09,,3491.2,3491.2,MODIS WLS (Proxy),G043016E43017N
2000-07-10,3540.78,3501.58,3540.78,Landsat/Sentinel (Observation),G043016E43017N
2000-07-11,3540.78,,3540.78,Landsat/Sentinel (Observation),G043016E43017N
2000-07-12,,3527.13,3527.13,MODIS WLS (Proxy),G043016E43017N
2000-07-13,,3533.48,3533.48,MODIS WLS (Proxy),G043016E43017N
2000-07-14,,3578.85,3578.85,MODIS WLS (Proxy),G043016E43017N
2000-07-15,,3578.85,3578.85,MODIS WLS (Proxy),G043016E43017N
2000-07-16,,3599.45,3599.45,MODIS WLS (Proxy),G043016E43017N
2000-07-17,,3596.81,3596.81,MODIS WLS (Proxy),G043016E43017N
2000-07-18,3698.75,,3698.75,Landsat/Sentinel (Observation),G043016E43017N
2000-07-21,,3587.52,3587.52,MODIS WLS (Proxy),G043016E43017N
2000-07-22,,3587.52,3587.52,MODIS WLS (Proxy),G043016E43017N
2000-07-26,3881.92,,3881.92,Landsat/Sentinel (Observation),G043016E43017N
2000-07-27,3881.92,,3881.92,Landsat/Sentinel (Observation),G043016E43017N
2000-07-28,,3600.22,3600.22,MODIS WLS (Proxy),G043016E43017N
2000-07-29,,3600.22,3600.22,MODIS WLS (Proxy),G043016E43017N
2000-08-12,3869.79,,3869.79,Landsat/Sentinel (Observation),G043016E43017N
2000-08-19,3869.79,,3869.79,Landsat/Sentinel (Observation),G043016E43017N
2000-08-20,3869.79,3476.65,3869.79,Landsat/Sentinel (Observation),G043016E43017N
2000-09-02,,3401.7,3401.7,MODIS WLS (Proxy),G043016E43017N
2000-09-05,3343.2,3401.7,3343.2,Landsat/Sentinel (Observation),G043016E43017N
2000-09-09,,3496.0,3496.0,MODIS WLS (Proxy),G043016E43017N
2000-09-11,,3496.0,3496.0,MODIS WLS (Proxy),G043016E43017N
2000-09-12,3420.53,3496.0,3420.53,Landsat/Sentinel (Observation),G043016E43017N
2000-09-20,3383.52,3451.56,3383.52,Landsat/Sentinel (Observation),G043016E43017N
2000-10-02,,3202.56,3202.56,MODIS WLS (Proxy),G043016E43017N
2000-10-03,,3202.56,3202.56,MODIS WLS (Proxy),G043016E43017N
2000-10-04,,3255.83,3255.83,MODIS WLS (Proxy),G043016E43017N
2000-10-05,,3255.83,3255.83,MODIS WLS (Proxy),G043016E43017N
2000-10-07,2938.78,3309.72,2938.78,Landsat/Sentinel (Observation),G043016E43017N
2000-10-14,2938.78,,2938.78,Landsat/Sentinel (Observation),G043016E43017N
