date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-15,5437.69,,5437.69,Landsat/Sentinel (Observation),G042449E43302N
2000-05-20,,3887.27,3887.27,MODIS WLS (Proxy),G042449E43302N
2000-05-21,,3877.52,3877.52,MODIS WLS (Proxy),G042449E43302N
2000-05-23,5437.69,,5437.69,Landsat/Sentinel (Observation),G042449E43302N
2000-05-24,5437.69,3869.39,5437.69,Landsat/Sentinel (Observation),G042449E43302N
2000-06-07,,3858.15,3858.15,MODIS WLS (Proxy),G042449E43302N
2000-06-09,3611.93,,3611.93,Landsat/Sentinel (Observation),G042449E43302N
2000-06-11,,3861.4,3861.4,MODIS WLS (Proxy),G042449E43302N
2000-06-12,,3861.4,3861.4,MODIS WLS (Proxy),G042449E43302N
2000-06-13,,3857.8,3857.8,MODIS WLS (Proxy),G042449E43302N
2000-06-16,3611.93,3848.26,3611.93,Landsat/Sentinel (Observation),G042449E43302N
2000-06-17,3611.93,,3611.93,Landsat/Sentinel (Observation),G042449E43302N
2000-06-25,,3841.9,3841.9,MODIS WLS (Proxy),G042449E43302N
2000-06-26,,3841.9,3841.9,MODIS WLS (Proxy),G042449E43302N
2000-06-28,,3814.83,3814.83,MODIS WLS (Proxy),G042449E43302N
2000-07-01,,3783.31,3783.31,MODIS WLS (Proxy),G042449E43302N
2000-07-03,3468.28,3776.81,3468.28,Landsat/Sentinel (Observation),G042449E43302N
2000-07-04,,3776.81,3776.81,MODIS WLS (Proxy),G042449E43302N
2000-07-09,,3776.1,3776.1,MODIS WLS (Proxy),G042449E43302N
2000-07-10,3525.39,3768.54,3525.39,Landsat/Sentinel (Observation),G042449E43302N
2000-07-11,3525.39,,3525.39,Landsat/Sentinel (Observation),G042449E43302N
2000-07-12,,3757.72,3757.72,MODIS WLS (Proxy),G042449E43302N
2000-07-13,,3752.99,3752.99,MODIS WLS (Proxy),G042449E43302N
2000-07-14,,3731.36,3731.36,MODIS WLS (Proxy),G042449E43302N
2000-07-15,,3731.36,3731.36,MODIS WLS (Proxy),G042449E43302N
2000-07-16,,3720.62,3720.62,MODIS WLS (Proxy),G042449E43302N
2000-07-17,,3720.9,3720.9,MODIS WLS (Proxy),G042449E43302N
2000-07-18,3644.52,,3644.52,Landsat/Sentinel (Observation),G042449E43302N
2000-07-19,3644.52,,3644.52,Landsat/Sentinel (Observation),G042449E43302N
2000-07-25,,3731.57,3731.57,MODIS WLS (Proxy),G042449E43302N
2000-07-26,3696.44,,3696.44,Landsat/Sentinel (Observation),G042449E43302N
2000-07-27,3696.44,,3696.44,Landsat/Sentinel (Observation),G042449E43302N
2000-07-29,,3646.41,3646.41,MODIS WLS (Proxy),G042449E43302N
2000-08-02,,3652.63,3652.63,MODIS WLS (Proxy),G042449E43302N
2000-08-05,,3652.63,3652.63,MODIS WLS (Proxy),G042449E43302N
2000-08-12,3959.41,,3959.41,Landsat/Sentinel (Observation),G042449E43302N
2000-08-19,3959.41,,3959.41,Landsat/Sentinel (Observation),G042449E43302N
2000-08-20,3959.41,,3959.41,Landsat/Sentinel (Observation),G042449E43302N
2000-08-22,,3730.65,3730.65,MODIS WLS (Proxy),G042449E43302N
2000-08-23,,3730.65,3730.65,MODIS WLS (Proxy),G042449E43302N
2000-09-02,,3833.91,3833.91,MODIS WLS (Proxy),G042449E43302N
2000-09-04,,3827.27,3827.27,MODIS WLS (Proxy),G042449E43302N
2000-09-05,3474.0,3827.27,3474.0,Landsat/Sentinel (Observation),G042449E43302N
2000-09-06,,3838.51,3838.51,MODIS WLS (Proxy),G042449E43302N
2000-09-09,,3876.25,3876.25,MODIS WLS (Proxy),G042449E43302N
2000-09-11,,3915.61,3915.61,MODIS WLS (Proxy),G042449E43302N
2000-09-12,3394.11,,3394.11,Landsat/Sentinel (Observation),G042449E43302N
2000-09-18,,3908.83,3908.83,MODIS WLS (Proxy),G042449E43302N
2000-09-20,3356.88,,3356.88,Landsat/Sentinel (Observation),G042449E43302N
2000-10-03,,3979.08,3979.08,MODIS WLS (Proxy),G042449E43302N
2000-10-04,,3961.76,3961.76,MODIS WLS (Proxy),G042449E43302N
2000-10-05,,3961.76,3961.76,MODIS WLS (Proxy),G042449E43302N
2000-10-06,,3961.76,3961.76,MODIS WLS (Proxy),G042449E43302N
2000-10-07,4855.37,3953.78,4855.37,Landsat/Sentinel (Observation),G042449E43302N
2000-10-14,4784.52,4054.77,4784.52,Landsat/Sentinel (Observation),G042449E43302N
2000-10-15,4784.52,4054.77,4784.52,Landsat/Sentinel (Observation),G042449E43302N
2000-10-22,5365.55,,5365.55,Landsat/Sentinel (Observation),G042449E43302N
2000-10-28,,4072.16,4072.16,MODIS WLS (Proxy),G042449E43302N
2000-10-31,5208.33,4072.16,5208.33,Landsat/Sentinel (Observation),G042449E43302N
2001-05-01,,3921.34,3921.34,MODIS WLS (Proxy),G042449E43302N
2001-05-07,,3913.7,3913.7,MODIS WLS (Proxy),G042449E43302N
2001-05-18,4097.0,3941.55,4097.0,Landsat/Sentinel (Observation),G042449E43302N
2001-05-22,,3925.65,3925.65,MODIS WLS (Proxy),G042449E43302N
2001-05-25,,3925.65,3925.65,MODIS WLS (Proxy),G042449E43302N
2001-06-04,4792.46,3881.34,4792.46,Landsat/Sentinel (Observation),G042449E43302N
2001-06-11,,3847.91,3847.91,MODIS WLS (Proxy),G042449E43302N
2001-06-12,3698.3,,3698.3,Landsat/Sentinel (Observation),G042449E43302N
2001-06-13,,3847.91,3847.91,MODIS WLS (Proxy),G042449E43302N
2001-06-14,,3847.91,3847.91,MODIS WLS (Proxy),G042449E43302N
2001-06-19,3691.06,,3691.06,Landsat/Sentinel (Observation),G042449E43302N
2001-06-28,3685.92,,3685.92,Landsat/Sentinel (Observation),G042449E43302N
2001-07-04,,3800.84,3800.84,MODIS WLS (Proxy),G042449E43302N
2001-07-05,4060.62,,4060.62,Landsat/Sentinel (Observation),G042449E43302N
2001-07-06,,3800.84,3800.84,MODIS WLS (Proxy),G042449E43302N
2001-07-13,,3828.82,3828.82,MODIS WLS (Proxy),G042449E43302N
