date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-04,,2323.92,2323.92,MODIS WLS (Proxy),G042999E43050N
2000-05-15,3117.63,,3117.63,Landsat/Sentinel (Observation),G042999E43050N
2000-05-20,,2645.05,2645.05,MODIS WLS (Proxy),G042999E43050N
2000-05-21,,2645.05,2645.05,MODIS WLS (Proxy),G042999E43050N
2000-05-22,,2645.05,2645.05,MODIS WLS (Proxy),G042999E43050N
2000-05-24,3033.3,,3033.3,Landsat/Sentinel (Observation),G042999E43050N
2000-05-31,2645.92,,2645.92,Landsat/Sentinel (Observation),G042999E43050N
2000-06-01,2645.92,,2645.92,Landsat/Sentinel (Observation),G042999E43050N
2000-06-09,2848.99,,2848.99,Landsat/Sentinel (Observation),G042999E43050N
2000-06-12,,2910.27,2910.27,MODIS WLS (Proxy),G042999E43050N
2000-06-15,,2948.25,2948.25,MODIS WLS (Proxy),G042999E43050N
2000-06-16,2867.02,2980.26,2867.02,Landsat/Sentinel (Observation),G042999E43050N
2000-06-17,2867.02,2980.26,2867.02,Landsat/Sentinel (Observation),G042999E43050N
2000-06-21,,2386.23,2386.23,MODIS WLS (Proxy),G042999E43050N
2000-06-25,,2910.48,2910.48,MODIS WLS (Proxy),G042999E43050N
2000-06-26,,2910.48,2910.48,MODIS WLS (Proxy),G042999E43050N
2000-06-28,,2910.48,2910.48,MODIS WLS (Proxy),G042999E43050N
2000-07-03,3100.84,3128.76,3100.84,Landsat/Sentinel (Observation),G042999E43050N
2000-07-05,,3128.76,3128.76,MODIS WLS (Proxy),G042999E43050N
2000-07-09,,3167.38,3167.38,MODIS WLS (Proxy),G042999E43050N
2000-07-10,3121.71,3170.37,3121.71,Landsat/Sentinel (Observation),G042999E43050N
2000-07-11,3121.71,,3121.71,Landsat/Sentinel (Observation),G042999E43050N
2000-07-12,,3190.43,3190.43,MODIS WLS (Proxy),G042999E43050N
2000-07-13,,3201.31,3201.31,MODIS WLS (Proxy),G042999E43050N
2000-07-14,,3222.01,3222.01,MODIS WLS (Proxy),G042999E43050N
2000-07-15,,3222.01,3222.01,MODIS WLS (Proxy),G042999E43050N
2000-07-16,,3228.19,3228.19,MODIS WLS (Proxy),G042999E43050N
2000-07-18,3349.22,,3349.22,Landsat/Sentinel (Observation),G042999E43050N
2000-07-19,3349.22,,3349.22,Landsat/Sentinel (Observation),G042999E43050N
2000-07-20,,3314.18,3314.18,MODIS WLS (Proxy),G042999E43050N
2000-07-21,,3314.18,3314.18,MODIS WLS (Proxy),G042999E43050N
2000-07-22,,3314.18,3314.18,MODIS WLS (Proxy),G042999E43050N
2000-07-26,3559.23,,3559.23,Landsat/Sentinel (Observation),G042999E43050N
2000-07-27,3559.23,3341.28,3559.23,Landsat/Sentinel (Observation),G042999E43050N
2000-07-28,,3341.28,3341.28,MODIS WLS (Proxy),G042999E43050N
2000-07-29,,3341.28,3341.28,MODIS WLS (Proxy),G042999E43050N
2000-07-30,,3341.28,3341.28,MODIS WLS (Proxy),G042999E43050N
2000-08-04,3601.59,,3601.59,Landsat/Sentinel (Observation),G042999E43050N
2000-08-11,3459.34,,3459.34,Landsat/Sentinel (Observation),G042999E43050N
2000-08-12,3459.34,,3459.34,Landsat/Sentinel (Observation),G042999E43050N
2000-08-19,3392.08,,3392.08,Landsat/Sentinel (Observation),G042999E43050N
2000-08-20,3392.08,,3392.08,Landsat/Sentinel (Observation),G042999E43050N
2000-09-04,,3230.12,3230.12,MODIS WLS (Proxy),G042999E43050N
2000-09-05,3387.36,3230.12,3387.36,Landsat/Sentinel (Observation),G042999E43050N
2000-09-06,,3224.35,3224.35,MODIS WLS (Proxy),G042999E43050N
2000-09-09,,3353.66,3353.66,MODIS WLS (Proxy),G042999E43050N
2000-09-11,,3350.88,3350.88,MODIS WLS (Proxy),G042999E43050N
2000-09-12,3338.27,3350.88,3338.27,Landsat/Sentinel (Observation),G042999E43050N
2000-09-18,,3166.74,3166.74,MODIS WLS (Proxy),G042999E43050N
2000-09-19,,3166.74,3166.74,MODIS WLS (Proxy),G042999E43050N
2000-09-20,3288.82,,3288.82,Landsat/Sentinel (Observation),G042999E43050N
2000-09-28,,2848.82,2848.82,MODIS WLS (Proxy),G042999E43050N
2000-10-02,,3111.69,3111.69,MODIS WLS (Proxy),G042999E43050N
2000-10-03,,3111.69,3111.69,MODIS WLS (Proxy),G042999E43050N
2000-10-04,,3169.73,3169.73,MODIS WLS (Proxy),G042999E43050N
2000-10-05,,3169.73,3169.73,MODIS WLS (Proxy),G042999E43050N
2000-10-07,2755.12,3262.12,2755.12,Landsat/Sentinel (Observation),G042999E43050N
2000-10-14,2779.06,3029.12,2779.06,Landsat/Sentinel (Observation),G042999E43050N
2000-10-15,2779.06,3029.12,2779.06,Landsat/Sentinel (Observation),G042999E43050N
2000-10-22,2703.99,,2703.99,Landsat/Sentinel (Observation),G042999E43050N
2000-10-28,,3125.35,3125.35,MODIS WLS (Proxy),G042999E43050N
2000-10-31,2867.46,,2867.46,Landsat/Sentinel (Observation),G042999E43050N
2001-05-01,,2562.69,2562.69,MODIS WLS (Proxy),G042999E43050N
2001-05-07,,2560.55,2560.55,MODIS WLS (Proxy),G042999E43050N
2001-05-18,2436.0,,2436.0,Landsat/Sentinel (Observation),G042999E43050N
2001-05-25,,2537.51,2537.51,MODIS WLS (Proxy),G042999E43050N
2001-05-26,,2537.51,2537.51,MODIS WLS (Proxy),G042999E43050N
2001-06-04,,2644.41,2644.41,MODIS WLS (Proxy),G042999E43050N
2001-06-10,,2821.72,2821.72,MODIS WLS (Proxy),G042999E43050N
2001-06-11,,2821.72,2821.72,MODIS WLS (Proxy),G042999E43050N
2001-06-12,2728.18,,2728.18,Landsat/Sentinel (Observation),G042999E43050N
2001-06-13,,2821.72,2821.72,MODIS WLS (Proxy),G042999E43050N
2001-06-19,2783.38,,2783.38,Landsat/Sentinel (Observation),G042999E43050N
2001-06-28,2909.16,,2909.16,Landsat/Sentinel (Observation),G042999E43050N
2001-07-05,2964.58,,2964.58,Landsat/Sentinel (Observation),G042999E43050N
2001-07-06,2964.58,3104.65,2964.58,Landsat/Sentinel (Observation),G042999E43050N
2001-07-13,,3127.48,3127.48,MODIS WLS (Proxy),G042999E43050N
2001-07-14,3027.36,,3027.36,Landsat/Sentinel (Observation),G042999E43050N
2001-07-15,,3134.52,3134.52,MODIS WLS (Proxy),G042999E43050N
2001-07-16,,3133.24,3133.24,MODIS WLS (Proxy),G042999E43050N
2001-07-17,,3130.68,3130.68,MODIS WLS (Proxy),G042999E43050N
2001-07-19,,3223.93,3223.93,MODIS WLS (Proxy),G042999E43050N
2001-07-22,,3260.2,3260.2,MODIS WLS (Proxy),G042999E43050N
2001-07-23,,3274.5,3274.5,MODIS WLS (Proxy),G042999E43050N
2001-07-24,,3288.58,3288.58,MODIS WLS (Proxy),G042999E43050N
2001-07-25,,3288.58,3288.58,MODIS WLS (Proxy),G042999E43050N
2001-07-27,,3333.17,3333.17,MODIS WLS (Proxy),G042999E43050N
2001-07-29,3431.86,3357.71,3431.86,Landsat/Sentinel (Observation),G042999E43050N
2001-07-30,3431.86,3348.54,3431.86,Landsat/Sentinel (Observation),G042999E43050N
2001-08-02,,3328.69,3328.69,MODIS WLS (Proxy),G042999E43050N
2001-08-04,,3320.58,3320.58,MODIS WLS (Proxy),G042999E43050N
2001-08-05,,3320.58,3320.58,MODIS WLS (Proxy),G042999E43050N
2001-08-06,3431.86,3326.13,3431.86,Landsat/Sentinel (Observation),G042999E43050N
2001-08-10,,3395.48,3395.48,MODIS WLS (Proxy),G042999E43050N
2001-08-11,,3395.48,3395.48,MODIS WLS (Proxy),G042999E43050N
2001-08-12,,3395.48,3395.48,MODIS WLS (Proxy),G042999E43050N
2001-08-13,,3394.41,3394.41,MODIS WLS (Proxy),G042999E43050N
2001-08-16,,3389.72,3389.72,MODIS WLS (Proxy),G042999E43050N
2001-08-21,,3346.19,3346.19,MODIS WLS (Proxy),G042999E43050N
2001-08-22,3358.0,,3358.0,Landsat/Sentinel (Observation),G042999E43050N
2001-08-27,,3107.85,3107.85,MODIS WLS (Proxy),G042999E43050N
2001-09-01,,2798.68,2798.68,MODIS WLS (Proxy),G042999E43050N
2001-09-02,,2810.2,2810.2,MODIS WLS (Proxy),G042999E43050N
2001-09-05,,3132.18,3132.18,MODIS WLS (Proxy),G042999E43050N
2001-09-06,,3135.38,3135.38,MODIS WLS (Proxy),G042999E43050N
2001-09-07,3089.0,,3089.0,Landsat/Sentinel (Observation),G042999E43050N
2001-09-10,,3063.47,3063.47,MODIS WLS (Proxy),G042999E43050N
2001-09-11,,3063.47,3063.47,MODIS WLS (Proxy),G042999E43050N
2001-09-12,,3102.95,3102.95,MODIS WLS (Proxy),G042999E43050N
2001-09-15,,3163.76,3163.76,MODIS WLS (Proxy),G042999E43050N
2001-09-18,,3169.73,3169.73,MODIS WLS (Proxy),G042999E43050N
2001-09-19,,3201.74,3201.74,MODIS WLS (Proxy),G042999E43050N
2001-09-21,,3201.74,3201.74,MODIS WLS (Proxy),G042999E43050N
2001-09-23,2949.0,,2949.0,Landsat/Sentinel (Observation),G042999E43050N
2001-10-02,,3106.15,3106.15,MODIS WLS (Proxy),G042999E43050N
2001-10-03,,3106.15,3106.15,MODIS WLS (Proxy),G042999E43050N
2001-10-04,,3106.15,3106.15,MODIS WLS (Proxy),G042999E43050N
2001-10-05,,3121.72,3121.72,MODIS WLS (Proxy),G042999E43050N
2001-10-08,,3216.67,3216.67,MODIS WLS (Proxy),G042999E43050N
2001-10-09,2861.77,3231.18,2861.77,Landsat/Sentinel (Observation),G042999E43050N
2001-10-10,,3231.18,3231.18,MODIS WLS (Proxy),G042999E43050N
2001-10-11,,3231.18,3231.18,MODIS WLS (Proxy),G042999E43050N
2001-10-17,3047.19,,3047.19,Landsat/Sentinel (Observation),G042999E43050N
2001-10-25,3132.17,,3132.17,Landsat/Sentinel (Observation),G042999E43050N
2001-10-26,3132.17,,3132.17,Landsat/Sentinel (Observation),G042999E43050N
2001-10-27,,2903.02,2903.02,MODIS WLS (Proxy),G042999E43050N
2001-10-29,,2903.02,2903.02,MODIS WLS (Proxy),G042999E43050N
2002-05-01,,2539.86,2539.86,MODIS WLS (Proxy),G042999E43050N
2002-05-02,,2539.86,2539.86,MODIS WLS (Proxy),G042999E43050N
2002-05-06,3676.0,,3676.0,Landsat/Sentinel (Observation),G042999E43050N
2002-05-13,3203.39,2647.61,3203.39,Landsat/Sentinel (Observation),G042999E43050N
2002-05-14,,2647.61,2647.61,MODIS WLS (Proxy),G042999E43050N
2002-05-16,,2647.61,2647.61,MODIS WLS (Proxy),G042999E43050N
