date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-01,2210.0,,2210.0,Landsat/Sentinel (Observation),G043748E42782N
2000-05-17,2641.0,,2641.0,Landsat/Sentinel (Observation),G043748E42782N
2000-05-21,,3135.29,3135.29,MODIS WLS (Proxy),G043748E42782N
2000-05-22,,3135.29,3135.29,MODIS WLS (Proxy),G043748E42782N
2000-06-01,2984.74,,2984.74,Landsat/Sentinel (Observation),G043748E42782N
2000-06-02,2984.74,,2984.74,Landsat/Sentinel (Observation),G043748E42782N
2000-06-07,,3268.5,3268.5,MODIS WLS (Proxy),G043748E42782N
2000-06-12,,3057.56,3057.56,MODIS WLS (Proxy),G043748E42782N
2000-06-15,,3182.64,3182.64,MODIS WLS (Proxy),G043748E42782N
2000-06-16,,3288.83,3288.83,MODIS WLS (Proxy),G043748E42782N
2000-06-17,3719.27,3288.83,3719.27,Landsat/Sentinel (Observation),G043748E42782N
2000-06-22,,3085.3,3085.3,MODIS WLS (Proxy),G043748E42782N
2000-06-26,3619.31,3163.99,3619.31,Landsat/Sentinel (Observation),G043748E42782N
2000-07-01,,3449.79,3449.79,MODIS WLS (Proxy),G043748E42782N
2000-07-03,3315.86,3476.58,3315.86,Landsat/Sentinel (Observation),G043748E42782N
2000-07-04,3315.86,,3315.86,Landsat/Sentinel (Observation),G043748E42782N
2000-07-05,,3474.19,3474.19,MODIS WLS (Proxy),G043748E42782N
2000-07-09,,3419.18,3419.18,MODIS WLS (Proxy),G043748E42782N
2000-07-11,3326.05,,3326.05,Landsat/Sentinel (Observation),G043748E42782N
2000-07-12,3326.05,3501.45,3326.05,Landsat/Sentinel (Observation),G043748E42782N
2000-07-13,,3523.69,3523.69,MODIS WLS (Proxy),G043748E42782N
2000-07-14,,3548.81,3548.81,MODIS WLS (Proxy),G043748E42782N
2000-07-15,,3548.81,3548.81,MODIS WLS (Proxy),G043748E42782N
2000-07-16,,3600.7,3600.7,MODIS WLS (Proxy),G043748E42782N
2000-07-17,,3599.51,3599.51,MODIS WLS (Proxy),G043748E42782N
2000-07-19,3366.94,,3366.94,Landsat/Sentinel (Observation),G043748E42782N
2000-07-20,3366.94,,3366.94,Landsat/Sentinel (Observation),G043748E42782N
2000-07-21,,3610.51,3610.51,MODIS WLS (Proxy),G043748E42782N
2000-07-23,,3652.6,3652.6,MODIS WLS (Proxy),G043748E42782N
2000-07-26,,3683.46,3683.46,MODIS WLS (Proxy),G043748E42782N
2000-07-27,3622.27,,3622.27,Landsat/Sentinel (Observation),G043748E42782N
2000-07-28,3622.27,3705.94,3622.27,Landsat/Sentinel (Observation),G043748E42782N
2000-07-29,,3700.2,3700.2,MODIS WLS (Proxy),G043748E42782N
2000-07-30,,3699.0,3699.0,MODIS WLS (Proxy),G043748E42782N
2000-08-01,,3703.07,3703.07,MODIS WLS (Proxy),G043748E42782N
2000-08-05,3470.89,,3470.89,Landsat/Sentinel (Observation),G043748E42782N
2000-08-12,3427.85,,3427.85,Landsat/Sentinel (Observation),G043748E42782N
2000-08-19,,3730.81,3730.81,MODIS WLS (Proxy),G043748E42782N
2000-08-20,3341.14,3750.66,3341.14,Landsat/Sentinel (Observation),G043748E42782N
2000-08-23,,3744.44,3744.44,MODIS WLS (Proxy),G043748E42782N
2000-08-29,,3061.14,3061.14,MODIS WLS (Proxy),G043748E42782N
2000-09-02,,3323.03,3323.03,MODIS WLS (Proxy),G043748E42782N
2000-09-03,,3335.23,3335.23,MODIS WLS (Proxy),G043748E42782N
2000-09-05,3610.41,3335.23,3610.41,Landsat/Sentinel (Observation),G043748E42782N
2000-09-06,3610.41,3394.78,3610.41,Landsat/Sentinel (Observation),G043748E42782N
2000-09-09,,3600.23,3600.23,MODIS WLS (Proxy),G043748E42782N
2000-09-11,,3595.44,3595.44,MODIS WLS (Proxy),G043748E42782N
2000-09-12,,3595.44,3595.44,MODIS WLS (Proxy),G043748E42782N
2000-09-13,3583.57,,3583.57,Landsat/Sentinel (Observation),G043748E42782N
2000-09-18,,3241.24,3241.24,MODIS WLS (Proxy),G043748E42782N
2000-09-19,,3241.24,3241.24,MODIS WLS (Proxy),G043748E42782N
2000-09-20,,3241.24,3241.24,MODIS WLS (Proxy),G043748E42782N
2000-09-22,3593.33,,3593.33,Landsat/Sentinel (Observation),G043748E42782N
2000-10-02,,3117.35,3117.35,MODIS WLS (Proxy),G043748E42782N
2000-10-03,,3129.31,3129.31,MODIS WLS (Proxy),G043748E42782N
2000-10-04,,3129.31,3129.31,MODIS WLS (Proxy),G043748E42782N
2000-10-05,,3129.31,3129.31,MODIS WLS (Proxy),G043748E42782N
2000-10-06,,3189.58,3189.58,MODIS WLS (Proxy),G043748E42782N
2000-10-07,3137.21,,3137.21,Landsat/Sentinel (Observation),G043748E42782N
2000-10-15,3161.12,,3161.12,Landsat/Sentinel (Observation),G043748E42782N
2000-10-16,3161.12,3159.92,3161.12,Landsat/Sentinel (Observation),G043748E42782N
2000-10-24,3477.99,,3477.99,Landsat/Sentinel (Observation),G043748E42782N
2000-10-28,,3204.4,3204.4,MODIS WLS (Proxy),G043748E42782N
2000-10-29,,3204.4,3204.4,MODIS WLS (Proxy),G043748E42782N
2000-10-31,3501.39,3204.4,3501.39,Landsat/Sentinel (Observation),G043748E42782N
2001-05-04,,2888.46,2888.46,MODIS WLS (Proxy),G043748E42782N
2001-05-07,,2888.46,2888.46,MODIS WLS (Proxy),G043748E42782N
2001-05-22,,2908.32,2908.32,MODIS WLS (Proxy),G043748E42782N
2001-05-25,,3105.15,3105.15,MODIS WLS (Proxy),G043748E42782N
2001-05-26,,3137.2,3137.2,MODIS WLS (Proxy),G043748E42782N
2001-06-05,3268.67,,3268.67,Landsat/Sentinel (Observation),G043748E42782N
2001-06-09,,3066.41,3066.41,MODIS WLS (Proxy),G043748E42782N
2001-06-11,,3066.41,3066.41,MODIS WLS (Proxy),G043748E42782N
2001-06-12,3268.67,,3268.67,Landsat/Sentinel (Observation),G043748E42782N
2001-06-13,3268.67,,3268.67,Landsat/Sentinel (Observation),G043748E42782N
2001-06-28,3467.57,,3467.57,Landsat/Sentinel (Observation),G043748E42782N
2001-07-04,,3320.4,3320.4,MODIS WLS (Proxy),G043748E42782N
2001-07-06,3539.62,3316.81,3539.62,Landsat/Sentinel (Observation),G043748E42782N
2001-07-08,,3332.12,3332.12,MODIS WLS (Proxy),G043748E42782N
2001-07-13,,3479.69,3479.69,MODIS WLS (Proxy),G043748E42782N
2001-07-14,3551.87,,3551.87,Landsat/Sentinel (Observation),G043748E42782N
2001-07-15,,3479.69,3479.69,MODIS WLS (Proxy),G043748E42782N
2001-07-16,,3468.92,3468.92,MODIS WLS (Proxy),G043748E42782N
2001-07-19,,3532.3,3532.3,MODIS WLS (Proxy),G043748E42782N
2001-07-22,,3562.2,3562.2,MODIS WLS (Proxy),G043748E42782N
2001-07-23,3397.24,3586.12,3397.24,Landsat/Sentinel (Observation),G043748E42782N
2001-07-24,,3597.36,3597.36,MODIS WLS (Proxy),G043748E42782N
2001-07-25,,3597.36,3597.36,MODIS WLS (Proxy),G043748E42782N
2001-07-26,,3633.95,3633.95,MODIS WLS (Proxy),G043748E42782N
2001-07-27,,3638.73,3638.73,MODIS WLS (Proxy),G043748E42782N
2001-07-29,,3649.97,3649.97,MODIS WLS (Proxy),G043748E42782N
2001-07-30,3419.55,3645.19,3419.55,Landsat/Sentinel (Observation),G043748E42782N
2001-08-02,,3641.36,3641.36,MODIS WLS (Proxy),G043748E42782N
2001-08-04,,3653.32,3653.32,MODIS WLS (Proxy),G043748E42782N
2001-08-05,,3653.32,3653.32,MODIS WLS (Proxy),G043748E42782N
