date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-04,,2783.07,2783.07,MODIS WLS (Proxy),G043043E42994N
2000-05-15,,2822.18,2822.18,MODIS WLS (Proxy),G043043E42994N
2000-05-21,,2970.53,2970.53,MODIS WLS (Proxy),G043043E42994N
2000-05-22,,2970.53,2970.53,MODIS WLS (Proxy),G043043E42994N
2000-05-24,2509.0,,2509.0,Landsat/Sentinel (Observation),G043043E42994N
2000-06-16,,3162.15,3162.15,MODIS WLS (Proxy),G043043E42994N
2000-06-17,2909.0,,2909.0,Landsat/Sentinel (Observation),G043043E42994N
2000-06-25,,3091.29,3091.29,MODIS WLS (Proxy),G043043E42994N
2000-07-03,3167.94,,3167.94,Landsat/Sentinel (Observation),G043043E42994N
2000-07-04,,3344.33,3344.33,MODIS WLS (Proxy),G043043E42994N
2000-07-09,,3272.61,3272.61,MODIS WLS (Proxy),G043043E42994N
2000-07-10,,3272.61,3272.61,MODIS WLS (Proxy),G043043E42994N
2000-07-11,3179.37,,3179.37,Landsat/Sentinel (Observation),G043043E42994N
2000-07-14,,3334.65,3334.65,MODIS WLS (Proxy),G043043E42994N
2000-07-15,,3334.65,3334.65,MODIS WLS (Proxy),G043043E42994N
2000-07-16,,3334.65,3334.65,MODIS WLS (Proxy),G043043E42994N
2000-07-17,,3339.55,3339.55,MODIS WLS (Proxy),G043043E42994N
2000-07-19,3291.13,,3291.13,Landsat/Sentinel (Observation),G043043E42994N
2000-07-20,,3384.18,3384.18,MODIS WLS (Proxy),G043043E42994N
2000-07-21,,3392.27,3392.27,MODIS WLS (Proxy),G043043E42994N
2000-07-22,,3386.38,3386.38,MODIS WLS (Proxy),G043043E42994N
2000-07-25,,3392.27,3392.27,MODIS WLS (Proxy),G043043E42994N
2000-07-27,3321.0,,3321.0,Landsat/Sentinel (Observation),G043043E42994N
2000-07-29,,3426.23,3426.23,MODIS WLS (Proxy),G043043E42994N
2000-07-30,,3426.23,3426.23,MODIS WLS (Proxy),G043043E42994N
2000-08-12,3666.44,,3666.44,Landsat/Sentinel (Observation),G043043E42994N
2000-08-20,3666.44,3430.89,3666.44,Landsat/Sentinel (Observation),G043043E42994N
2000-09-02,,3328.39,3328.39,MODIS WLS (Proxy),G043043E42994N
2000-09-05,3442.0,3328.39,3442.0,Landsat/Sentinel (Observation),G043043E42994N
2000-09-09,,3336.61,3336.61,MODIS WLS (Proxy),G043043E42994N
