date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-04,,3096.96,3096.96,MODIS WLS (Proxy),G042497E43168N
2000-05-15,3616.99,,3616.99,Landsat/Sentinel (Observation),G042497E43168N
2000-05-17,,3174.15,3174.15,MODIS WLS (Proxy),G042497E43168N
2000-05-19,,3181.96,3181.96,MODIS WLS (Proxy),G042497E43168N
2000-05-20,,3181.96,3181.96,MODIS WLS (Proxy),G042497E43168N
2000-05-21,,3181.33,3181.33,MODIS WLS (Proxy),G042497E43168N
2000-05-23,3583.57,,3583.57,Landsat/Sentinel (Observation),G042497E43168N
2000-05-24,3583.57,,3583.57,Landsat/Sentinel (Observation),G042497E43168N
2000-05-28,,3173.9,3173.9,MODIS WLS (Proxy),G042497E43168N
2000-05-31,3680.57,,3680.57,Landsat/Sentinel (Observation),G042497E43168N
2000-06-09,3393.98,,3393.98,Landsat/Sentinel (Observation),G042497E43168N
2000-06-12,,3223.08,3223.08,MODIS WLS (Proxy),G042497E43168N
2000-06-15,,3223.08,3223.08,MODIS WLS (Proxy),G042497E43168N
2000-06-16,3271.52,,3271.52,Landsat/Sentinel (Observation),G042497E43168N
2000-06-25,,3253.15,3253.15,MODIS WLS (Proxy),G042497E43168N
2000-07-01,,3278.59,3278.59,MODIS WLS (Proxy),G042497E43168N
2000-07-03,,3278.59,3278.59,MODIS WLS (Proxy),G042497E43168N
2000-07-04,,3278.59,3278.59,MODIS WLS (Proxy),G042497E43168N
2000-07-09,,3269.15,3269.15,MODIS WLS (Proxy),G042497E43168N
2000-07-10,3028.25,3276.46,3028.25,Landsat/Sentinel (Observation),G042497E43168N
2000-07-11,3028.25,,3028.25,Landsat/Sentinel (Observation),G042497E43168N
2000-07-13,,3290.71,3290.71,MODIS WLS (Proxy),G042497E43168N
2000-07-14,,3306.15,3306.15,MODIS WLS (Proxy),G042497E43168N
2000-07-15,,3306.15,3306.15,MODIS WLS (Proxy),G042497E43168N
2000-07-16,,3306.15,3306.15,MODIS WLS (Proxy),G042497E43168N
2000-07-17,,3304.46,3304.46,MODIS WLS (Proxy),G042497E43168N
2000-07-19,3106.01,,3106.01,Landsat/Sentinel (Observation),G042497E43168N
2000-07-26,3183.11,3341.03,3183.11,Landsat/Sentinel (Observation),G042497E43168N
2000-07-27,3183.11,,3183.11,Landsat/Sentinel (Observation),G042497E43168N
2000-07-29,,3347.53,3347.53,MODIS WLS (Proxy),G042497E43168N
2000-07-31,,3363.15,3363.15,MODIS WLS (Proxy),G042497E43168N
2000-08-02,,3366.9,3366.9,MODIS WLS (Proxy),G042497E43168N
2000-08-04,3338.95,,3338.95,Landsat/Sentinel (Observation),G042497E43168N
2000-08-05,,3368.21,3368.21,MODIS WLS (Proxy),G042497E43168N
2000-08-11,3489.66,,3489.66,Landsat/Sentinel (Observation),G042497E43168N
2000-08-12,3489.66,,3489.66,Landsat/Sentinel (Observation),G042497E43168N
2000-08-19,3505.01,3440.59,3505.01,Landsat/Sentinel (Observation),G042497E43168N
2000-08-20,3505.01,3437.28,3505.01,Landsat/Sentinel (Observation),G042497E43168N
2000-08-23,,3440.15,3440.15,MODIS WLS (Proxy),G042497E43168N
2000-09-02,,3287.59,3287.59,MODIS WLS (Proxy),G042497E43168N
2000-09-05,3403.83,3287.59,3403.83,Landsat/Sentinel (Observation),G042497E43168N
2000-09-09,,3335.9,3335.9,MODIS WLS (Proxy),G042497E43168N
2000-09-11,,3335.9,3335.9,MODIS WLS (Proxy),G042497E43168N
2000-09-12,3328.49,3335.9,3328.49,Landsat/Sentinel (Observation),G042497E43168N
2000-09-19,,3221.27,3221.27,MODIS WLS (Proxy),G042497E43168N
2000-09-20,3348.67,,3348.67,Landsat/Sentinel (Observation),G042497E43168N
2000-10-02,,3166.08,3166.08,MODIS WLS (Proxy),G042497E43168N
2000-10-03,,3166.08,3166.08,MODIS WLS (Proxy),G042497E43168N
2000-10-04,,3166.08,3166.08,MODIS WLS (Proxy),G042497E43168N
2000-10-05,,3166.08,3166.08,MODIS WLS (Proxy),G042497E43168N
2000-10-07,2979.36,,2979.36,Landsat/Sentinel (Observation),G042497E43168N
2000-10-14,3006.24,3101.33,3006.24,Landsat/Sentinel (Observation),G042497E43168N
2000-10-15,3006.24,3101.33,3006.24,Landsat/Sentinel (Observation),G042497E43168N
