date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-04,,2346.01,2346.01,MODIS WLS (Proxy),G042766E43151N
2000-05-15,2504.44,,2504.44,Landsat/Sentinel (Observation),G042766E43151N
2000-05-17,,2591.64,2591.64,MODIS WLS (Proxy),G042766E43151N
2000-05-21,,2660.33,2660.33,MODIS WLS (Proxy),G042766E43151N
2000-05-22,,2660.33,2660.33,MODIS WLS (Proxy),G042766E43151N
2000-05-24,2528.06,,2528.06,Landsat/Sentinel (Observation),G042766E43151N
2000-05-31,2473.93,,2473.93,Landsat/Sentinel (Observation),G042766E43151N
2000-06-01,2473.93,,2473.93,Landsat/Sentinel (Observation),G042766E43151N
2000-06-07,,2806.01,2806.01,MODIS WLS (Proxy),G042766E43151N
2000-06-09,2982.56,,2982.56,Landsat/Sentinel (Observation),G042766E43151N
2000-06-12,,2823.18,2823.18,MODIS WLS (Proxy),G042766E43151N
2000-06-15,,2857.92,2857.92,MODIS WLS (Proxy),G042766E43151N
2000-06-16,3101.49,2885.31,3101.49,Landsat/Sentinel (Observation),G042766E43151N
2000-06-17,3101.49,2885.31,3101.49,Landsat/Sentinel (Observation),G042766E43151N
2000-07-03,3054.61,,3054.61,Landsat/Sentinel (Observation),G042766E43151N
2000-07-04,,3126.31,3126.31,MODIS WLS (Proxy),G042766E43151N
2000-07-09,,3062.25,3062.25,MODIS WLS (Proxy),G042766E43151N
2000-07-10,3118.29,3075.95,3118.29,Landsat/Sentinel (Observation),G042766E43151N
2000-07-11,3118.29,,3118.29,Landsat/Sentinel (Observation),G042766E43151N
2000-07-13,,3095.05,3095.05,MODIS WLS (Proxy),G042766E43151N
2000-07-14,,3110.1,3110.1,MODIS WLS (Proxy),G042766E43151N
2000-07-15,,3110.1,3110.1,MODIS WLS (Proxy),G042766E43151N
2000-07-16,,3110.1,3110.1,MODIS WLS (Proxy),G042766E43151N
2000-07-17,,3104.12,3104.12,MODIS WLS (Proxy),G042766E43151N
2000-07-18,3181.8,,3181.8,Landsat/Sentinel (Observation),G042766E43151N
2000-07-19,3181.8,,3181.8,Landsat/Sentinel (Observation),G042766E43151N
2000-07-26,3188.91,,3188.91,Landsat/Sentinel (Observation),G042766E43151N
2000-07-27,3188.91,,3188.91,Landsat/Sentinel (Observation),G042766E43151N
2000-07-28,,3203.11,3203.11,MODIS WLS (Proxy),G042766E43151N
2000-07-29,,3201.56,3201.56,MODIS WLS (Proxy),G042766E43151N
2000-07-30,,3205.42,3205.42,MODIS WLS (Proxy),G042766E43151N
2000-08-01,,3209.67,3209.67,MODIS WLS (Proxy),G042766E43151N
2000-08-02,,3217.39,3217.39,MODIS WLS (Proxy),G042766E43151N
2000-08-04,3207.67,,3207.67,Landsat/Sentinel (Observation),G042766E43151N
2000-08-05,,3239.38,3239.38,MODIS WLS (Proxy),G042766E43151N
2000-08-11,3322.85,,3322.85,Landsat/Sentinel (Observation),G042766E43151N
2000-08-12,3322.85,,3322.85,Landsat/Sentinel (Observation),G042766E43151N
2000-08-19,3373.58,3305.76,3373.58,Landsat/Sentinel (Observation),G042766E43151N
2000-08-20,3373.58,,3373.58,Landsat/Sentinel (Observation),G042766E43151N
2000-09-05,3257.82,3116.86,3257.82,Landsat/Sentinel (Observation),G042766E43151N
2000-09-09,,3241.31,3241.31,MODIS WLS (Proxy),G042766E43151N
2000-09-11,,3241.31,3241.31,MODIS WLS (Proxy),G042766E43151N
2000-09-12,3276.19,3241.31,3276.19,Landsat/Sentinel (Observation),G042766E43151N
2000-09-20,3289.53,,3289.53,Landsat/Sentinel (Observation),G042766E43151N
2000-10-03,,2842.09,2842.09,MODIS WLS (Proxy),G042766E43151N
2000-10-04,,2928.15,2928.15,MODIS WLS (Proxy),G042766E43151N
2000-10-05,,2928.15,2928.15,MODIS WLS (Proxy),G042766E43151N
2000-10-07,2721.98,2959.41,2721.98,Landsat/Sentinel (Observation),G042766E43151N
2000-10-14,2721.98,2767.42,2721.98,Landsat/Sentinel (Observation),G042766E43151N
2000-10-15,2721.98,,2721.98,Landsat/Sentinel (Observation),G042766E43151N
2000-10-28,,2771.67,2771.67,MODIS WLS (Proxy),G042766E43151N
2000-10-31,3261.0,,3261.0,Landsat/Sentinel (Observation),G042766E43151N
2001-05-01,,2549.58,2549.58,MODIS WLS (Proxy),G042766E43151N
2001-05-07,,2470.66,2470.66,MODIS WLS (Proxy),G042766E43151N
2001-05-18,2241.0,2488.6,2241.0,Landsat/Sentinel (Observation),G042766E43151N
2001-05-25,,2501.92,2501.92,MODIS WLS (Proxy),G042766E43151N
2001-05-26,,2501.92,2501.92,MODIS WLS (Proxy),G042766E43151N
2001-06-12,2415.55,,2415.55,Landsat/Sentinel (Observation),G042766E43151N
2001-06-13,,2797.52,2797.52,MODIS WLS (Proxy),G042766E43151N
2001-06-14,,2797.52,2797.52,MODIS WLS (Proxy),G042766E43151N
2001-06-19,2722.43,,2722.43,Landsat/Sentinel (Observation),G042766E43151N
2001-06-28,3067.64,,3067.64,Landsat/Sentinel (Observation),G042766E43151N
2001-07-04,,3001.67,3001.67,MODIS WLS (Proxy),G042766E43151N
2001-07-05,3069.9,3001.67,3069.9,Landsat/Sentinel (Observation),G042766E43151N
2001-07-06,3069.9,3001.67,3069.9,Landsat/Sentinel (Observation),G042766E43151N
2001-07-13,,3068.81,3068.81,MODIS WLS (Proxy),G042766E43151N
2001-07-14,3074.62,3069.58,3074.62,Landsat/Sentinel (Observation),G042766E43151N
2001-07-15,,3069.58,3069.58,MODIS WLS (Proxy),G042766E43151N
2001-07-16,,3070.94,3070.94,MODIS WLS (Proxy),G042766E43151N
2001-07-17,,3074.79,3074.79,MODIS WLS (Proxy),G042766E43151N
2001-07-19,,3110.3,3110.3,MODIS WLS (Proxy),G042766E43151N
