date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-01,3521.0,,3521.0,Landsat/Sentinel (Observation),G044390E42722N
2000-05-09,,3588.54,3588.54,MODIS WLS (Proxy),G044390E42722N
2000-05-13,,3589.81,3589.81,MODIS WLS (Proxy),G044390E42722N
2000-05-17,4178.25,,4178.25,Landsat/Sentinel (Observation),G044390E42722N
2000-05-22,,3593.12,3593.12,MODIS WLS (Proxy),G044390E42722N
2000-05-25,4045.35,,4045.35,Landsat/Sentinel (Observation),G044390E42722N
2000-06-01,3470.11,,3470.11,Landsat/Sentinel (Observation),G044390E42722N
2000-06-07,,3595.0,3595.0,MODIS WLS (Proxy),G044390E42722N
2000-06-12,,3591.25,3591.25,MODIS WLS (Proxy),G044390E42722N
2000-06-15,,3591.72,3591.72,MODIS WLS (Proxy),G044390E42722N
2000-06-16,,3592.86,3592.86,MODIS WLS (Proxy),G044390E42722N
2000-06-17,3230.5,,3230.5,Landsat/Sentinel (Observation),G044390E42722N
2000-06-22,,3595.79,3595.79,MODIS WLS (Proxy),G044390E42722N
2000-06-23,,3597.09,3597.09,MODIS WLS (Proxy),G044390E42722N
2000-06-26,3389.21,3597.62,3389.21,Landsat/Sentinel (Observation),G044390E42722N
2000-07-04,3489.56,3601.17,3489.56,Landsat/Sentinel (Observation),G044390E42722N
2000-07-05,,3601.17,3601.17,MODIS WLS (Proxy),G044390E42722N
2000-07-09,,3602.23,3602.23,MODIS WLS (Proxy),G044390E42722N
2000-07-10,,3602.38,3602.38,MODIS WLS (Proxy),G044390E42722N
2000-07-11,3595.37,3602.53,3595.37,Landsat/Sentinel (Observation),G044390E42722N
2000-07-12,3595.37,,3595.37,Landsat/Sentinel (Observation),G044390E42722N
2000-07-13,,3602.96,3602.96,MODIS WLS (Proxy),G044390E42722N
2000-07-14,,3603.72,3603.72,MODIS WLS (Proxy),G044390E42722N
2000-07-16,,3603.92,3603.92,MODIS WLS (Proxy),G044390E42722N
2000-07-17,,3604.01,3604.01,MODIS WLS (Proxy),G044390E42722N
2000-07-18,,3605.13,3605.13,MODIS WLS (Proxy),G044390E42722N
2000-07-19,3661.24,,3661.24,Landsat/Sentinel (Observation),G044390E42722N
2000-07-20,3661.24,3605.46,3661.24,Landsat/Sentinel (Observation),G044390E42722N
2000-07-21,,3605.7,3605.7,MODIS WLS (Proxy),G044390E42722N
2000-07-22,,3605.19,3605.19,MODIS WLS (Proxy),G044390E42722N
2000-07-25,,3605.61,3605.61,MODIS WLS (Proxy),G044390E42722N
2000-07-27,3783.26,,3783.26,Landsat/Sentinel (Observation),G044390E42722N
2000-07-28,3783.26,3606.63,3783.26,Landsat/Sentinel (Observation),G044390E42722N
2000-07-29,,3607.18,3607.18,MODIS WLS (Proxy),G044390E42722N
2000-07-30,,3607.18,3607.18,MODIS WLS (Proxy),G044390E42722N
2000-07-31,,3607.18,3607.18,MODIS WLS (Proxy),G044390E42722N
2000-08-12,3750.0,,3750.0,Landsat/Sentinel (Observation),G044390E42722N
2000-08-13,3750.0,,3750.0,Landsat/Sentinel (Observation),G044390E42722N
2000-08-19,,3604.19,3604.19,MODIS WLS (Proxy),G044390E42722N
2000-08-20,3750.0,3604.19,3750.0,Landsat/Sentinel (Observation),G044390E42722N
2000-08-29,,3590.52,3590.52,MODIS WLS (Proxy),G044390E42722N
2000-09-04,,3599.38,3599.38,MODIS WLS (Proxy),G044390E42722N
2000-09-05,3463.72,3599.38,3463.72,Landsat/Sentinel (Observation),G044390E42722N
2000-09-06,3463.72,,3463.72,Landsat/Sentinel (Observation),G044390E42722N
2000-09-09,,3605.1,3605.1,MODIS WLS (Proxy),G044390E42722N
2000-09-12,,3605.1,3605.1,MODIS WLS (Proxy),G044390E42722N
2000-09-13,3418.95,,3418.95,Landsat/Sentinel (Observation),G044390E42722N
2000-09-14,3418.95,,3418.95,Landsat/Sentinel (Observation),G044390E42722N
2000-09-16,,3598.53,3598.53,MODIS WLS (Proxy),G044390E42722N
2000-09-22,3520.87,,3520.87,Landsat/Sentinel (Observation),G044390E42722N
2000-09-30,3383.8,,3383.8,Landsat/Sentinel (Observation),G044390E42722N
2000-10-02,,3593.74,3593.74,MODIS WLS (Proxy),G044390E42722N
2000-10-07,3412.5,,3412.5,Landsat/Sentinel (Observation),G044390E42722N
2000-10-14,,3594.55,3594.55,MODIS WLS (Proxy),G044390E42722N
2000-10-15,3270.41,,3270.41,Landsat/Sentinel (Observation),G044390E42722N
2000-10-16,3270.41,,3270.41,Landsat/Sentinel (Observation),G044390E42722N
2000-10-24,3353.68,3595.85,3353.68,Landsat/Sentinel (Observation),G044390E42722N
2000-10-25,,3595.85,3595.85,MODIS WLS (Proxy),G044390E42722N
2000-10-31,3252.17,,3252.17,Landsat/Sentinel (Observation),G044390E42722N
2001-05-07,,3588.7,3588.7,MODIS WLS (Proxy),G044390E42722N
2001-05-22,,3588.57,3588.57,MODIS WLS (Proxy),G044390E42722N
2001-05-25,,3589.88,3589.88,MODIS WLS (Proxy),G044390E42722N
2001-05-26,,3590.05,3590.05,MODIS WLS (Proxy),G044390E42722N
2001-06-01,,3588.26,3588.26,MODIS WLS (Proxy),G044390E42722N
2001-06-05,3598.89,,3598.89,Landsat/Sentinel (Observation),G044390E42722N
2001-06-10,,3594.16,3594.16,MODIS WLS (Proxy),G044390E42722N
2001-06-12,3598.89,,3598.89,Landsat/Sentinel (Observation),G044390E42722N
2001-06-13,3598.89,3594.16,3598.89,Landsat/Sentinel (Observation),G044390E42722N
2001-06-28,3268.74,,3268.74,Landsat/Sentinel (Observation),G044390E42722N
2001-07-04,,3598.6,3598.6,MODIS WLS (Proxy),G044390E42722N
2001-07-06,3268.74,,3268.74,Landsat/Sentinel (Observation),G044390E42722N
2001-07-13,,3600.79,3600.79,MODIS WLS (Proxy),G044390E42722N
2001-07-16,,3600.5,3600.5,MODIS WLS (Proxy),G044390E42722N
2001-07-17,,3600.39,3600.39,MODIS WLS (Proxy),G044390E42722N
2001-07-19,,3601.53,3601.53,MODIS WLS (Proxy),G044390E42722N
2001-07-22,,3602.08,3602.08,MODIS WLS (Proxy),G044390E42722N
2001-07-23,3642.0,3602.99,3642.0,Landsat/Sentinel (Observation),G044390E42722N
2001-07-24,,3603.28,3603.28,MODIS WLS (Proxy),G044390E42722N
2001-07-26,,3604.08,3604.08,MODIS WLS (Proxy),G044390E42722N
2001-07-27,,3604.2,3604.2,MODIS WLS (Proxy),G044390E42722N
2001-07-29,,3604.84,3604.84,MODIS WLS (Proxy),G044390E42722N
2001-07-30,3655.34,3605.07,3655.34,Landsat/Sentinel (Observation),G044390E42722N
2001-08-04,,3605.76,3605.76,MODIS WLS (Proxy),G044390E42722N
2001-08-05,,3605.76,3605.76,MODIS WLS (Proxy),G044390E42722N
2001-08-06,,3605.76,3605.76,MODIS WLS (Proxy),G044390E42722N
2001-08-08,3751.36,,3751.36,Landsat/Sentinel (Observation),G044390E42722N
2001-08-10,,3605.93,3605.93,MODIS WLS (Proxy),G044390E42722N
2001-08-11,,3607.14,3607.14,MODIS WLS (Proxy),G044390E42722N
2001-08-13,,3607.12,3607.12,MODIS WLS (Proxy),G044390E42722N
2001-08-14,,3607.3,3607.3,MODIS WLS (Proxy),G044390E42722N
2001-08-15,3753.32,3607.77,3753.32,Landsat/Sentinel (Observation),G044390E42722N
2001-08-19,,3603.92,3603.92,MODIS WLS (Proxy),G044390E42722N
2001-08-27,,3601.95,3601.95,MODIS WLS (Proxy),G044390E42722N
2001-08-28,,3601.95,3601.95,MODIS WLS (Proxy),G044390E42722N
2001-08-29,,3600.51,3600.51,MODIS WLS (Proxy),G044390E42722N
2001-09-01,3126.0,3600.12,3126.0,Landsat/Sentinel (Observation),G044390E42722N
2001-09-05,,3602.81,3602.81,MODIS WLS (Proxy),G044390E42722N
2001-09-06,,3602.81,3602.81,MODIS WLS (Proxy),G044390E42722N
2001-09-07,,3602.81,3602.81,MODIS WLS (Proxy),G044390E42722N
2001-09-15,,3600.5,3600.5,MODIS WLS (Proxy),G044390E42722N
2001-09-16,3723.0,,3723.0,Landsat/Sentinel (Observation),G044390E42722N
2001-09-17,,3600.5,3600.5,MODIS WLS (Proxy),G044390E42722N
2001-09-18,,3600.5,3600.5,MODIS WLS (Proxy),G044390E42722N
2001-09-24,,3602.93,3602.93,MODIS WLS (Proxy),G044390E42722N
2001-10-03,3146.0,3599.72,3146.0,Landsat/Sentinel (Observation),G044390E42722N
2001-10-05,,3597.88,3597.88,MODIS WLS (Proxy),G044390E42722N
2001-10-08,,3597.39,3597.39,MODIS WLS (Proxy),G044390E42722N
2001-10-09,,3596.87,3596.87,MODIS WLS (Proxy),G044390E42722N
2001-10-10,,3596.87,3596.87,MODIS WLS (Proxy),G044390E42722N
2001-10-11,3194.94,,3194.94,Landsat/Sentinel (Observation),G044390E42722N
2001-10-12,,3598.17,3598.17,MODIS WLS (Proxy),G044390E42722N
2001-10-16,,3600.09,3600.09,MODIS WLS (Proxy),G044390E42722N
2001-10-19,3287.08,3600.09,3287.08,Landsat/Sentinel (Observation),G044390E42722N
2001-10-26,3450.18,,3450.18,Landsat/Sentinel (Observation),G044390E42722N
2001-10-27,3450.18,,3450.18,Landsat/Sentinel (Observation),G044390E42722N
2002-05-01,,3589.23,3589.23,MODIS WLS (Proxy),G044390E42722N
2002-05-06,3631.0,,3631.0,Landsat/Sentinel (Observation),G044390E42722N
2002-05-12,,3588.88,3588.88,MODIS WLS (Proxy),G044390E42722N
2002-05-13,,3588.98,3588.98,MODIS WLS (Proxy),G044390E42722N
2002-05-14,,3589.83,3589.83,MODIS WLS (Proxy),G044390E42722N
2002-05-16,,3590.06,3590.06,MODIS WLS (Proxy),G044390E42722N
2002-05-17,,3590.38,3590.38,MODIS WLS (Proxy),G044390E42722N
2002-05-20,,3591.29,3591.29,MODIS WLS (Proxy),G044390E42722N
2002-05-21,,3591.05,3591.05,MODIS WLS (Proxy),G044390E42722N
2002-05-22,4249.0,3591.05,4249.0,Landsat/Sentinel (Observation),G044390E42722N
2002-05-27,,3591.25,3591.25,MODIS WLS (Proxy),G044390E42722N
