date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-01,3347.0,,3347.0,Landsat/Sentinel (Observation),G044443E42706N
2000-05-17,4096.99,,4096.99,Landsat/Sentinel (Observation),G044443E42706N
2000-05-20,,3638.92,3638.92,MODIS WLS (Proxy),G044443E42706N
2000-05-22,,3638.92,3638.92,MODIS WLS (Proxy),G044443E42706N
2000-05-25,4096.99,,4096.99,Landsat/Sentinel (Observation),G044443E42706N
2000-06-07,,3651.72,3651.72,MODIS WLS (Proxy),G044443E42706N
2000-06-12,,3640.07,3640.07,MODIS WLS (Proxy),G044443E42706N
2000-06-15,,3641.53,3641.53,MODIS WLS (Proxy),G044443E42706N
2000-06-16,,3645.42,3645.42,MODIS WLS (Proxy),G044443E42706N
2000-06-18,3332.5,,3332.5,Landsat/Sentinel (Observation),G044443E42706N
2000-06-22,,3651.5,3651.5,MODIS WLS (Proxy),G044443E42706N
2000-06-23,,3656.72,3656.72,MODIS WLS (Proxy),G044443E42706N
2000-06-25,,3658.6,3658.6,MODIS WLS (Proxy),G044443E42706N
2000-06-26,3383.36,3661.57,3383.36,Landsat/Sentinel (Observation),G044443E42706N
2000-06-28,,3662.39,3662.39,MODIS WLS (Proxy),G044443E42706N
2000-07-04,3368.92,,3368.92,Landsat/Sentinel (Observation),G044443E42706N
2000-07-09,,3685.55,3685.55,MODIS WLS (Proxy),G044443E42706N
2000-07-11,3479.65,,3479.65,Landsat/Sentinel (Observation),G044443E42706N
2000-07-12,3479.65,3687.14,3479.65,Landsat/Sentinel (Observation),G044443E42706N
2000-07-14,,3688.31,3688.31,MODIS WLS (Proxy),G044443E42706N
2000-07-15,,3688.87,3688.87,MODIS WLS (Proxy),G044443E42706N
2000-07-16,,3690.07,3690.07,MODIS WLS (Proxy),G044443E42706N
2000-07-18,,3699.67,3699.67,MODIS WLS (Proxy),G044443E42706N
2000-07-20,3575.11,,3575.11,Landsat/Sentinel (Observation),G044443E42706N
2000-07-21,,3705.99,3705.99,MODIS WLS (Proxy),G044443E42706N
2000-07-26,,3714.2,3714.2,MODIS WLS (Proxy),G044443E42706N
2000-07-27,3664.03,,3664.03,Landsat/Sentinel (Observation),G044443E42706N
2000-07-28,3664.03,3714.98,3664.03,Landsat/Sentinel (Observation),G044443E42706N
2000-07-29,,3714.14,3714.14,MODIS WLS (Proxy),G044443E42706N
2000-07-30,,3713.87,3713.87,MODIS WLS (Proxy),G044443E42706N
2000-08-01,,3714.63,3714.63,MODIS WLS (Proxy),G044443E42706N
2000-08-12,3999.26,,3999.26,Landsat/Sentinel (Observation),G044443E42706N
2000-08-13,3999.26,,3999.26,Landsat/Sentinel (Observation),G044443E42706N
2000-08-19,,3720.03,3720.03,MODIS WLS (Proxy),G044443E42706N
2000-08-29,,3637.17,3637.17,MODIS WLS (Proxy),G044443E42706N
2000-09-06,3735.95,,3735.95,Landsat/Sentinel (Observation),G044443E42706N
