date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-15,5392.74,,5392.74,Landsat/Sentinel (Observation),G042488E43308N
2000-05-18,,3514.84,3514.84,MODIS WLS (Proxy),G042488E43308N
2000-05-19,,3514.84,3514.84,MODIS WLS (Proxy),G042488E43308N
2000-05-20,,3514.84,3514.84,MODIS WLS (Proxy),G042488E43308N
2000-05-21,,3524.05,3524.05,MODIS WLS (Proxy),G042488E43308N
2000-05-23,5392.74,,5392.74,Landsat/Sentinel (Observation),G042488E43308N
2000-05-24,5392.74,3556.0,5392.74,Landsat/Sentinel (Observation),G042488E43308N
2000-05-30,,3498.11,3498.11,MODIS WLS (Proxy),G042488E43308N
2000-06-07,,3532.17,3532.17,MODIS WLS (Proxy),G042488E43308N
2000-06-09,3063.15,,3063.15,Landsat/Sentinel (Observation),G042488E43308N
2000-06-11,,3558.37,3558.37,MODIS WLS (Proxy),G042488E43308N
2000-06-12,,3566.74,3566.74,MODIS WLS (Proxy),G042488E43308N
2000-06-13,,3567.42,3567.42,MODIS WLS (Proxy),G042488E43308N
2000-06-14,,3568.68,3568.68,MODIS WLS (Proxy),G042488E43308N
2000-06-15,,3567.75,3567.75,MODIS WLS (Proxy),G042488E43308N
2000-06-16,3063.15,3574.18,3063.15,Landsat/Sentinel (Observation),G042488E43308N
2000-06-17,3063.15,3572.91,3063.15,Landsat/Sentinel (Observation),G042488E43308N
2000-06-22,,3545.78,3545.78,MODIS WLS (Proxy),G042488E43308N
2000-06-25,,3562.94,3562.94,MODIS WLS (Proxy),G042488E43308N
2000-06-26,,3578.49,3578.49,MODIS WLS (Proxy),G042488E43308N
2000-06-28,,3578.49,3578.49,MODIS WLS (Proxy),G042488E43308N
2000-07-03,3349.8,3649.83,3349.8,Landsat/Sentinel (Observation),G042488E43308N
2000-07-04,,3649.83,3649.83,MODIS WLS (Proxy),G042488E43308N
2000-07-05,,3649.83,3649.83,MODIS WLS (Proxy),G042488E43308N
2000-07-09,,3663.35,3663.35,MODIS WLS (Proxy),G042488E43308N
2000-07-10,3414.43,,3414.43,Landsat/Sentinel (Observation),G042488E43308N
2000-07-11,3414.43,3690.65,3414.43,Landsat/Sentinel (Observation),G042488E43308N
2000-07-12,,3713.81,3713.81,MODIS WLS (Proxy),G042488E43308N
2000-07-13,,3721.25,3721.25,MODIS WLS (Proxy),G042488E43308N
2000-07-14,,3724.38,3724.38,MODIS WLS (Proxy),G042488E43308N
2000-07-15,,3720.66,3720.66,MODIS WLS (Proxy),G042488E43308N
2000-07-16,,3734.18,3734.18,MODIS WLS (Proxy),G042488E43308N
2000-07-17,,3732.07,3732.07,MODIS WLS (Proxy),G042488E43308N
2000-07-18,,3739.84,3739.84,MODIS WLS (Proxy),G042488E43308N
2000-07-19,3717.75,,3717.75,Landsat/Sentinel (Observation),G042488E43308N
2000-07-22,,3758.19,3758.19,MODIS WLS (Proxy),G042488E43308N
2000-07-25,,3768.07,3768.07,MODIS WLS (Proxy),G042488E43308N
2000-07-26,4080.65,,4080.65,Landsat/Sentinel (Observation),G042488E43308N
2000-07-27,4080.65,3797.57,4080.65,Landsat/Sentinel (Observation),G042488E43308N
2000-07-29,,3819.97,3819.97,MODIS WLS (Proxy),G042488E43308N
2000-07-30,,3826.31,3826.31,MODIS WLS (Proxy),G042488E43308N
2000-08-02,,3740.44,3740.44,MODIS WLS (Proxy),G042488E43308N
2000-08-04,,3724.63,3724.63,MODIS WLS (Proxy),G042488E43308N
2000-08-05,,3724.63,3724.63,MODIS WLS (Proxy),G042488E43308N
2000-08-12,4075.17,,4075.17,Landsat/Sentinel (Observation),G042488E43308N
2000-08-19,4075.17,,4075.17,Landsat/Sentinel (Observation),G042488E43308N
2000-08-20,4075.17,3737.9,4075.17,Landsat/Sentinel (Observation),G042488E43308N
2000-08-22,,3737.9,3737.9,MODIS WLS (Proxy),G042488E43308N
2000-08-23,,3737.9,3737.9,MODIS WLS (Proxy),G042488E43308N
2000-09-02,,3621.93,3621.93,MODIS WLS (Proxy),G042488E43308N
2000-09-04,,3621.93,3621.93,MODIS WLS (Proxy),G042488E43308N
2000-09-05,4017.11,3621.93,4017.11,Landsat/Sentinel (Observation),G042488E43308N
2000-09-09,,3532.0,3532.0,MODIS WLS (Proxy),G042488E43308N
2000-09-10,,3532.0,3532.0,MODIS WLS (Proxy),G042488E43308N
2000-09-11,,3532.0,3532.0,MODIS WLS (Proxy),G042488E43308N
2000-09-12,3822.28,,3822.28,Landsat/Sentinel (Observation),G042488E43308N
