date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-21,,3225.88,3225.88,MODIS WLS (Proxy),G043238E43064N
2000-05-22,,3225.88,3225.88,MODIS WLS (Proxy),G043238E43064N
2000-05-23,,3225.88,3225.88,MODIS WLS (Proxy),G043238E43064N
2000-05-24,2870.05,,2870.05,Landsat/Sentinel (Observation),G043238E43064N
2000-06-01,3117.36,,3117.36,Landsat/Sentinel (Observation),G043238E43064N
2000-06-07,,3206.2,3206.2,MODIS WLS (Proxy),G043238E43064N
2000-06-09,3565.6,,3565.6,Landsat/Sentinel (Observation),G043238E43064N
2000-06-13,,3208.29,3208.29,MODIS WLS (Proxy),G043238E43064N
2000-06-16,,3208.29,3208.29,MODIS WLS (Proxy),G043238E43064N
2000-06-17,3556.5,,3556.5,Landsat/Sentinel (Observation),G043238E43064N
2000-06-22,,3187.78,3187.78,MODIS WLS (Proxy),G043238E43064N
2000-07-03,3527.34,3479.37,3527.34,Landsat/Sentinel (Observation),G043238E43064N
2000-07-04,,3479.37,3479.37,MODIS WLS (Proxy),G043238E43064N
2000-07-09,,3535.47,3535.47,MODIS WLS (Proxy),G043238E43064N
2000-07-10,,3547.4,3547.4,MODIS WLS (Proxy),G043238E43064N
2000-07-11,3610.46,3557.24,3610.46,Landsat/Sentinel (Observation),G043238E43064N
2000-07-12,,3573.99,3573.99,MODIS WLS (Proxy),G043238E43064N
2000-07-13,,3579.85,3579.85,MODIS WLS (Proxy),G043238E43064N
2000-07-14,,3592.62,3592.62,MODIS WLS (Proxy),G043238E43064N
2000-07-15,,3592.83,3592.83,MODIS WLS (Proxy),G043238E43064N
2000-07-16,,3642.65,3642.65,MODIS WLS (Proxy),G043238E43064N
2000-07-17,,3639.92,3639.92,MODIS WLS (Proxy),G043238E43064N
2000-07-18,,3651.23,3651.23,MODIS WLS (Proxy),G043238E43064N
2000-07-19,3690.01,3645.58,3690.01,Landsat/Sentinel (Observation),G043238E43064N
2000-07-25,,3733.7,3733.7,MODIS WLS (Proxy),G043238E43064N
2000-07-26,,3743.12,3743.12,MODIS WLS (Proxy),G043238E43064N
2000-07-27,3842.86,,3842.86,Landsat/Sentinel (Observation),G043238E43064N
2000-07-28,,3738.1,3738.1,MODIS WLS (Proxy),G043238E43064N
2000-07-29,,3751.7,3751.7,MODIS WLS (Proxy),G043238E43064N
2000-07-30,,3746.05,3746.05,MODIS WLS (Proxy),G043238E43064N
2000-08-12,4013.37,,4013.37,Landsat/Sentinel (Observation),G043238E43064N
2000-08-19,,3671.74,3671.74,MODIS WLS (Proxy),G043238E43064N
2000-08-20,4013.37,3686.81,4013.37,Landsat/Sentinel (Observation),G043238E43064N
2000-08-23,,3672.37,3672.37,MODIS WLS (Proxy),G043238E43064N
2000-08-29,,3296.0,3296.0,MODIS WLS (Proxy),G043238E43064N
2000-09-02,,3408.2,3408.2,MODIS WLS (Proxy),G043238E43064N
2000-09-04,,3408.2,3408.2,MODIS WLS (Proxy),G043238E43064N
2000-09-05,3397.0,,3397.0,Landsat/Sentinel (Observation),G043238E43064N
2000-09-12,,3796.29,3796.29,MODIS WLS (Proxy),G043238E43064N
2000-09-19,,3688.91,3688.91,MODIS WLS (Proxy),G043238E43064N
2000-10-07,2754.24,3551.17,2754.24,Landsat/Sentinel (Observation),G043238E43064N
2000-10-14,,3388.1,3388.1,MODIS WLS (Proxy),G043238E43064N
2000-10-15,2754.24,3388.1,2754.24,Landsat/Sentinel (Observation),G043238E43064N
2000-10-19,,3664.62,3664.62,MODIS WLS (Proxy),G043238E43064N
2000-10-31,3528.0,,3528.0,Landsat/Sentinel (Observation),G043238E43064N
2001-05-07,,2964.43,2964.43,MODIS WLS (Proxy),G043238E43064N
2001-05-22,,2968.82,2968.82,MODIS WLS (Proxy),G043238E43064N
2001-05-25,,2998.55,2998.55,MODIS WLS (Proxy),G043238E43064N
2001-05-26,,2991.43,2991.43,MODIS WLS (Proxy),G043238E43064N
2001-06-02,,3167.68,3167.68,MODIS WLS (Proxy),G043238E43064N
2001-06-04,3301.91,3167.68,3301.91,Landsat/Sentinel (Observation),G043238E43064N
2001-06-08,,3115.56,3115.56,MODIS WLS (Proxy),G043238E43064N
2001-06-12,3301.91,,3301.91,Landsat/Sentinel (Observation),G043238E43064N
2001-06-14,,3440.65,3440.65,MODIS WLS (Proxy),G043238E43064N
2001-06-28,3395.53,,3395.53,Landsat/Sentinel (Observation),G043238E43064N
2001-07-04,,3486.28,3486.28,MODIS WLS (Proxy),G043238E43064N
2001-07-06,3406.05,3486.28,3406.05,Landsat/Sentinel (Observation),G043238E43064N
2001-07-12,,3492.77,3492.77,MODIS WLS (Proxy),G043238E43064N
2001-07-13,,3497.16,3497.16,MODIS WLS (Proxy),G043238E43064N
2001-07-14,3398.0,,3398.0,Landsat/Sentinel (Observation),G043238E43064N
2001-07-15,,3497.16,3497.16,MODIS WLS (Proxy),G043238E43064N
2001-07-16,,3503.44,3503.44,MODIS WLS (Proxy),G043238E43064N
2001-07-19,,3561.85,3561.85,MODIS WLS (Proxy),G043238E43064N
2001-07-22,,3582.57,3582.57,MODIS WLS (Proxy),G043238E43064N
2001-07-23,,3588.85,3588.85,MODIS WLS (Proxy),G043238E43064N
2001-07-24,,3611.87,3611.87,MODIS WLS (Proxy),G043238E43064N
2001-07-26,,3675.09,3675.09,MODIS WLS (Proxy),G043238E43064N
2001-07-27,,3673.63,3673.63,MODIS WLS (Proxy),G043238E43064N
2001-07-29,,3691.42,3691.42,MODIS WLS (Proxy),G043238E43064N
2001-07-30,3578.0,,3578.0,Landsat/Sentinel (Observation),G043238E43064N
2001-08-01,,3700.84,3700.84,MODIS WLS (Proxy),G043238E43064N
2001-08-02,,3720.31,3720.31,MODIS WLS (Proxy),G043238E43064N
2001-08-04,,3720.1,3720.1,MODIS WLS (Proxy),G043238E43064N
2001-08-05,,3714.44,3714.44,MODIS WLS (Proxy),G043238E43064N
2001-08-06,,3723.45,3723.45,MODIS WLS (Proxy),G043238E43064N
2001-08-10,,3776.4,3776.4,MODIS WLS (Proxy),G043238E43064N
2001-08-11,,3796.08,3796.08,MODIS WLS (Proxy),G043238E43064N
2001-08-12,,3796.08,3796.08,MODIS WLS (Proxy),G043238E43064N
2001-08-13,,3761.33,3761.33,MODIS WLS (Proxy),G043238E43064N
2001-08-14,,3767.19,3767.19,MODIS WLS (Proxy),G043238E43064N
2001-08-15,3734.0,,3734.0,Landsat/Sentinel (Observation),G043238E43064N
2001-08-16,,3755.68,3755.68,MODIS WLS (Proxy),G043238E43064N
2001-08-17,,3756.94,3756.94,MODIS WLS (Proxy),G043238E43064N
