date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-01,,,2562.91,Assumed Full Snow Cover,G043291E42928N
2000-05-04,,2562.91,2562.91,MODIS WLS (Proxy),G043291E42928N
2000-05-12,,2644.2,2644.2,MODIS WLS (Proxy),G043291E42928N
2000-05-21,,2735.08,2735.08,MODIS WLS (Proxy),G043291E42928N
2000-05-22,,2735.08,2735.08,MODIS WLS (Proxy),G043291E42928N
2000-06-12,,2753.12,2753.12,MODIS WLS (Proxy),G043291E42928N
2000-06-13,,2775.1,2775.1,MODIS WLS (Proxy),G043291E42928N
2000-06-16,,2899.37,2899.37,MODIS WLS (Proxy),G043291E42928N
2000-06-17,,2913.32,2913.32,MODIS WLS (Proxy),G043291E42928N
2000-07-09,,2946.85,2946.85,MODIS WLS (Proxy),G043291E42928N
2000-07-14,,3041.25,3041.25,MODIS WLS (Proxy),G043291E42928N
2000-07-17,,3041.25,3041.25,MODIS WLS (Proxy),G043291E42928N
2000-07-29,,3118.47,3118.47,MODIS WLS (Proxy),G043291E42928N
2000-07-30,,3118.47,3118.47,MODIS WLS (Proxy),G043291E42928N
2000-08-01,,3118.47,3118.47,MODIS WLS (Proxy),G043291E42928N
2000-09-05,,3311.92,3311.92,MODIS WLS (Proxy),G043291E42928N
2000-09-09,,3288.95,3288.95,MODIS WLS (Proxy),G043291E42928N
2000-09-11,,3288.95,3288.95,MODIS WLS (Proxy),G043291E42928N
2000-09-19,,2986.3,2986.3,MODIS WLS (Proxy),G043291E42928N
2000-09-20,,2986.3,2986.3,MODIS WLS (Proxy),G043291E42928N
2000-10-02,,2835.26,2835.26,MODIS WLS (Proxy),G043291E42928N
2000-10-03,,2835.26,2835.26,MODIS WLS (Proxy),G043291E42928N
2000-10-04,,2867.81,2867.81,MODIS WLS (Proxy),G043291E42928N
2000-10-05,,2867.81,2867.81,MODIS WLS (Proxy),G043291E42928N
2000-10-07,,2896.27,2896.27,MODIS WLS (Proxy),G043291E42928N
2000-10-14,,2784.11,2784.11,MODIS WLS (Proxy),G043291E42928N
2000-10-15,,2784.11,2784.11,MODIS WLS (Proxy),G043291E42928N
2000-10-16,,2784.11,2784.11,MODIS WLS (Proxy),G043291E42928N
2000-10-28,,2760.73,2760.73,MODIS WLS (Proxy),G043291E42928N
2000-10-31,,,2562.91,Assumed Full Snow Cover,G043291E42928N
2001-05-01,,,2609.12,Assumed Full Snow Cover,G043291E42928N
2001-05-07,,2609.12,2609.12,MODIS WLS (Proxy),G043291E42928N
2001-05-22,,2627.44,2627.44,MODIS WLS (Proxy),G043291E42928N
2001-05-25,,2624.62,2624.62,MODIS WLS (Proxy),G043291E42928N
2001-05-26,,2616.02,2616.02,MODIS WLS (Proxy),G043291E42928N
2001-06-13,,2859.92,2859.92,MODIS WLS (Proxy),G043291E42928N
2001-07-16,,3109.87,3109.87,MODIS WLS (Proxy),G043291E42928N
2001-07-22,,3080.0,3080.0,MODIS WLS (Proxy),G043291E42928N
2001-07-23,,3080.0,3080.0,MODIS WLS (Proxy),G043291E42928N
2001-07-24,,3085.5,3085.5,MODIS WLS (Proxy),G043291E42928N
2001-07-25,,3085.5,3085.5,MODIS WLS (Proxy),G043291E42928N
2001-07-27,,3094.79,3094.79,MODIS WLS (Proxy),G043291E42928N
2001-07-29,,3113.39,3113.39,MODIS WLS (Proxy),G043291E42928N
2001-08-05,,3155.1,3155.1,MODIS WLS (Proxy),G043291E42928N
2001-08-07,,3162.28,3162.28,MODIS WLS (Proxy),G043291E42928N
2001-08-10,,3181.45,3181.45,MODIS WLS (Proxy),G043291E42928N
2001-08-12,,3220.05,3220.05,MODIS WLS (Proxy),G043291E42928N
2001-08-13,,3220.05,3220.05,MODIS WLS (Proxy),G043291E42928N
2001-08-14,,3221.46,3221.46,MODIS WLS (Proxy),G043291E42928N
2001-09-01,,2713.67,2713.67,MODIS WLS (Proxy),G043291E42928N
2001-09-02,,2713.67,2713.67,MODIS WLS (Proxy),G043291E42928N
2001-09-06,,2892.04,2892.04,MODIS WLS (Proxy),G043291E42928N
2001-09-10,,2962.07,2962.07,MODIS WLS (Proxy),G043291E42928N
2001-09-12,,3002.08,3002.08,MODIS WLS (Proxy),G043291E42928N
2001-09-15,,3059.43,3059.43,MODIS WLS (Proxy),G043291E42928N
2001-09-18,,3064.64,3064.64,MODIS WLS (Proxy),G043291E42928N
2001-09-24,,3028.43,3028.43,MODIS WLS (Proxy),G043291E42928N
