date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-01,,,2323.92,Assumed Full Snow Cover,G042999E43050N
2000-05-04,,2323.92,2323.92,MODIS WLS (Proxy),G042999E43050N
2000-05-20,,2645.05,2645.05,MODIS WLS (Proxy),G042999E43050N
2000-05-21,,2645.05,2645.05,MODIS WLS (Proxy),G042999E43050N
2000-05-22,,2645.05,2645.05,MODIS WLS (Proxy),G042999E43050N
2000-06-12,,2910.27,2910.27,MODIS WLS (Proxy),G042999E43050N
2000-06-15,,2948.25,2948.25,MODIS WLS (Proxy),G042999E43050N
2000-06-16,,2980.26,2980.26,MODIS WLS (Proxy),G042999E43050N
2000-06-17,,2980.26,2980.26,MODIS WLS (Proxy),G042999E43050N
2000-06-21,,2386.23,2386.23,MODIS WLS (Proxy),G042999E43050N
2000-06-25,,2910.48,2910.48,MODIS WLS (Proxy),G042999E43050N
2000-06-26,,2910.48,2910.48,MODIS WLS (Proxy),G042999E43050N
2000-06-28,,2910.48,2910.48,MODIS WLS (Proxy),G042999E43050N
2000-07-03,,3128.76,3128.76,MODIS WLS (Proxy),G042999E43050N
2000-07-05,,3128.76,3128.76,MODIS WLS (Proxy),G042999E43050N
2000-07-09,,3167.38,3167.38,MODIS WLS (Proxy),G042999E43050N
2000-07-10,,3170.37,3170.37,MODIS WLS (Proxy),G042999E43050N
2000-07-12,,3190.43,3190.43,MODIS WLS (Proxy),G042999E43050N
2000-07-13,,3201.31,3201.31,MODIS WLS (Proxy),G042999E43050N
2000-07-14,,3222.01,3222.01,MODIS WLS (Proxy),G042999E43050N
2000-07-15,,3222.01,3222.01,MODIS WLS (Proxy),G042999E43050N
2000-07-16,,3228.19,3228.19,MODIS WLS (Proxy),G042999E43050N
2000-07-20,,3314.18,3314.18,MODIS WLS (Proxy),G042999E43050N
2000-07-21,,3314.18,3314.18,MODIS WLS (Proxy),G042999E43050N
2000-07-22,,3314.18,3314.18,MODIS WLS (Proxy),G042999E43050N
2000-07-27,,3341.28,3341.28,MODIS WLS (Proxy),G042999E43050N
2000-07-28,,3341.28,3341.28,MODIS WLS (Proxy),G042999E43050N
2000-07-29,,3341.28,3341.28,MODIS WLS (Proxy),G042999E43050N
2000-07-30,,3341.28,3341.28,MODIS WLS (Proxy),G042999E43050N
2000-09-04,,3230.12,3230.12,MODIS WLS (Proxy),G042999E43050N
2000-09-05,,3230.12,3230.12,MODIS WLS (Proxy),G042999E43050N
2000-09-06,,3224.35,3224.35,MODIS WLS (Proxy),G042999E43050N
2000-09-09,,3353.66,3353.66,MODIS WLS (Proxy),G042999E43050N
2000-09-11,,3350.88,3350.88,MODIS WLS (Proxy),G042999E43050N
2000-09-12,,3350.88,3350.88,MODIS WLS (Proxy),G042999E43050N
2000-09-18,,3166.74,3166.74,MODIS WLS (Proxy),G042999E43050N
2000-09-19,,3166.74,3166.74,MODIS WLS (Proxy),G042999E43050N
2000-09-28,,2848.82,2848.82,MODIS WLS (Proxy),G042999E43050N
2000-10-02,,3111.69,3111.69,MODIS WLS (Proxy),G042999E43050N
2000-10-03,,3111.69,3111.69,MODIS WLS (Proxy),G042999E43050N
2000-10-04,,3169.73,3169.73,MODIS WLS (Proxy),G042999E43050N
2000-10-05,,3169.73,3169.73,MODIS WLS (Proxy),G042999E43050N
2000-10-07,,3262.12,3262.12,MODIS WLS (Proxy),G042999E43050N
2000-10-14,,3029.12,3029.12,MODIS WLS (Proxy),G042999E43050N
2000-10-15,,3029.12,3029.12,MODIS WLS (Proxy),G042999E43050N
2000-10-28,,3125.35,3125.35,MODIS WLS (Proxy),G042999E43050N
2000-10-31,,,2323.92,Assumed Full Snow Cover,G042999E43050N
2001-05-01,,,2537.51,Assumed Full Snow Cover,G042999E43050N
2001-05-07,,2560.55,2560.55,MODIS WLS (Proxy),G042999E43050N
2001-05-25,,2537.51,2537.51,MODIS WLS (Proxy),G042999E43050N
2001-05-26,,2537.51,2537.51,MODIS WLS (Proxy),G042999E43050N
2001-06-04,,2644.41,2644.41,MODIS WLS (Proxy),G042999E43050N
2001-06-10,,2821.72,2821.72,MODIS WLS (Proxy),G042999E43050N
2001-06-11,,2821.72,2821.72,MODIS WLS (Proxy),G042999E43050N
2001-06-13,,2821.72,2821.72,MODIS WLS (Proxy),G042999E43050N
2001-07-06,,3104.65,3104.65,MODIS WLS (Proxy),G042999E43050N
2001-07-13,,3127.48,3127.48,MODIS WLS (Proxy),G042999E43050N
2001-07-15,,3134.52,3134.52,MODIS WLS (Proxy),G042999E43050N
2001-07-16,,3133.24,3133.24,MODIS WLS (Proxy),G042999E43050N
2001-07-17,,3130.68,3130.68,MODIS WLS (Proxy),G042999E43050N
2001-07-19,,3223.93,3223.93,MODIS WLS (Proxy),G042999E43050N
2001-07-22,,3260.2,3260.2,MODIS WLS (Proxy),G042999E43050N
2001-07-23,,3274.5,3274.5,MODIS WLS (Proxy),G042999E43050N
2001-07-24,,3288.58,3288.58,MODIS WLS (Proxy),G042999E43050N
2001-07-25,,3288.58,3288.58,MODIS WLS (Proxy),G042999E43050N
2001-07-27,,3333.17,3333.17,MODIS WLS (Proxy),G042999E43050N
2001-07-29,,3357.71,3357.71,MODIS WLS (Proxy),G042999E43050N
2001-07-30,,3348.54,3348.54,MODIS WLS (Proxy),G042999E43050N
2001-08-02,,3328.69,3328.69,MODIS WLS (Proxy),G042999E43050N
2001-08-04,,3320.58,3320.58,MODIS WLS (Proxy),G042999E43050N
2001-08-05,,3320.58,3320.58,MODIS WLS (Proxy),G042999E43050N
2001-08-06,,3326.13,3326.13,MODIS WLS (Proxy),G042999E43050N
2001-08-10,,3395.48,3395.48,MODIS WLS (Proxy),G042999E43050N
2001-08-11,,3395.48,3395.48,MODIS WLS (Proxy),G042999E43050N
2001-08-12,,3395.48,3395.48,MODIS WLS (Proxy),G042999E43050N
2001-08-13,,3394.41,3394.41,MODIS WLS (Proxy),G042999E43050N
2001-08-16,,3389.72,3389.72,MODIS WLS (Proxy),G042999E43050N
2001-08-21,,3346.19,3346.19,MODIS WLS (Proxy),G042999E43050N
2001-08-27,,3107.85,3107.85,MODIS WLS (Proxy),G042999E43050N
2001-09-01,,2798.68,2798.68,MODIS WLS (Proxy),G042999E43050N
2001-09-02,,2810.2,2810.2,MODIS WLS (Proxy),G042999E43050N
2001-09-05,,3132.18,3132.18,MODIS WLS (Proxy),G042999E43050N
2001-09-06,,3135.38,3135.38,MODIS WLS (Proxy),G042999E43050N
2001-09-10,,3063.47,3063.47,MODIS WLS (Proxy),G042999E43050N
2001-09-11,,3063.47,3063.47,MODIS WLS (Proxy),G042999E43050N
2001-09-12,,3102.95,3102.95,MODIS WLS (Proxy),G042999E43050N
2001-09-15,,3163.76,3163.76,MODIS WLS (Proxy),G042999E43050N
2001-09-18,,3169.73,3169.73,MODIS WLS (Proxy),G042999E43050N
2001-09-19,,3201.74,3201.74,MODIS WLS (Proxy),G042999E43050N
2001-09-21,,3201.74,3201.74,MODIS WLS (Proxy),G042999E43050N
2001-10-02,,3106.15,3106.15,MODIS WLS (Proxy),G042999E43050N
2001-10-03,,3106.15,3106.15,MODIS WLS (Proxy),G042999E43050N
2001-10-04,,3106.15,3106.15,MODIS WLS (Proxy),G042999E43050N
2001-10-05,,3121.72,3121.72,MODIS WLS (Proxy),G042999E43050N
2001-10-08,,3216.67,3216.67,MODIS WLS (Proxy),G042999E43050N
2001-10-09,,3231.18,3231.18,MODIS WLS (Proxy),G042999E43050N
2001-10-10,,3231.18,3231.18,MODIS WLS (Proxy),G042999E43050N
2001-10-11,,3231.18,3231.18,MODIS WLS (Proxy),G042999E43050N
2001-10-27,,2903.02,2903.02,MODIS WLS (Proxy),G042999E43050N
2001-10-29,,2903.02,2903.02,MODIS WLS (Proxy),G042999E43050N
2001-10-31,,,2537.51,Assumed Full Snow Cover,G042999E43050N
2002-05-01,,,2539.86,Assumed Full Snow Cover,G042999E43050N
2002-05-02,,2539.86,2539.86,MODIS WLS (Proxy),G042999E43050N
2002-05-13,,2647.61,2647.61,MODIS WLS (Proxy),G042999E43050N
2002-05-14,,2647.61,2647.61,MODIS WLS (Proxy),G042999E43050N
2002-05-16,,2647.61,2647.61,MODIS WLS (Proxy),G042999E43050N
2002-05-20,,2622.86,2622.86,MODIS WLS (Proxy),G042999E43050N
2002-05-22,,2622.86,2622.86,MODIS WLS (Proxy),G042999E43050N
2002-05-26,,2739.15,2739.15,MODIS WLS (Proxy),G042999E43050N
2002-05-27,,2739.15,2739.15,MODIS WLS (Proxy),G042999E43050N
2002-06-04,,2571.44,2571.44,MODIS WLS (Proxy),G042999E43050N
2002-06-10,,2684.31,2684.31,MODIS WLS (Proxy),G042999E43050N
2002-06-11,,2684.31,2684.31,MODIS WLS (Proxy),G042999E43050N
2002-06-15,,2770.3,2770.3,MODIS WLS (Proxy),G042999E43050N
2002-06-16,,2770.3,2770.3,MODIS WLS (Proxy),G042999E43050N
2002-06-22,,2805.93,2805.93,MODIS WLS (Proxy),G042999E43050N
2002-06-23,,2837.3,2837.3,MODIS WLS (Proxy),G042999E43050N
2002-06-24,,2837.3,2837.3,MODIS WLS (Proxy),G042999E43050N
2002-06-26,,2852.87,2852.87,MODIS WLS (Proxy),G042999E43050N
2002-07-07,,3031.68,3031.68,MODIS WLS (Proxy),G042999E43050N
2002-07-08,,3031.68,3031.68,MODIS WLS (Proxy),G042999E43050N
2002-07-09,,3031.68,3031.68,MODIS WLS (Proxy),G042999E43050N
2002-07-19,,3119.16,3119.16,MODIS WLS (Proxy),G042999E43050N
2002-07-20,,3119.16,3119.16,MODIS WLS (Proxy),G042999E43050N
2002-07-27,,3096.12,3096.12,MODIS WLS (Proxy),G042999E43050N
2002-07-28,,3096.12,3096.12,MODIS WLS (Proxy),G042999E43050N
2002-07-29,,3096.12,3096.12,MODIS WLS (Proxy),G042999E43050N
2002-07-30,,3096.12,3096.12,MODIS WLS (Proxy),G042999E43050N
2002-08-12,,3224.99,3224.99,MODIS WLS (Proxy),G042999E43050N
2002-08-13,,3224.99,3224.99,MODIS WLS (Proxy),G042999E43050N
2002-08-14,,3224.99,3224.99,MODIS WLS (Proxy),G042999E43050N
2002-08-30,,3190.85,3190.85,MODIS WLS (Proxy),G042999E43050N
2002-08-31,,3190.85,3190.85,MODIS WLS (Proxy),G042999E43050N
2002-09-06,,3170.58,3170.58,MODIS WLS (Proxy),G042999E43050N
2002-09-07,,3170.58,3170.58,MODIS WLS (Proxy),G042999E43050N
2002-09-20,,2881.89,2881.89,MODIS WLS (Proxy),G042999E43050N
2002-09-22,,2881.89,2881.89,MODIS WLS (Proxy),G042999E43050N
2002-09-23,,2881.89,2881.89,MODIS WLS (Proxy),G042999E43050N
2002-10-05,,2970.01,2970.01,MODIS WLS (Proxy),G042999E43050N
2002-10-06,,2970.01,2970.01,MODIS WLS (Proxy),G042999E43050N
2002-10-07,,2970.01,2970.01,MODIS WLS (Proxy),G042999E43050N
2002-10-11,,3262.33,3262.33,MODIS WLS (Proxy),G042999E43050N
2002-10-13,,3262.33,3262.33,MODIS WLS (Proxy),G042999E43050N
2002-10-17,,3128.12,3128.12,MODIS WLS (Proxy),G042999E43050N
2002-10-18,,3128.12,3128.12,MODIS WLS (Proxy),G042999E43050N
2002-10-22,,3019.94,3019.94,MODIS WLS (Proxy),G042999E43050N
2002-10-24,,3076.7,3076.7,MODIS WLS (Proxy),G042999E43050N
2002-10-27,,3128.12,3128.12,MODIS WLS (Proxy),G042999E43050N
2002-10-31,,,2539.86,Assumed Full Snow Cover,G042999E43050N
2003-05-01,,,2651.66,Assumed Full Snow Cover,G042999E43050N
2003-05-02,,2656.14,2656.14,MODIS WLS (Proxy),G042999E43050N
2003-05-04,,2656.14,2656.14,MODIS WLS (Proxy),G042999E43050N
2003-05-10,,2715.89,2715.89,MODIS WLS (Proxy),G042999E43050N
2003-05-11,,2749.17,2749.17,MODIS WLS (Proxy),G042999E43050N
2003-05-12,,2749.17,2749.17,MODIS WLS (Proxy),G042999E43050N
2003-05-13,,2749.17,2749.17,MODIS WLS (Proxy),G042999E43050N
2003-05-14,,2753.66,2753.66,MODIS WLS (Proxy),G042999E43050N
2003-05-15,,2783.74,2783.74,MODIS WLS (Proxy),G042999E43050N
2003-05-21,,2864.18,2864.18,MODIS WLS (Proxy),G042999E43050N
2003-05-23,,2897.04,2897.04,MODIS WLS (Proxy),G042999E43050N
2003-05-24,,2897.04,2897.04,MODIS WLS (Proxy),G042999E43050N
2003-05-25,,2908.78,2908.78,MODIS WLS (Proxy),G042999E43050N
2003-06-02,,2669.16,2669.16,MODIS WLS (Proxy),G042999E43050N
2003-06-03,,2651.66,2651.66,MODIS WLS (Proxy),G042999E43050N
2003-06-06,,2723.57,2723.57,MODIS WLS (Proxy),G042999E43050N
2003-06-07,,2815.75,2815.75,MODIS WLS (Proxy),G042999E43050N
2003-06-08,,2825.99,2825.99,MODIS WLS (Proxy),G042999E43050N
2003-06-10,,2884.45,2884.45,MODIS WLS (Proxy),G042999E43050N
2003-06-11,,2893.84,2893.84,MODIS WLS (Proxy),G042999E43050N
2003-06-12,,2914.54,2914.54,MODIS WLS (Proxy),G042999E43050N
2003-06-15,,2908.78,2908.78,MODIS WLS (Proxy),G042999E43050N
2003-06-18,,2948.89,2948.89,MODIS WLS (Proxy),G042999E43050N
2003-06-21,,2936.73,2936.73,MODIS WLS (Proxy),G042999E43050N
2003-06-25,,2776.91,2776.91,MODIS WLS (Proxy),G042999E43050N
2003-06-30,,3033.81,3033.81,MODIS WLS (Proxy),G042999E43050N
2003-07-03,,3033.81,3033.81,MODIS WLS (Proxy),G042999E43050N
2003-07-10,,2980.26,2980.26,MODIS WLS (Proxy),G042999E43050N
2003-07-11,,3042.77,3042.77,MODIS WLS (Proxy),G042999E43050N
2003-07-14,,3109.56,3109.56,MODIS WLS (Proxy),G042999E43050N
2003-07-21,,3191.49,3191.49,MODIS WLS (Proxy),G042999E43050N
2003-08-02,,3254.87,3254.87,MODIS WLS (Proxy),G042999E43050N
2003-08-03,,3254.87,3254.87,MODIS WLS (Proxy),G042999E43050N
2003-08-15,,3250.6,3250.6,MODIS WLS (Proxy),G042999E43050N
2003-08-16,,3250.6,3250.6,MODIS WLS (Proxy),G042999E43050N
2003-08-17,,3287.51,3287.51,MODIS WLS (Proxy),G042999E43050N
2003-08-18,,3291.14,3291.14,MODIS WLS (Proxy),G042999E43050N
2003-08-20,,3320.8,3320.8,MODIS WLS (Proxy),G042999E43050N
2003-08-21,,3337.23,3337.23,MODIS WLS (Proxy),G042999E43050N
2003-08-25,,3333.81,3333.81,MODIS WLS (Proxy),G042999E43050N
2003-08-27,,3333.81,3333.81,MODIS WLS (Proxy),G042999E43050N
2003-08-31,,3330.83,3330.83,MODIS WLS (Proxy),G042999E43050N
2003-09-01,,3330.83,3330.83,MODIS WLS (Proxy),G042999E43050N
2003-09-02,,3330.83,3330.83,MODIS WLS (Proxy),G042999E43050N
2003-09-07,,2830.04,2830.04,MODIS WLS (Proxy),G042999E43050N
2003-09-09,,2847.97,2847.97,MODIS WLS (Proxy),G042999E43050N
2003-09-11,,2934.38,2934.38,MODIS WLS (Proxy),G042999E43050N
2003-09-21,,3002.66,3002.66,MODIS WLS (Proxy),G042999E43050N
2003-09-24,,3043.2,3043.2,MODIS WLS (Proxy),G042999E43050N
2003-09-25,,3141.78,3141.78,MODIS WLS (Proxy),G042999E43050N
2003-09-27,,3141.78,3141.78,MODIS WLS (Proxy),G042999E43050N
2003-10-05,,3288.15,3288.15,MODIS WLS (Proxy),G042999E43050N
2003-10-07,,3288.15,3288.15,MODIS WLS (Proxy),G042999E43050N
2003-10-15,,3181.04,3181.04,MODIS WLS (Proxy),G042999E43050N
2003-10-31,,,2651.66,Assumed Full Snow Cover,G042999E43050N
2004-05-01,,,2481.39,Assumed Full Snow Cover,G042999E43050N
2004-05-02,,2494.84,2494.84,MODIS WLS (Proxy),G042999E43050N
2004-05-05,,2494.84,2494.84,MODIS WLS (Proxy),G042999E43050N
2004-05-20,,2481.39,2481.39,MODIS WLS (Proxy),G042999E43050N
2004-05-22,,2492.91,2492.91,MODIS WLS (Proxy),G042999E43050N
2004-05-23,,2492.91,2492.91,MODIS WLS (Proxy),G042999E43050N
2004-05-24,,2613.9,2613.9,MODIS WLS (Proxy),G042999E43050N
2004-06-05,,2514.25,2514.25,MODIS WLS (Proxy),G042999E43050N
2004-06-12,,2611.34,2611.34,MODIS WLS (Proxy),G042999E43050N
2004-06-13,,2611.34,2611.34,MODIS WLS (Proxy),G042999E43050N
2004-06-14,,2611.34,2611.34,MODIS WLS (Proxy),G042999E43050N
2004-06-18,,2793.13,2793.13,MODIS WLS (Proxy),G042999E43050N
2004-06-30,,2662.97,2662.97,MODIS WLS (Proxy),G042999E43050N
2004-07-02,,2769.66,2769.66,MODIS WLS (Proxy),G042999E43050N
2004-07-03,,2769.66,2769.66,MODIS WLS (Proxy),G042999E43050N
2004-07-04,,2778.41,2778.41,MODIS WLS (Proxy),G042999E43050N
2004-07-05,,2796.97,2796.97,MODIS WLS (Proxy),G042999E43050N
2004-07-08,,2952.3,2952.3,MODIS WLS (Proxy),G042999E43050N
2004-07-11,,3039.79,3039.79,MODIS WLS (Proxy),G042999E43050N
2004-07-12,,3037.65,3037.65,MODIS WLS (Proxy),G042999E43050N
2004-07-14,,3037.65,3037.65,MODIS WLS (Proxy),G042999E43050N
2004-07-21,,2927.55,2927.55,MODIS WLS (Proxy),G042999E43050N
2004-07-28,,3221.58,3221.58,MODIS WLS (Proxy),G042999E43050N
2004-07-30,,3217.31,3217.31,MODIS WLS (Proxy),G042999E43050N
2004-07-31,,3217.31,3217.31,MODIS WLS (Proxy),G042999E43050N
2004-08-01,,3223.5,3223.5,MODIS WLS (Proxy),G042999E43050N
2004-08-02,,3223.5,3223.5,MODIS WLS (Proxy),G042999E43050N
2004-08-15,,3288.79,3288.79,MODIS WLS (Proxy),G042999E43050N
2004-08-16,,3288.79,3288.79,MODIS WLS (Proxy),G042999E43050N
2004-08-17,,3288.79,3288.79,MODIS WLS (Proxy),G042999E43050N
2004-08-18,,3288.79,3288.79,MODIS WLS (Proxy),G042999E43050N
2004-08-23,,3361.13,3361.13,MODIS WLS (Proxy),G042999E43050N
2004-09-08,,2874.0,2874.0,MODIS WLS (Proxy),G042999E43050N
2004-09-12,,3022.5,3022.5,MODIS WLS (Proxy),G042999E43050N
2004-09-13,,3119.8,3119.8,MODIS WLS (Proxy),G042999E43050N
2004-09-14,,3119.8,3119.8,MODIS WLS (Proxy),G042999E43050N
2004-09-15,,3122.79,3122.79,MODIS WLS (Proxy),G042999E43050N
2004-09-16,,3156.29,3156.29,MODIS WLS (Proxy),G042999E43050N
2004-09-18,,3227.34,3227.34,MODIS WLS (Proxy),G042999E43050N
2004-09-19,,3234.81,3234.81,MODIS WLS (Proxy),G042999E43050N
2004-09-21,,3246.76,3246.76,MODIS WLS (Proxy),G042999E43050N
2004-09-22,,3294.98,3294.98,MODIS WLS (Proxy),G042999E43050N
2004-09-26,,3449.25,3449.25,MODIS WLS (Proxy),G042999E43050N
2004-09-28,,3464.61,3464.61,MODIS WLS (Proxy),G042999E43050N
2004-09-30,,3465.89,3465.89,MODIS WLS (Proxy),G042999E43050N
2004-10-07,,3187.01,3187.01,MODIS WLS (Proxy),G042999E43050N
2004-10-11,,2866.32,2866.32,MODIS WLS (Proxy),G042999E43050N
2004-10-14,,2866.32,2866.32,MODIS WLS (Proxy),G042999E43050N
2004-10-23,,2948.68,2948.68,MODIS WLS (Proxy),G042999E43050N
2004-10-26,,3037.44,3037.44,MODIS WLS (Proxy),G042999E43050N
2004-10-27,,3095.9,3095.9,MODIS WLS (Proxy),G042999E43050N
2004-10-29,,3095.9,3095.9,MODIS WLS (Proxy),G042999E43050N
2004-10-31,,,2481.39,Assumed Full Snow Cover,G042999E43050N
2005-05-01,,,2503.16,Assumed Full Snow Cover,G042999E43050N
2005-05-06,,2504.44,2504.44,MODIS WLS (Proxy),G042999E43050N
2005-05-10,,2503.16,2503.16,MODIS WLS (Proxy),G042999E43050N
2005-05-11,,2503.16,2503.16,MODIS WLS (Proxy),G042999E43050N
2005-05-17,,2562.9,2562.9,MODIS WLS (Proxy),G042999E43050N
2005-05-18,,2693.91,2693.91,MODIS WLS (Proxy),G042999E43050N
2005-05-21,,2732.32,2732.32,MODIS WLS (Proxy),G042999E43050N
2005-05-22,,2756.64,2756.64,MODIS WLS (Proxy),G042999E43050N
2005-05-23,,2756.64,2756.64,MODIS WLS (Proxy),G042999E43050N
2005-05-28,,2690.71,2690.71,MODIS WLS (Proxy),G042999E43050N
2005-05-29,,2690.71,2690.71,MODIS WLS (Proxy),G042999E43050N
