date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-01,,,2428.93,Assumed Full Snow Cover,G043183E42984N
2000-05-04,,2428.93,2428.93,MODIS WLS (Proxy),G043183E42984N
2000-05-12,,2647.87,2647.87,MODIS WLS (Proxy),G043183E42984N
2000-05-21,,2724.22,2724.22,MODIS WLS (Proxy),G043183E42984N
2000-05-22,,2724.22,2724.22,MODIS WLS (Proxy),G043183E42984N
2000-06-07,,2810.91,2810.91,MODIS WLS (Proxy),G043183E42984N
2000-06-13,,2902.66,2902.66,MODIS WLS (Proxy),G043183E42984N
2000-06-15,,2902.66,2902.66,MODIS WLS (Proxy),G043183E42984N
2000-06-16,,2902.66,2902.66,MODIS WLS (Proxy),G043183E42984N
2000-07-09,,3168.42,3168.42,MODIS WLS (Proxy),G043183E42984N
2000-07-10,,3186.77,3186.77,MODIS WLS (Proxy),G043183E42984N
2000-07-13,,3215.67,3215.67,MODIS WLS (Proxy),G043183E42984N
2000-07-14,,3274.09,3274.09,MODIS WLS (Proxy),G043183E42984N
2000-07-16,,3274.09,3274.09,MODIS WLS (Proxy),G043183E42984N
2000-07-17,,3269.03,3269.03,MODIS WLS (Proxy),G043183E42984N
2000-07-25,,3311.64,3311.64,MODIS WLS (Proxy),G043183E42984N
2000-07-29,,3512.64,3512.64,MODIS WLS (Proxy),G043183E42984N
2000-08-20,,3513.91,3513.91,MODIS WLS (Proxy),G043183E42984N
2000-09-02,,3375.12,3375.12,MODIS WLS (Proxy),G043183E42984N
2000-09-05,,3375.12,3375.12,MODIS WLS (Proxy),G043183E42984N
2000-09-11,,3431.23,3431.23,MODIS WLS (Proxy),G043183E42984N
2000-10-03,,3058.11,3058.11,MODIS WLS (Proxy),G043183E42984N
2000-10-14,,2883.47,2883.47,MODIS WLS (Proxy),G043183E42984N
2000-10-15,,2883.47,2883.47,MODIS WLS (Proxy),G043183E42984N
2000-10-16,,2883.47,2883.47,MODIS WLS (Proxy),G043183E42984N
2000-10-31,,,2428.93,Assumed Full Snow Cover,G043183E42984N
2001-05-01,,,2531.86,Assumed Full Snow Cover,G043183E42984N
2001-05-07,,2576.15,2576.15,MODIS WLS (Proxy),G043183E42984N
2001-05-22,,2531.86,2531.86,MODIS WLS (Proxy),G043183E42984N
2001-05-25,,2580.37,2580.37,MODIS WLS (Proxy),G043183E42984N
2001-05-26,,2573.41,2573.41,MODIS WLS (Proxy),G043183E42984N
2001-06-13,,2900.97,2900.97,MODIS WLS (Proxy),G043183E42984N
2001-06-14,,2900.97,2900.97,MODIS WLS (Proxy),G043183E42984N
2001-07-06,,3087.0,3087.0,MODIS WLS (Proxy),G043183E42984N
2001-07-15,,3114.64,3114.64,MODIS WLS (Proxy),G043183E42984N
2001-07-16,,3114.64,3114.64,MODIS WLS (Proxy),G043183E42984N
2001-07-22,,3264.18,3264.18,MODIS WLS (Proxy),G043183E42984N
