date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-04,,2737.33,2737.33,MODIS WLS (Proxy),G042950E43105N
2000-05-12,,2785.69,2785.69,MODIS WLS (Proxy),G042950E43105N
2000-05-20,,2869.8,2869.8,MODIS WLS (Proxy),G042950E43105N
2000-05-21,,2869.8,2869.8,MODIS WLS (Proxy),G042950E43105N
2000-05-22,,2869.8,2869.8,MODIS WLS (Proxy),G042950E43105N
2000-06-07,,2989.41,2989.41,MODIS WLS (Proxy),G042950E43105N
2000-06-12,,2962.2,2962.2,MODIS WLS (Proxy),G042950E43105N
2000-06-15,,2978.65,2978.65,MODIS WLS (Proxy),G042950E43105N
2000-06-16,,3011.8,3011.8,MODIS WLS (Proxy),G042950E43105N
2000-06-21,,2759.84,2759.84,MODIS WLS (Proxy),G042950E43105N
2000-06-25,,2989.41,2989.41,MODIS WLS (Proxy),G042950E43105N
2000-06-26,,2989.41,2989.41,MODIS WLS (Proxy),G042950E43105N
2000-07-05,,3168.15,3168.15,MODIS WLS (Proxy),G042950E43105N
2000-07-09,,3161.96,3161.96,MODIS WLS (Proxy),G042950E43105N
2000-07-12,,3183.85,3183.85,MODIS WLS (Proxy),G042950E43105N
2000-07-13,,3196.97,3196.97,MODIS WLS (Proxy),G042950E43105N
2000-07-14,,3207.85,3207.85,MODIS WLS (Proxy),G042950E43105N
2000-07-15,,3206.61,3206.61,MODIS WLS (Proxy),G042950E43105N
2000-07-16,,3212.92,3212.92,MODIS WLS (Proxy),G042950E43105N
2000-07-17,,3215.52,3215.52,MODIS WLS (Proxy),G042950E43105N
2000-07-18,,3230.24,3230.24,MODIS WLS (Proxy),G042950E43105N
2000-07-20,,3230.24,3230.24,MODIS WLS (Proxy),G042950E43105N
2000-07-29,,3304.08,3304.08,MODIS WLS (Proxy),G042950E43105N
2000-08-02,,3324.61,3324.61,MODIS WLS (Proxy),G042950E43105N
2000-08-05,,3324.61,3324.61,MODIS WLS (Proxy),G042950E43105N
2000-08-19,,3401.55,3401.55,MODIS WLS (Proxy),G042950E43105N
2000-08-20,,3402.79,3402.79,MODIS WLS (Proxy),G042950E43105N
2000-08-23,,3406.37,3406.37,MODIS WLS (Proxy),G042950E43105N
2000-09-02,,3225.29,3225.29,MODIS WLS (Proxy),G042950E43105N
2000-09-05,,3225.29,3225.29,MODIS WLS (Proxy),G042950E43105N
