date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-01,,,2346.01,Assumed Full Snow Cover,G042766E43151N
2000-05-04,,2346.01,2346.01,MODIS WLS (Proxy),G042766E43151N
2000-05-17,,2591.64,2591.64,MODIS WLS (Proxy),G042766E43151N
2000-05-21,,2660.33,2660.33,MODIS WLS (Proxy),G042766E43151N
2000-05-22,,2660.33,2660.33,MODIS WLS (Proxy),G042766E43151N
2000-06-07,,2806.01,2806.01,MODIS WLS (Proxy),G042766E43151N
2000-06-12,,2823.18,2823.18,MODIS WLS (Proxy),G042766E43151N
2000-06-15,,2857.92,2857.92,MODIS WLS (Proxy),G042766E43151N
2000-06-16,,2885.31,2885.31,MODIS WLS (Proxy),G042766E43151N
2000-06-17,,2885.31,2885.31,MODIS WLS (Proxy),G042766E43151N
2000-07-04,,3126.31,3126.31,MODIS WLS (Proxy),G042766E43151N
2000-07-09,,3062.25,3062.25,MODIS WLS (Proxy),G042766E43151N
2000-07-10,,3075.95,3075.95,MODIS WLS (Proxy),G042766E43151N
2000-07-13,,3095.05,3095.05,MODIS WLS (Proxy),G042766E43151N
2000-07-14,,3110.1,3110.1,MODIS WLS (Proxy),G042766E43151N
2000-07-15,,3110.1,3110.1,MODIS WLS (Proxy),G042766E43151N
2000-07-16,,3110.1,3110.1,MODIS WLS (Proxy),G042766E43151N
2000-07-17,,3104.12,3104.12,MODIS WLS (Proxy),G042766E43151N
2000-07-28,,3203.11,3203.11,MODIS WLS (Proxy),G042766E43151N
2000-07-29,,3201.56,3201.56,MODIS WLS (Proxy),G042766E43151N
2000-07-30,,3205.42,3205.42,MODIS WLS (Proxy),G042766E43151N
2000-08-01,,3209.67,3209.67,MODIS WLS (Proxy),G042766E43151N
2000-08-02,,3217.39,3217.39,MODIS WLS (Proxy),G042766E43151N
2000-08-05,,3239.38,3239.38,MODIS WLS (Proxy),G042766E43151N
2000-08-19,,3305.76,3305.76,MODIS WLS (Proxy),G042766E43151N
2000-09-05,,3116.86,3116.86,MODIS WLS (Proxy),G042766E43151N
2000-09-09,,3241.31,3241.31,MODIS WLS (Proxy),G042766E43151N
2000-09-11,,3241.31,3241.31,MODIS WLS (Proxy),G042766E43151N
2000-09-12,,3241.31,3241.31,MODIS WLS (Proxy),G042766E43151N
2000-10-03,,2842.09,2842.09,MODIS WLS (Proxy),G042766E43151N
2000-10-04,,2928.15,2928.15,MODIS WLS (Proxy),G042766E43151N
2000-10-05,,2928.15,2928.15,MODIS WLS (Proxy),G042766E43151N
2000-10-07,,2959.41,2959.41,MODIS WLS (Proxy),G042766E43151N
2000-10-14,,2767.42,2767.42,MODIS WLS (Proxy),G042766E43151N
2000-10-28,,2771.67,2771.67,MODIS WLS (Proxy),G042766E43151N
2000-10-31,,,2346.01,Assumed Full Snow Cover,G042766E43151N
2001-05-01,,,2470.66,Assumed Full Snow Cover,G042766E43151N
2001-05-07,,2470.66,2470.66,MODIS WLS (Proxy),G042766E43151N
2001-05-18,,2488.6,2488.6,MODIS WLS (Proxy),G042766E43151N
2001-05-25,,2501.92,2501.92,MODIS WLS (Proxy),G042766E43151N
2001-05-26,,2501.92,2501.92,MODIS WLS (Proxy),G042766E43151N
2001-06-13,,2797.52,2797.52,MODIS WLS (Proxy),G042766E43151N
2001-06-14,,2797.52,2797.52,MODIS WLS (Proxy),G042766E43151N
2001-07-04,,3001.67,3001.67,MODIS WLS (Proxy),G042766E43151N
2001-07-05,,3001.67,3001.67,MODIS WLS (Proxy),G042766E43151N
2001-07-06,,3001.67,3001.67,MODIS WLS (Proxy),G042766E43151N
2001-07-13,,3068.81,3068.81,MODIS WLS (Proxy),G042766E43151N
2001-07-14,,3069.58,3069.58,MODIS WLS (Proxy),G042766E43151N
2001-07-15,,3069.58,3069.58,MODIS WLS (Proxy),G042766E43151N
2001-07-16,,3070.94,3070.94,MODIS WLS (Proxy),G042766E43151N
2001-07-17,,3074.79,3074.79,MODIS WLS (Proxy),G042766E43151N
2001-07-19,,3110.3,3110.3,MODIS WLS (Proxy),G042766E43151N
2001-07-22,,3137.89,3137.89,MODIS WLS (Proxy),G042766E43151N
2001-07-23,,3139.24,3139.24,MODIS WLS (Proxy),G042766E43151N
2001-07-24,,3149.47,3149.47,MODIS WLS (Proxy),G042766E43151N
2001-07-25,,3149.47,3149.47,MODIS WLS (Proxy),G042766E43151N
2001-07-26,,3181.69,3181.69,MODIS WLS (Proxy),G042766E43151N
2001-07-27,,3179.76,3179.76,MODIS WLS (Proxy),G042766E43151N
2001-07-29,,3192.11,3192.11,MODIS WLS (Proxy),G042766E43151N
2001-08-04,,3247.1,3247.1,MODIS WLS (Proxy),G042766E43151N
2001-08-05,,3247.1,3247.1,MODIS WLS (Proxy),G042766E43151N
2001-08-06,,3244.79,3244.79,MODIS WLS (Proxy),G042766E43151N
2001-08-07,,3252.7,3252.7,MODIS WLS (Proxy),G042766E43151N
2001-08-09,,3271.99,3271.99,MODIS WLS (Proxy),G042766E43151N
2001-08-10,,3273.34,3273.34,MODIS WLS (Proxy),G042766E43151N
2001-08-11,,3305.57,3305.57,MODIS WLS (Proxy),G042766E43151N
2001-08-12,,3305.57,3305.57,MODIS WLS (Proxy),G042766E43151N
2001-08-13,,3314.83,3314.83,MODIS WLS (Proxy),G042766E43151N
2001-08-14,,3316.95,3316.95,MODIS WLS (Proxy),G042766E43151N
2001-08-16,,3323.12,3323.12,MODIS WLS (Proxy),G042766E43151N
2001-08-17,,3327.95,3327.95,MODIS WLS (Proxy),G042766E43151N
2001-08-27,,3193.85,3193.85,MODIS WLS (Proxy),G042766E43151N
2001-08-29,,2818.75,2818.75,MODIS WLS (Proxy),G042766E43151N
2001-09-01,,2757.39,2757.39,MODIS WLS (Proxy),G042766E43151N
2001-09-02,,2707.41,2707.41,MODIS WLS (Proxy),G042766E43151N
2001-09-06,,2968.28,2968.28,MODIS WLS (Proxy),G042766E43151N
2001-09-10,,2986.42,2986.42,MODIS WLS (Proxy),G042766E43151N
2001-09-11,,2986.42,2986.42,MODIS WLS (Proxy),G042766E43151N
2001-09-12,,3010.35,3010.35,MODIS WLS (Proxy),G042766E43151N
2001-09-15,,3082.13,3082.13,MODIS WLS (Proxy),G042766E43151N
2001-09-18,,3086.76,3086.76,MODIS WLS (Proxy),G042766E43151N
2001-09-19,,3217.96,3217.96,MODIS WLS (Proxy),G042766E43151N
2001-09-22,,3143.87,3143.87,MODIS WLS (Proxy),G042766E43151N
2001-09-24,,3139.43,3139.43,MODIS WLS (Proxy),G042766E43151N
2001-09-25,,3139.43,3139.43,MODIS WLS (Proxy),G042766E43151N
2001-10-01,,2657.63,2657.63,MODIS WLS (Proxy),G042766E43151N
2001-10-03,,2703.17,2703.17,MODIS WLS (Proxy),G042766E43151N
2001-10-04,,2703.17,2703.17,MODIS WLS (Proxy),G042766E43151N
2001-10-05,,2852.9,2852.9,MODIS WLS (Proxy),G042766E43151N
2001-10-08,,2921.59,2921.59,MODIS WLS (Proxy),G042766E43151N
2001-10-09,,2928.34,2928.34,MODIS WLS (Proxy),G042766E43151N
2001-10-10,,2928.34,2928.34,MODIS WLS (Proxy),G042766E43151N
2001-10-11,,2928.34,2928.34,MODIS WLS (Proxy),G042766E43151N
