date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-09,,3588.54,3588.54,MODIS WLS (Proxy),G044390E42722N
2000-05-13,,3589.81,3589.81,MODIS WLS (Proxy),G044390E42722N
2000-05-22,,3593.12,3593.12,MODIS WLS (Proxy),G044390E42722N
2000-06-07,,3595.0,3595.0,MODIS WLS (Proxy),G044390E42722N
2000-06-12,,3591.25,3591.25,MODIS WLS (Proxy),G044390E42722N
2000-06-15,,3591.72,3591.72,MODIS WLS (Proxy),G044390E42722N
2000-06-16,,3592.86,3592.86,MODIS WLS (Proxy),G044390E42722N
2000-06-22,,3595.79,3595.79,MODIS WLS (Proxy),G044390E42722N
2000-06-23,,3597.09,3597.09,MODIS WLS (Proxy),G044390E42722N
2000-06-26,,3597.62,3597.62,MODIS WLS (Proxy),G044390E42722N
2000-07-04,,3601.17,3601.17,MODIS WLS (Proxy),G044390E42722N
2000-07-05,,3601.17,3601.17,MODIS WLS (Proxy),G044390E42722N
2000-07-09,,3602.23,3602.23,MODIS WLS (Proxy),G044390E42722N
2000-07-10,,3602.38,3602.38,MODIS WLS (Proxy),G044390E42722N
2000-07-11,,3602.53,3602.53,MODIS WLS (Proxy),G044390E42722N
2000-07-13,,3602.96,3602.96,MODIS WLS (Proxy),G044390E42722N
2000-07-14,,3603.72,3603.72,MODIS WLS (Proxy),G044390E42722N
2000-07-16,,3603.92,3603.92,MODIS WLS (Proxy),G044390E42722N
2000-07-17,,3604.01,3604.01,MODIS WLS (Proxy),G044390E42722N
2000-07-18,,3605.13,3605.13,MODIS WLS (Proxy),G044390E42722N
2000-07-20,,3605.46,3605.46,MODIS WLS (Proxy),G044390E42722N
2000-07-21,,3605.7,3605.7,MODIS WLS (Proxy),G044390E42722N
2000-07-22,,3605.19,3605.19,MODIS WLS (Proxy),G044390E42722N
2000-07-25,,3605.61,3605.61,MODIS WLS (Proxy),G044390E42722N
2000-07-28,,3606.63,3606.63,MODIS WLS (Proxy),G044390E42722N
2000-07-29,,3607.18,3607.18,MODIS WLS (Proxy),G044390E42722N
2000-07-30,,3607.18,3607.18,MODIS WLS (Proxy),G044390E42722N
2000-07-31,,3607.18,3607.18,MODIS WLS (Proxy),G044390E42722N
2000-08-19,,3604.19,3604.19,MODIS WLS (Proxy),G044390E42722N
2000-08-20,,3604.19,3604.19,MODIS WLS (Proxy),G044390E42722N
2000-08-29,,3590.52,3590.52,MODIS WLS (Proxy),G044390E42722N
2000-09-04,,3599.38,3599.38,MODIS WLS (Proxy),G044390E42722N
2000-09-05,,3599.38,3599.38,MODIS WLS (Proxy),G044390E42722N
2000-09-09,,3605.1,3605.1,MODIS WLS (Proxy),G044390E42722N
2000-09-12,,3605.1,3605.1,MODIS WLS (Proxy),G044390E42722N
2000-09-16,,3598.53,3598.53,MODIS WLS (Proxy),G044390E42722N
2000-10-02,,3593.74,3593.74,MODIS WLS (Proxy),G044390E42722N
2000-10-14,,3594.55,3594.55,MODIS WLS (Proxy),G044390E42722N
2000-10-24,,3595.85,3595.85,MODIS WLS (Proxy),G044390E42722N
2000-10-25,,3595.85,3595.85,MODIS WLS (Proxy),G044390E42722N
2001-05-07,,3588.7,3588.7,MODIS WLS (Proxy),G044390E42722N
2001-05-22,,3588.57,3588.57,MODIS WLS (Proxy),G044390E42722N
2001-05-25,,3589.88,3589.88,MODIS WLS (Proxy),G044390E42722N
2001-05-26,,3590.05,3590.05,MODIS WLS (Proxy),G044390E42722N
2001-06-01,,3588.26,3588.26,MODIS WLS (Proxy),G044390E42722N
2001-06-10,,3594.16,3594.16,MODIS WLS (Proxy),G044390E42722N
2001-06-13,,3594.16,3594.16,MODIS WLS (Proxy),G044390E42722N
2001-07-04,,3598.6,3598.6,MODIS WLS (Proxy),G044390E42722N
