date,SLA_weighted_20day,predicted_SLA_smoothed_WLS,Final_Composite_SLA,Data_Source,glacier_glims_id
2000-05-01,,,3734.41,Assumed Full Snow Cover,G042432E43372N
2000-05-21,,3791.47,3791.47,MODIS WLS (Proxy),G042432E43372N
2000-05-24,,3791.47,3791.47,MODIS WLS (Proxy),G042432E43372N
2000-06-13,,3734.41,3734.41,MODIS WLS (Proxy),G042432E43372N
2000-06-15,,3734.41,3734.41,MODIS WLS (Proxy),G042432E43372N
2000-07-04,,3916.02,3916.02,MODIS WLS (Proxy),G042432E43372N
2000-07-15,,3994.35,3994.35,MODIS WLS (Proxy),G042432E43372N
2000-07-16,,3994.35,3994.35,MODIS WLS (Proxy),G042432E43372N
2000-07-17,,3994.35,3994.35,MODIS WLS (Proxy),G042432E43372N
2000-07-26,,4009.34,4009.34,MODIS WLS (Proxy),G042432E43372N
2000-07-29,,4018.41,4018.41,MODIS WLS (Proxy),G042432E43372N
2000-07-30,,4041.71,4041.71,MODIS WLS (Proxy),G042432E43372N
2000-07-31,,4041.71,4041.71,MODIS WLS (Proxy),G042432E43372N
2000-08-20,,3990.07,3990.07,MODIS WLS (Proxy),G042432E43372N
2000-08-23,,3990.07,3990.07,MODIS WLS (Proxy),G042432E43372N
2000-09-04,,3809.47,3809.47,MODIS WLS (Proxy),G042432E43372N
2000-09-12,,3971.18,3971.18,MODIS WLS (Proxy),G042432E43372N
2000-10-07,,3998.01,3998.01,MODIS WLS (Proxy),G042432E43372N
2000-10-30,,4104.93,4104.93,MODIS WLS (Proxy),G042432E43372N
2000-10-31,,,3734.41,Assumed Full Snow Cover,G042432E43372N
2001-05-01,,,3604.95,Assumed Full Snow Cover,G042432E43372N
2001-05-12,,3604.95,3604.95,MODIS WLS (Proxy),G042432E43372N
2001-05-20,,3672.7,3672.7,MODIS WLS (Proxy),G042432E43372N
2001-05-22,,3672.7,3672.7,MODIS WLS (Proxy),G042432E43372N
2001-06-07,,3700.16,3700.16,MODIS WLS (Proxy),G042432E43372N
2001-06-13,,3762.5,3762.5,MODIS WLS (Proxy),G042432E43372N
2001-06-14,,3762.5,3762.5,MODIS WLS (Proxy),G042432E43372N
2001-07-04,,3827.48,3827.48,MODIS WLS (Proxy),G042432E43372N
2001-07-22,,3955.31,3955.31,MODIS WLS (Proxy),G042432E43372N
2001-07-25,,3973.45,3973.45,MODIS WLS (Proxy),G042432E43372N
2001-07-27,,4015.39,4015.39,MODIS WLS (Proxy),G042432E43372N
2001-07-29,,4023.7,4023.7,MODIS WLS (Proxy),G042432E43372N
2001-07-30,,4023.7,4023.7,MODIS WLS (Proxy),G042432E43372N
2001-08-04,,3996.24,3996.24,MODIS WLS (Proxy),G042432E43372N
2001-08-05,,3996.24,3996.24,MODIS WLS (Proxy),G042432E43372N
2001-08-06,,3996.24,3996.24,MODIS WLS (Proxy),G042432E43372N
2001-08-12,,4045.99,4045.99,MODIS WLS (Proxy),G042432E43372N
2001-08-13,,4045.99,4045.99,MODIS WLS (Proxy),G042432E43372N
2001-08-14,,4042.84,4042.84,MODIS WLS (Proxy),G042432E43372N
2001-08-17,,4033.65,4033.65,MODIS WLS (Proxy),G042432E43372N
2001-08-18,,3991.58,3991.58,MODIS WLS (Proxy),G042432E43372N
2001-09-10,,3805.07,3805.07,MODIS WLS (Proxy),G042432E43372N
2001-09-15,,3923.83,3923.83,MODIS WLS (Proxy),G042432E43372N
2001-09-17,,3923.83,3923.83,MODIS WLS (Proxy),G042432E43372N
2001-09-25,,4014.0,4014.0,MODIS WLS (Proxy),G042432E43372N
2001-10-31,,,3604.95,Assumed Full Snow Cover,G042432E43372N
2002-05-01,,,3593.74,Assumed Full Snow Cover,G042432E43372N
2002-05-04,,3641.6,3641.6,MODIS WLS (Proxy),G042432E43372N
2002-05-09,,3628.88,3628.88,MODIS WLS (Proxy),G042432E43372N
2002-05-13,,3622.45,3622.45,MODIS WLS (Proxy),G042432E43372N
2002-05-14,,3622.45,3622.45,MODIS WLS (Proxy),G042432E43372N
2002-05-18,,3655.95,3655.95,MODIS WLS (Proxy),G042432E43372N
2002-05-20,,3655.95,3655.95,MODIS WLS (Proxy),G042432E43372N
2002-05-25,,3666.66,3666.66,MODIS WLS (Proxy),G042432E43372N
2002-05-27,,3666.66,3666.66,MODIS WLS (Proxy),G042432E43372N
2002-06-07,,3593.74,3593.74,MODIS WLS (Proxy),G042432E43372N
2002-06-16,,3710.99,3710.99,MODIS WLS (Proxy),G042432E43372N
2002-06-17,,3710.99,3710.99,MODIS WLS (Proxy),G042432E43372N
2002-06-22,,3667.67,3667.67,MODIS WLS (Proxy),G042432E43372N
2002-06-23,,3679.63,3679.63,MODIS WLS (Proxy),G042432E43372N
2002-06-24,,3679.63,3679.63,MODIS WLS (Proxy),G042432E43372N
2002-06-25,,3679.63,3679.63,MODIS WLS (Proxy),G042432E43372N
2002-06-26,,3688.19,3688.19,MODIS WLS (Proxy),G042432E43372N
2002-07-09,,3714.01,3714.01,MODIS WLS (Proxy),G042432E43372N
2002-07-19,,3870.43,3870.43,MODIS WLS (Proxy),G042432E43372N
2002-07-20,,3870.43,3870.43,MODIS WLS (Proxy),G042432E43372N
2002-08-13,,3977.23,3977.23,MODIS WLS (Proxy),G042432E43372N
