date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.8253,0.2103,0.8253,0.8253,0.8253,0.8253,3072.33,3072.33
2000-05-15,0.7777,0.0851,0.7777,0.7777,0.7528,0.7403,3146.04,3146.04
2000-05-21,0.7279,0.2553,0.7279,0.7279,0.7098,0.72,3223.15,3223.15
2000-05-26,0.6237,0.0719,0.6237,0.6237,0.6758,0.705,3384.51,3384.51
2000-06-10,0.7873,0.4294,0.7873,0.7873,0.6833,0.7248,3131.17,3131.17
2000-06-15,0.6983,0.5275,0.6337,0.6598,0.6959,0.7035,3268.99,3328.61
2000-06-16,0.5642,0.0802,0.6337,0.6598,0.6959,0.7035,3476.65,3328.61
2000-06-17,0.6386,0.595,0.6337,0.6598,0.6841,0.7012,3361.44,3328.61
2000-06-21,0.7913,0.1878,0.7082,0.7547,0.6605,0.6749,3124.98,3181.65
2000-06-23,0.6251,0.0531,0.6805,0.6996,0.6532,0.6624,3382.34,3266.98
2000-06-25,0.6237,0.0781,0.6446,0.66,0.6739,0.6825,3384.51,3328.3
2000-06-26,0.682,0.4163,0.6446,0.66,0.6739,0.6825,3294.23,3328.3
2000-06-28,0.6475,0.36,0.6511,0.6621,0.6351,0.6366,3347.66,3325.05
2000-07-03,0.5948,0.859,0.538,0.5837,0.603,0.6202,3429.26,3446.45
2000-07-04,0.4813,0.0927,0.538,0.5837,0.5793,0.5889,3605.02,3446.45
2000-07-09,0.6092,0.0792,0.569,0.5548,0.5305,0.5476,3406.96,3491.2
2000-07-10,0.5638,0.7102,0.543,0.5481,0.5285,0.5459,3477.27,3501.58
2000-07-12,0.5339,0.5103,0.528,0.5316,0.5159,0.5189,3523.57,3527.13
2000-07-13,0.4651,0.1047,0.5118,0.5275,0.5159,0.5189,3630.11,3533.48
2000-07-14,0.5277,0.4101,0.4924,0.4982,0.5159,0.5189,3533.17,3578.85
2000-07-15,0.4682,0.3406,0.4924,0.4982,0.515,0.5175,3625.31,3578.85
