date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.8446,0.2526,0.8446,0.8446,2562.91,2562.91
2000-05-12,0.7869,0.1735,0.7869,0.7869,2644.2,2644.2
2000-05-21,0.7235,0.4665,0.7195,0.7224,2733.53,2735.08
2000-05-22,0.7155,0.0737,0.7195,0.7224,2744.8,2735.08
2000-06-12,0.7714,0.3261,0.7035,0.7096,2666.04,2753.12
2000-06-13,0.6356,0.2722,0.668,0.694,2857.38,2775.1
2000-06-16,0.597,0.0963,0.6094,0.6058,2911.77,2899.37
2000-06-17,0.5957,0.7244,0.5963,0.5959,2913.6,2913.32
2000-07-09,0.5721,0.0585,0.5721,0.5721,2946.85,2946.85
2000-07-14,0.5306,0.2621,0.5107,0.5051,3005.32,3041.25
2000-07-17,0.4908,0.4654,0.5107,0.5051,3061.4,3041.25
2000-07-29,0.4105,0.0727,0.4428,0.4503,3174.54,3118.47
2000-07-30,0.4542,0.2705,0.4428,0.4503,3112.97,3118.47
2000-08-01,0.4637,0.1383,0.4428,0.4503,3099.59,3118.47
2000-09-05,0.313,0.4943,0.313,0.313,3311.92,3311.92
2000-09-09,0.3268,0.258,0.3323,0.3293,3292.47,3288.95
2000-09-11,0.3377,0.0774,0.3323,0.3293,3277.12,3288.95
2000-09-19,0.544,0.338,0.5442,0.5441,2986.44,2986.3
2000-09-20,0.5445,0.0685,0.5442,0.5441,2985.74,2986.3
2000-10-02,0.7005,0.3622,0.666,0.6513,2765.94,2835.26
2000-10-03,0.6306,0.2492,0.666,0.6513,2864.43,2835.26
2000-10-04,0.7226,0.1024,0.6509,0.6282,2734.8,2867.81
2000-10-05,0.6105,0.4892,0.6509,0.6282,2892.75,2867.81
2000-10-07,0.5904,0.7346,0.6412,0.608,2921.07,2896.27
2000-10-14,0.6691,0.4515,0.6531,0.6876,2810.18,2784.11
2000-10-15,0.5703,0.0963,0.6531,0.6876,2949.39,2784.11
2000-10-16,0.72,0.6047,0.6531,0.6876,2738.46,2784.11
2000-10-28,0.7042,0.2365,0.7042,0.7042,2760.73,2760.73
2001-05-07,0.8118,0.2728,0.8118,0.8118,2609.12,2609.12
2001-05-22,0.7733,0.1898,0.812,0.7988,2663.37,2627.44
2001-05-25,0.8508,0.0932,0.8085,0.8008,2554.17,2624.62
2001-05-26,0.8015,0.7549,0.8262,0.8069,2623.63,2616.02
2001-06-13,0.6338,0.6289,0.6338,0.6338,2859.92,2859.92
2001-07-16,0.4564,0.0826,0.4564,0.4564,3109.87,3109.87
2001-07-22,0.4751,0.5236,0.4627,0.4776,3083.52,3080.0
2001-07-23,0.4304,0.0553,0.4627,0.4776,3146.5,3080.0
2001-07-24,0.4919,0.5023,0.4626,0.4737,3059.85,3085.5
2001-07-25,0.4533,0.1348,0.4626,0.4737,3114.24,3085.5
2001-07-27,0.4621,0.4054,0.4632,0.4671,3101.84,3094.79
2001-07-29,0.4456,0.3988,0.4539,0.4539,3125.09,3113.39
2001-08-05,0.4187,0.3667,0.423,0.4243,3162.99,3155.1
2001-08-07,0.4273,0.6984,0.4104,0.4192,3150.87,3162.28
2001-08-10,0.3851,0.1597,0.3942,0.4056,3210.33,3181.45
2001-08-12,0.3743,0.3408,0.3816,0.3782,3225.55,3220.05
2001-08-13,0.3901,0.079,0.3816,0.3782,3203.29,3220.05
2001-08-14,0.3771,0.6177,0.3805,0.3772,3221.6,3221.46
2001-09-01,0.7497,0.7018,0.6888,0.7376,2696.62,2713.67
2001-09-02,0.628,0.0774,0.6888,0.7376,2868.09,2713.67
2001-09-06,0.611,0.5051,0.611,0.611,2892.04,2892.04
2001-09-10,0.5905,0.3157,0.548,0.5613,2920.93,2962.07
2001-09-12,0.5054,0.1646,0.5344,0.5329,3040.83,3002.08
2001-09-15,0.5072,0.5297,0.4476,0.4922,3038.29,3059.43
2001-09-18,0.3303,0.0627,0.4188,0.4885,3287.54,3064.64
2001-09-24,0.5329,0.6072,0.4644,0.5142,3002.08,3028.43
2001-09-25,0.3959,0.0958,0.4644,0.5142,3195.11,3028.43
2001-10-01,0.7776,0.7135,0.6392,0.7078,2657.31,2755.65
2001-10-02,0.5645,0.0989,0.6344,0.688,2957.56,2783.55
2001-10-03,0.6644,0.4596,0.6344,0.688,2816.8,2783.55
2001-10-04,0.5503,0.1,0.6344,0.688,2977.57,2783.55
2001-10-05,0.6153,0.3738,0.5986,0.626,2885.98,2870.91
2001-10-09,0.6921,0.08,0.6921,0.6921,2777.77,2777.77
2001-10-15,0.6826,0.4281,0.6826,0.6826,2791.16,2791.16
2001-10-23,0.8282,0.0955,0.7674,0.7245,2586.01,2732.12
2001-10-26,0.7065,0.5517,0.7127,0.7164,2757.49,2743.54
2001-10-27,0.5798,0.1,0.6742,0.7065,2936.0,2757.49
2001-10-28,0.7363,0.4234,0.6742,0.7065,2715.5,2757.49
2002-05-01,0.8278,0.413,0.8278,0.8278,2586.58,2586.58
2002-05-13,0.7877,0.7422,0.6891,0.7602,2643.08,2681.82
2002-05-14,0.6356,0.0979,0.6948,0.7462,2857.38,2701.55
2002-05-16,0.6441,0.0711,0.6948,0.7462,2845.41,2701.55
