date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-20,0.8469,0.1342,0.8289,0.82,0.7904,0.8062,3906.28,3887.27
2000-05-21,0.8109,0.397,0.7904,0.8062,0.7904,0.8062,3880.84,3877.52
2000-05-24,0.7133,0.079,0.7621,0.7947,0.7904,0.8062,3811.86,3869.39
2000-06-07,0.7788,0.0764,0.7788,0.7788,0.7798,0.7829,3858.15,3858.15
2000-06-11,0.7693,0.1059,0.7802,0.7834,0.7728,0.7784,3851.44,3861.4
2000-06-12,0.7984,0.259,0.7802,0.7834,0.7728,0.7784,3872.01,3861.4
2000-06-13,0.7728,0.2256,0.7714,0.7783,0.7728,0.7784,3853.91,3857.8
2000-06-16,0.7449,0.0901,0.7588,0.7648,0.7714,0.7783,3834.19,3848.26
2000-06-25,0.7446,0.0614,0.7477,0.7558,0.7261,0.7175,3833.98,3841.9
2000-06-26,0.773,0.4707,0.7477,0.7558,0.7261,0.7175,3854.05,3841.9
2000-06-28,0.7256,0.2449,0.7261,0.7175,0.6993,0.6966,3820.55,3814.83
2000-07-01,0.6612,0.5293,0.6696,0.6729,0.6993,0.6966,3775.04,3783.31
2000-07-03,0.6704,0.7816,0.6509,0.6637,0.6985,0.6965,3781.54,3776.81
2000-07-04,0.6212,0.0912,0.6509,0.6637,0.6791,0.6711,3746.77,3776.81
2000-07-09,0.7394,0.068,0.6844,0.6627,0.6404,0.6469,3830.31,3776.1
2000-07-10,0.6569,0.5375,0.6585,0.652,0.6357,0.6451,3772.0,3768.54
2000-07-12,0.6568,0.3482,0.6385,0.6367,0.6249,0.6173,3771.93,3757.72
2000-07-13,0.581,0.1445,0.6151,0.63,0.6249,0.6173,3718.36,3752.99
2000-07-14,0.6221,0.2589,0.6005,0.5994,0.6249,0.6173,3747.41,3731.36
2000-07-15,0.575,0.212,0.6005,0.5994,0.6249,0.6173,3714.12,3731.36
2000-07-16,0.5989,0.0953,0.5893,0.5842,0.6249,0.6173,3731.01,3720.62
2000-07-17,0.5694,0.5982,0.5914,0.5846,0.6086,0.6135,3710.16,3720.9
2000-07-25,0.5997,0.0779,0.5997,0.5997,0.5395,0.5235,3731.57,3731.57
2000-07-29,0.4792,0.1338,0.4792,0.4792,0.5229,0.5,3646.41,3646.41
2000-08-02,0.4898,0.4908,0.4841,0.488,0.4825,0.4864,3653.9,3652.63
2000-08-05,0.4784,0.09,0.4841,0.488,0.4825,0.4864,3645.84,3652.63
2000-08-22,0.6263,0.4761,0.5826,0.5984,0.5826,0.5984,3750.37,3730.65
2000-08-23,0.5389,0.2231,0.5826,0.5984,0.5826,0.5984,3688.6,3730.65
2000-09-02,0.8616,0.1122,0.7737,0.7445,0.7378,0.7351,3916.67,3833.91
2000-09-04,0.7312,0.0647,0.7378,0.7351,0.7715,0.7614,3824.51,3827.27
2000-09-05,0.7282,0.7532,0.7378,0.7351,0.7678,0.7607,3822.39,3827.27
2000-09-06,0.6302,0.0834,0.749,0.751,0.7678,0.7607,3753.13,3838.51
2000-09-09,0.9063,0.1839,0.762,0.8044,0.7678,0.7607,3948.27,3876.25
2000-09-11,0.7496,0.0768,0.828,0.8601,0.7491,0.7509,3837.52,3915.61
2000-09-18,0.8505,0.1095,0.8505,0.8505,0.8,0.8089,3908.83,3908.83
2000-10-03,0.9761,0.3215,0.9411,0.9499,0.9308,0.9254,3997.6,3979.08
2000-10-04,0.9502,0.0673,0.9308,0.9254,0.9308,0.9254,3979.29,3961.76
2000-10-05,0.9404,0.6112,0.9308,0.9254,0.9308,0.9254,3972.37,3961.76
2000-10-06,0.8976,0.0503,0.9308,0.9254,0.9308,0.9254,3942.12,3961.76
2000-10-07,0.8898,0.7252,0.9195,0.9141,0.9308,0.9254,3936.6,3953.78
