date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.777,0.1562,0.777,0.777,2469.79,2469.79
2000-05-10,0.7116,0.058,0.7116,0.7116,2585.79,2585.79
2000-05-15,0.7079,0.0674,0.6794,0.6558,2592.36,2684.76
2000-05-16,0.6509,0.7203,0.6794,0.6558,2693.45,2684.76
2000-05-20,0.6061,0.1488,0.5731,0.5666,2772.91,2842.97
2000-05-21,0.5444,0.2735,0.5731,0.5666,2882.35,2842.97
2000-05-22,0.5688,0.0827,0.5731,0.5666,2839.07,2842.97
2000-06-07,0.5891,0.0762,0.5891,0.5891,2803.07,2803.07
2000-06-12,0.6281,0.2794,0.5457,0.5369,2733.89,2895.65
2000-06-13,0.5163,0.1774,0.5323,0.5337,2932.19,2901.33
2000-06-15,0.4926,0.4921,0.5191,0.5091,2974.23,2944.96
2000-06-16,0.4921,0.0736,0.4919,0.4842,2975.11,2989.12
2000-06-17,0.4666,0.5908,0.4838,0.4793,3020.34,2997.82
2000-06-21,0.7553,0.1791,0.6374,0.6406,2508.28,2711.72
2000-06-22,0.5883,0.2828,0.6374,0.6406,2804.49,2711.72
2000-06-23,0.5686,0.0799,0.6374,0.6406,2839.43,2711.72
2000-07-03,0.4259,0.6027,0.4026,0.4214,3092.53,3100.51
2000-07-04,0.3793,0.0642,0.4026,0.4214,3175.18,3100.51
2000-07-09,0.4647,0.0856,0.429,0.4029,3023.71,3133.32
2000-07-10,0.3933,0.5525,0.4029,0.3979,3150.35,3142.19
2000-07-13,0.3506,0.0667,0.3679,0.3766,3226.09,3179.97
2000-07-14,0.3867,0.3518,0.3615,0.3651,3162.06,3200.37
2000-07-15,0.3334,0.2524,0.3615,0.3651,3256.59,3200.37
2000-07-16,0.3753,0.1371,0.3615,0.3651,3182.28,3200.37
2000-07-25,0.3582,0.0778,0.3359,0.3182,3212.61,3283.55
2000-07-28,0.3136,0.6697,0.315,0.313,3291.71,3292.78
2000-07-29,0.2731,0.0985,0.2934,0.3084,3363.55,3300.94
2000-08-23,0.2694,0.1144,0.2694,0.2694,3370.11,3370.11
2000-09-02,0.489,0.1176,0.4046,0.3581,2980.61,3212.78
2000-09-04,0.3919,0.0681,0.4046,0.3581,3152.83,3212.78
2000-09-05,0.333,0.7061,0.4046,0.3581,3257.3,3212.78
2000-09-09,0.379,0.2283,0.3341,0.3148,3175.71,3289.58
2000-09-11,0.3383,0.0738,0.3341,0.3148,3247.9,3289.58
2000-09-12,0.2851,0.5524,0.3341,0.3148,3342.26,3289.58
2000-09-18,0.4855,0.1216,0.4109,0.395,2986.82,3147.34
2000-09-19,0.3672,0.3509,0.4109,0.395,3196.64,3147.34
2000-09-20,0.3799,0.0812,0.4109,0.395,3174.12,3147.34
2000-10-02,0.5206,0.356,0.4634,0.4575,2924.56,3036.48
2000-10-03,0.4375,0.244,0.4574,0.4562,3071.96,3038.79
2000-10-04,0.4837,0.1109,0.4503,0.4423,2990.01,3063.44
2000-10-05,0.4118,0.4478,0.4503,0.4423,3117.54,3063.44
2000-10-06,0.4334,0.0696,0.4362,0.4236,3079.23,3096.61
2000-10-07,0.4147,0.6169,0.4359,0.4208,3112.39,3101.58
2000-10-14,0.5437,0.5663,0.4725,0.5262,2883.59,2914.63
2000-10-15,0.4013,0.0791,0.4725,0.5262,3136.16,2914.63
2001-05-01,0.6915,0.4768,0.6915,0.6915,2621.44,2621.44
2001-05-07,0.6591,0.2587,0.6591,0.6591,2678.91,2678.91
2001-05-12,0.7653,0.509,0.7653,0.7653,2490.55,2490.55
2001-05-25,0.7477,0.0861,0.699,0.6602,2521.76,2676.96
