date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.8152,0.2678,0.8152,0.8152,0.8027,0.8088,3259.73,3259.73
2000-05-10,0.7901,0.0915,0.7852,0.7828,0.7952,0.7969,3273.65,3277.69
2000-05-12,0.7802,0.2558,0.7852,0.7828,0.7852,0.7828,3279.13,3277.69
2000-05-20,0.8036,0.2591,0.7448,0.758,0.7448,0.758,3266.16,3291.44
2000-05-21,0.7357,0.2939,0.7448,0.758,0.7448,0.758,3303.8,3291.44
2000-05-22,0.6952,0.0833,0.7448,0.758,0.7448,0.758,3326.25,3291.44
2000-06-07,0.6845,0.0875,0.6845,0.6845,0.7178,0.7352,3332.18,3332.18
2000-06-12,0.7512,0.2777,0.7001,0.6865,0.6703,0.6769,3295.21,3331.07
2000-06-15,0.6489,0.4775,0.6656,0.6762,0.7028,0.7035,3351.91,3336.78
2000-06-16,0.5967,0.0983,0.6228,0.64,0.7028,0.7035,3380.84,3356.84
2000-06-21,0.8143,0.2106,0.8143,0.8143,0.6978,0.6975,3260.23,3260.23
2000-06-25,0.7198,0.0992,0.7145,0.7108,0.7067,0.6797,3312.61,3317.6
2000-06-26,0.7092,0.542,0.7145,0.7108,0.7067,0.6797,3318.49,3317.6
2000-07-01,0.5834,0.502,0.5834,0.5834,0.6407,0.6271,3388.21,3388.21
2000-07-05,0.5504,0.4146,0.5504,0.5504,0.589,0.5653,3406.5,3406.5
2000-07-09,0.686,0.1,0.5751,0.5337,0.5451,0.5312,3331.35,3415.76
2000-07-10,0.5362,0.5151,0.5524,0.5307,0.5393,0.5294,3414.38,3417.42
2000-07-12,0.503,0.5392,0.544,0.5261,0.5256,0.518,3432.78,3419.97
2000-07-13,0.4842,0.0729,0.5077,0.5145,0.5226,0.512,3443.2,3426.4
2000-07-14,0.5107,0.3639,0.4939,0.494,0.5087,0.5072,3428.51,3437.77
2000-07-16,0.5046,0.1415,0.491,0.4891,0.5038,0.4992,3431.89,3440.48
2000-07-17,0.467,0.4354,0.4738,0.4814,0.4835,0.4923,3452.73,3444.75
2000-07-18,0.4887,0.0792,0.4635,0.4643,0.477,0.4821,3440.7,3454.23
2000-07-20,0.3978,0.0983,0.4533,0.4591,0.4732,0.4753,3491.09,3457.11
2000-07-21,0.4596,0.4781,0.4487,0.4538,0.4714,0.4749,3456.83,3460.05
2000-07-29,0.353,0.1184,0.3755,0.3844,0.3755,0.3844,3515.92,3498.51
2000-07-30,0.398,0.2735,0.3755,0.3844,0.3755,0.3844,3490.98,3498.51
2000-08-19,0.3173,0.0758,0.2934,0.2738,0.2807,0.2705,3535.7,3559.82
2000-08-20,0.2694,0.7512,0.2807,0.2705,0.2807,0.2705,3562.25,3561.64
2000-08-23,0.2555,0.1835,0.2624,0.2667,0.2807,0.2705,3569.96,3563.75
2000-09-02,0.697,0.0805,0.5753,0.473,0.5018,0.4655,3325.25,3449.41
2000-09-05,0.4536,0.9289,0.5018,0.4655,0.472,0.4614,3460.16,3453.56
2000-09-06,0.3549,0.0683,0.4042,0.4468,0.4451,0.4214,3514.86,3463.93
2000-09-11,0.3823,0.0567,0.36,0.3419,0.3821,0.4075,3499.68,3522.07
2000-09-12,0.3377,0.5417,0.36,0.3419,0.3821,0.4075,3524.4,3522.07
2000-09-19,0.4847,0.341,0.4847,0.4847,0.4112,0.3945,3442.92,3442.92
2000-10-02,0.7461,0.2952,0.7244,0.7271,0.6836,0.7163,3298.03,3308.57
2000-10-03,0.7027,0.2288,0.6836,0.7163,0.6836,0.7163,3322.09,3314.55
2000-10-06,0.6021,0.05,0.6524,0.6847,0.6836,0.7163,3377.85,3332.07
2000-10-14,0.7947,0.503,0.7313,0.7383,0.7313,0.7383,3271.1,3302.36
2000-10-15,0.6991,0.0958,0.7313,0.7383,0.7313,0.7383,3324.08,3302.36
2000-10-16,0.7001,0.6435,0.7313,0.7383,0.7313,0.7383,3323.53,3302.36
2000-10-31,0.7304,0.0837,0.7304,0.7304,0.7304,0.7304,3306.74,3306.74
2001-05-01,0.8136,0.6422,0.8136,0.8136,0.7917,0.8006,3260.62,3260.62
2001-05-07,0.7698,0.2707,0.7698,0.7698,0.7917,0.8006,3284.9,3284.9
2001-05-25,0.8246,0.1,0.8052,0.79,0.8052,0.79,3254.52,3273.7
2001-05-26,0.7859,0.8454,0.8052,0.79,0.8052,0.79,3275.97,3273.7
2001-06-13,0.6509,0.7431,0.6509,0.6509,0.6509,0.6509,3350.8,3350.8
2001-07-06,0.536,0.6619,0.536,0.536,0.536,0.536,3414.49,3414.49
2001-07-13,0.5303,0.7222,0.5237,0.5342,0.5232,0.5338,3417.65,3415.48
2001-07-15,0.5446,0.5884,0.5237,0.5342,0.52,0.5328,3409.72,3415.48
2001-07-16,0.4961,0.0875,0.52,0.5328,0.5136,0.5201,3436.6,3416.26
2001-07-19,0.5091,0.0782,0.4977,0.4911,0.4934,0.5055,3429.4,3439.37
2001-07-22,0.4879,0.5836,0.4708,0.4732,0.4738,0.478,3441.15,3449.29
2001-07-24,0.4613,0.4609,0.4456,0.4525,0.4487,0.4371,3455.89,3460.77
2001-07-25,0.4247,0.1218,0.4481,0.4526,0.4487,0.4371,3476.18,3460.71
2001-07-27,0.4084,0.4847,0.4288,0.4177,0.4339,0.432,3485.21,3480.06
2001-07-28,0.4582,0.0517,0.4206,0.4029,0.4339,0.432,3457.61,3488.26
2001-07-29,0.3912,0.6992,0.4193,0.4008,0.4314,0.431,3494.74,3489.42
2001-08-02,0.4055,0.2499,0.3851,0.3713,0.3888,0.3755,3486.82,3505.77
2001-08-04,0.414,0.1608,0.3705,0.3561,0.3754,0.3632,3482.11,3514.2
2001-08-05,0.3358,0.4332,0.3705,0.3561,0.3601,0.3589,3525.45,3514.2
2001-08-06,0.3614,0.1,0.3618,0.347,0.351,0.344,3511.26,3519.24
2001-08-07,0.3359,0.6606,0.3497,0.3409,0.3478,0.3431,3525.4,3522.62
2001-08-10,0.3015,0.2113,0.3227,0.3267,0.3362,0.3277,3544.46,3530.49
2001-08-11,0.3358,0.2636,0.3194,0.3199,0.3362,0.3277,3525.45,3534.26
2001-08-12,0.3183,0.3284,0.3194,0.3199,0.3264,0.3227,3535.15,3534.26
2001-08-13,0.3222,0.1,0.3157,0.3114,0.3251,0.3204,3532.99,3538.97
2001-08-16,0.3006,0.7074,0.3114,0.3033,0.3157,0.3114,3544.96,3543.46
2001-08-29,0.399,0.065,0.5896,0.7503,0.6141,0.7417,3490.42,3295.71
2001-09-01,0.7801,0.7658,0.6141,0.7417,0.6334,0.6992,3279.19,3300.47
2001-09-02,0.6633,0.0906,0.7376,0.768,0.6334,0.6992,3343.93,3285.9
2001-09-05,0.7695,0.1549,0.6552,0.6507,0.6452,0.7022,3285.06,3350.91
2001-09-06,0.6302,0.5373,0.6526,0.6493,0.6618,0.6971,3362.27,3351.69
2001-09-07,0.558,0.0917,0.68,0.6891,0.6618,0.6971,3402.29,3329.63
2001-09-10,0.7623,0.4263,0.6129,0.6578,0.6513,0.6742,3289.06,3346.98
2001-09-11,0.599,0.1987,0.6312,0.669,0.6513,0.6742,3379.57,3340.77
2001-09-12,0.5323,0.1893,0.6504,0.6871,0.6513,0.6742,3416.54,3330.74
