date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.7725,0.2074,0.7725,0.7725,2323.92,2323.92
2000-05-20,0.6785,0.1825,0.6189,0.622,2524.49,2645.05
2000-05-21,0.5948,0.2559,0.6189,0.622,2703.09,2645.05
2000-05-22,0.5834,0.0868,0.6189,0.622,2727.41,2645.05
2000-06-12,0.556,0.231,0.5149,0.4977,2785.87,2910.27
2000-06-15,0.4738,0.5635,0.4902,0.4799,2961.27,2948.25
2000-06-16,0.4777,0.0824,0.4683,0.4649,2952.94,2980.26
2000-06-17,0.4533,0.5232,0.4683,0.4649,3005.01,2980.26
2000-06-21,0.7433,0.1643,0.7433,0.7433,2386.23,2386.23
2000-06-25,0.5722,0.0537,0.518,0.4976,2751.31,2910.48
2000-06-26,0.5071,0.4064,0.518,0.4976,2890.21,2910.48
2000-06-28,0.4746,0.3405,0.518,0.4976,2959.56,2910.48
2000-07-03,0.3923,0.6043,0.3968,0.3953,3135.16,3128.76
2000-07-05,0.4014,0.2939,0.3968,0.3953,3115.75,3128.76
2000-07-09,0.4779,0.0809,0.405,0.3772,2952.52,3167.38
2000-07-10,0.3814,0.5603,0.3924,0.3758,3158.42,3170.37
2000-07-12,0.3557,0.4872,0.3766,0.3664,3213.26,3190.43
2000-07-13,0.3548,0.0759,0.3584,0.3613,3215.18,3201.31
2000-07-14,0.3668,0.2114,0.3538,0.3516,3189.57,3222.01
2000-07-15,0.3233,0.2635,0.3538,0.3516,3282.39,3222.01
2000-07-16,0.3683,0.1234,0.3533,0.3487,3186.37,3228.19
2000-07-20,0.3057,0.0574,0.3011,0.3084,3319.94,3314.18
2000-07-21,0.32,0.3713,0.3011,0.3084,3289.43,3314.18
2000-07-22,0.2777,0.1359,0.3011,0.3084,3379.69,3314.18
2000-07-27,0.2785,0.0802,0.2834,0.2957,3377.98,3341.28
2000-07-28,0.2976,0.745,0.2834,0.2957,3337.23,3341.28
2000-07-29,0.25,0.0944,0.2834,0.2957,3438.79,3341.28
2000-07-30,0.3076,0.3556,0.2834,0.2957,3315.89,3341.28
2000-09-04,0.423,0.0758,0.3468,0.3478,3069.66,3230.12
2000-09-05,0.3452,0.6345,0.3468,0.3478,3235.66,3230.12
2000-09-06,0.2722,0.0537,0.3507,0.3505,3391.42,3224.35
2000-09-09,0.3625,0.1725,0.3064,0.2899,3198.75,3353.66
2000-09-11,0.329,0.0809,0.3178,0.2912,3270.23,3350.88
2000-09-12,0.262,0.5272,0.3178,0.2912,3413.19,3350.88
2000-09-18,0.4753,0.0873,0.4155,0.3775,2958.07,3166.74
2000-09-19,0.3557,0.392,0.4155,0.3775,3213.26,3166.74
2000-09-28,0.5265,0.4356,0.5265,0.5265,2848.82,2848.82
2000-10-02,0.4816,0.321,0.4111,0.4033,2944.62,3111.69
2000-10-03,0.4061,0.294,0.4111,0.4033,3105.72,3111.69
2000-10-04,0.4323,0.081,0.3936,0.3761,3049.82,3169.73
2000-10-05,0.3243,0.3583,0.3936,0.3761,3280.26,3169.73
2000-10-07,0.3236,0.5449,0.3601,0.3328,3281.75,3262.12
2000-10-14,0.4481,0.7069,0.4168,0.442,3016.1,3029.12
2000-10-15,0.3854,0.0758,0.4168,0.442,3149.89,3029.12
2000-10-28,0.3969,0.3866,0.3969,0.3969,3125.35,3125.35
2001-05-01,0.6606,0.5106,0.6606,0.6606,2562.69,2562.69
