date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.7704,0.271,0.7704,0.7704,2428.93,2428.93
2000-05-12,0.6666,0.1687,0.6666,0.6666,2647.87,2647.87
2000-05-21,0.6356,0.3231,0.624,0.6304,2713.25,2724.22
2000-05-22,0.6124,0.0936,0.624,0.6304,2762.19,2724.22
2000-06-07,0.5893,0.0522,0.5893,0.5893,2810.91,2810.91
2000-06-13,0.5469,0.1943,0.541,0.5458,2900.34,2902.66
2000-06-15,0.5491,0.4092,0.541,0.5458,2895.7,2902.66
2000-06-16,0.527,0.0828,0.541,0.5458,2942.31,2902.66
2000-07-09,0.4727,0.0856,0.4416,0.4198,3056.84,3168.42
2000-07-10,0.4104,0.4792,0.4085,0.4111,3188.25,3186.77
2000-07-13,0.3424,0.0718,0.3832,0.3974,3331.67,3215.67
2000-07-14,0.3922,0.2521,0.3698,0.3697,3226.63,3274.09
2000-07-16,0.3876,0.0973,0.3698,0.3697,3236.34,3274.09
2000-07-17,0.3571,0.4362,0.379,0.3721,3300.67,3269.03
2000-07-25,0.3519,0.0549,0.3519,0.3519,3311.64,3311.64
2000-07-29,0.2566,0.0791,0.2566,0.2566,3512.64,3512.64
2000-08-20,0.256,0.5082,0.256,0.256,3513.91,3513.91
2000-09-02,0.4877,0.1071,0.3918,0.3218,3025.2,3375.12
2000-09-05,0.2959,0.6852,0.3918,0.3218,3429.75,3375.12
2000-09-11,0.2952,0.0751,0.2952,0.2952,3431.23,3431.23
2000-10-03,0.4721,0.2389,0.4721,0.4721,3058.11,3058.11
2000-10-14,0.6239,0.4815,0.5154,0.5549,2737.93,2883.47
2000-10-15,0.4126,0.0877,0.5154,0.5549,3183.61,2883.47
2000-10-16,0.5098,0.4593,0.5154,0.5549,2978.59,2883.47
2001-05-07,0.7006,0.2568,0.7006,0.7006,2576.15,2576.15
2001-05-22,0.6798,0.1515,0.7358,0.7216,2620.03,2531.86
2001-05-25,0.7918,0.0903,0.721,0.6986,2383.79,2580.37
2001-05-26,0.6915,0.7791,0.7416,0.7019,2595.35,2573.41
2001-06-13,0.5563,0.5955,0.5179,0.5466,2880.51,2900.97
2001-06-14,0.4795,0.0862,0.5179,0.5466,3042.5,2900.97
2001-07-06,0.4584,0.585,0.4584,0.4584,3087.0,3087.0
2001-07-15,0.4585,0.5248,0.4144,0.4453,3086.79,3114.64
2001-07-16,0.3703,0.0923,0.4144,0.4453,3272.83,3114.64
2001-07-22,0.3784,0.7411,0.3646,0.3744,3255.74,3264.18
2001-07-24,0.3838,0.3741,0.3623,0.368,3244.35,3277.68
2001-07-25,0.3316,0.1522,0.3623,0.368,3354.45,3277.68
2001-07-26,0.3782,0.1648,0.3582,0.3606,3256.16,3293.29
2001-07-27,0.3393,0.3381,0.3582,0.3606,3338.21,3293.29
2001-08-02,0.3347,0.2259,0.3236,0.3186,3347.91,3381.87
2001-08-05,0.3124,0.5852,0.324,0.3116,3394.95,3396.64
2001-08-06,0.3526,0.0945,0.3204,0.3076,3310.16,3405.07
2001-08-07,0.2961,0.6144,0.3032,0.302,3429.33,3416.89
2001-08-10,0.2517,0.1447,0.2928,0.2916,3522.98,3438.82
2001-08-11,0.3157,0.1871,0.2865,0.278,3387.99,3467.51
2001-08-12,0.2769,0.3213,0.2865,0.278,3469.83,3467.51
2001-08-13,0.3238,0.1,0.2865,0.278,3370.9,3467.51
2001-08-14,0.2644,0.5465,0.2952,0.2813,3496.19,3460.55
2001-08-28,0.2513,0.3402,0.277,0.258,3523.82,3509.69
2001-08-29,0.3028,0.0506,0.3822,0.4608,3415.2,3081.94
2001-09-01,0.5925,0.6017,0.4279,0.5547,2804.16,2883.89
2001-09-02,0.3883,0.0601,0.5169,0.5735,3234.86,2844.23
2001-09-05,0.5699,0.094,0.4584,0.4458,2851.83,3113.58
2001-09-06,0.4306,0.5385,0.4818,0.4508,3145.64,3103.03
2001-09-07,0.4449,0.0555,0.4956,0.4886,3115.48,3023.31
2001-09-10,0.537,0.5385,0.4352,0.4729,2921.22,3056.42
2001-09-11,0.3626,0.1365,0.432,0.4747,3289.07,3052.62
2001-09-12,0.3964,0.2335,0.4241,0.4433,3217.78,3118.85
2001-09-15,0.4003,0.6629,0.3984,0.3993,3209.55,3211.66
2001-09-24,0.4467,0.7041,0.3488,0.4331,3111.68,3140.37
2001-09-25,0.251,0.0524,0.3488,0.4331,3524.46,3140.37
2001-10-01,0.6183,0.7311,0.4829,0.5551,2749.74,2883.04
2001-10-02,0.4023,0.0951,0.4789,0.5396,3205.33,2915.74
2001-10-03,0.5282,0.598,0.4789,0.5396,2939.78,2915.74
2001-10-04,0.3829,0.0909,0.4789,0.5396,3246.25,2915.74
2001-10-05,0.4626,0.3053,0.4508,0.484,3078.15,3033.01
2001-10-08,0.478,0.499,0.4445,0.4345,3045.66,3137.41
2001-10-10,0.393,0.7283,0.4355,0.4276,3224.95,3151.97
2002-05-01,0.7736,0.358,0.7736,0.7736,2422.18,2422.18
2002-05-13,0.7271,0.646,0.6324,0.6961,2520.26,2585.64
2002-05-14,0.5752,0.0874,0.6401,0.6889,2840.65,2600.83
2002-05-16,0.5948,0.0931,0.6401,0.6889,2799.31,2600.83
2002-05-17,0.6634,0.2336,0.6276,0.6513,2654.62,2680.14
2002-05-20,0.6772,0.3518,0.6703,0.6717,2625.51,2637.11
2002-05-26,0.6903,0.1713,0.6456,0.6312,2597.88,2722.53
2002-05-27,0.6009,0.3344,0.6456,0.6312,2786.44,2722.53
2002-06-04,0.6747,0.1499,0.6747,0.6747,2630.78,2630.78
2002-06-10,0.5845,0.1628,0.5943,0.5951,2821.03,2798.68
2002-06-11,0.6041,0.1915,0.5943,0.5951,2779.69,2798.68
2002-06-15,0.5354,0.0576,0.5692,0.5944,2924.6,2800.15
2002-06-16,0.603,0.393,0.5692,0.5944,2782.01,2800.15
2002-06-22,0.6734,0.0899,0.5816,0.5915,2633.52,2806.27
2002-06-23,0.6074,0.7545,0.5619,0.5762,2772.73,2838.54
2002-06-24,0.4857,0.0859,0.5619,0.5762,3029.42,2838.54
2002-06-25,0.5598,0.3238,0.5619,0.5762,2873.13,2838.54
2002-06-26,0.4832,0.206,0.534,0.5698,3034.7,2852.04
2002-07-19,0.3694,0.0991,0.4071,0.4103,3274.72,3188.46
2002-07-20,0.4429,0.2737,0.4071,0.4103,3119.7,3188.46
2002-07-21,0.3874,0.2909,0.4071,0.4103,3236.76,3188.46
2002-07-22,0.4287,0.0962,0.4071,0.4103,3149.65,3188.46
2002-07-27,0.4684,0.3624,0.4684,0.4684,3065.91,3065.91
2002-08-12,0.3807,0.3647,0.3654,0.3688,3250.89,3275.99
2002-08-13,0.3256,0.192,0.3654,0.3688,3367.11,3275.99
2002-08-14,0.3899,0.1888,0.3654,0.3688,3231.49,3275.99
2002-08-31,0.3825,0.3622,0.3825,0.3825,3247.09,3247.09
2002-09-06,0.408,0.3217,0.408,0.408,3193.31,3193.31
2002-09-14,0.4524,0.1694,0.4524,0.4524,3099.66,3099.66
2002-09-20,0.6762,0.5848,0.5611,0.603,2627.62,2782.01
2002-09-23,0.4459,0.2727,0.5611,0.603,3113.37,2782.01
2002-10-05,0.4452,0.0549,0.4846,0.5537,3114.85,2886.0
2002-10-06,0.583,0.6477,0.4846,0.5537,2824.2,2886.0
2002-10-07,0.4255,0.1015,0.4846,0.5537,3156.4,2886.0
2002-10-17,0.5846,0.2,0.5354,0.5137,2820.82,2970.37
2002-10-18,0.4737,0.4059,0.5354,0.5137,3054.73,2970.37
2002-10-19,0.548,0.0592,0.5701,0.5978,2898.02,2792.98
2002-10-22,0.6742,0.7329,0.6119,0.6521,2631.84,2678.45
2002-10-24,0.6134,0.26,0.6331,0.6449,2760.08,2693.64
2002-10-27,0.6118,0.4029,0.6594,0.6293,2763.45,2726.54
2002-10-28,0.7529,0.0902,0.6824,0.6376,2465.84,2709.03
2003-05-01,0.566,0.1,0.6209,0.6541,2860.05,2674.23
2003-05-02,0.6758,0.4061,0.6209,0.6541,2628.46,2674.23
2003-05-11,0.6149,0.3581,0.5827,0.5854,2756.91,2819.13
2003-05-14,0.5505,0.3025,0.5886,0.5872,2892.75,2815.34
2003-05-15,0.6004,0.088,0.5754,0.5617,2787.5,2869.12
2003-05-21,0.5338,0.2973,0.5425,0.5372,2927.97,2920.8
2003-05-24,0.5512,0.0715,0.5343,0.525,2891.27,2946.53
2003-05-25,0.518,0.6477,0.5346,0.5213,2961.3,2954.34
2003-06-11,0.4443,0.0804,0.5233,0.5477,3116.74,2898.65
2003-06-12,0.5593,0.3689,0.5233,0.5477,2874.19,2898.65
2003-06-14,0.5662,0.2195,0.5233,0.5477,2859.63,2898.65
2003-06-18,0.4521,0.0586,0.4852,0.5428,3100.29,2908.99
2003-06-19,0.5624,0.5957,0.4852,0.5428,2867.65,2908.99
2003-06-20,0.441,0.0624,0.4852,0.5428,3123.71,2908.99
2003-06-25,0.6227,0.0868,0.6227,0.6227,2740.46,2740.46
2003-07-03,0.4623,0.5953,0.4119,0.4402,3078.78,3125.39
2003-07-04,0.3432,0.0948,0.4119,0.4402,3329.99,3125.39
2003-07-05,0.4301,0.3944,0.4119,0.4402,3146.7,3125.39
2003-07-11,0.4931,0.1,0.4616,0.4438,3013.82,3117.8
2003-07-14,0.4302,0.3619,0.4616,0.4438,3146.48,3117.8
2003-07-21,0.3746,0.4785,0.3746,0.3746,3263.76,3263.76
2003-08-07,0.325,0.0639,0.325,0.325,3368.37,3368.37
2003-08-16,0.3142,0.1797,0.3226,0.316,3391.15,3387.36
2003-08-17,0.3641,0.1559,0.3226,0.316,3285.9,3387.36
2003-08-18,0.2895,0.2712,0.3226,0.316,3443.25,3387.36
2003-08-25,0.3159,0.3005,0.3281,0.3137,3387.57,3392.21
2003-08-26,0.3646,0.1028,0.3281,0.3137,3284.85,3392.21
2003-08-27,0.3037,0.5861,0.3281,0.3137,3413.3,3392.21
2003-09-01,0.2522,0.1709,0.2821,0.284,3521.92,3454.85
2003-09-02,0.312,0.1941,0.2821,0.284,3395.79,3454.85
2003-09-07,0.5482,0.4151,0.5332,0.5351,2897.6,2925.23
2003-09-09,0.5183,0.3251,0.4974,0.5244,2960.66,2947.8
2003-09-11,0.4257,0.0801,0.472,0.5,3155.98,2999.26
2003-09-23,0.5131,0.557,0.4591,0.4889,2971.63,3022.67
2003-09-24,0.3813,0.1072,0.4749,0.4917,3249.63,3016.77
2003-09-25,0.4829,0.3294,0.4749,0.4917,3035.33,3016.77
2003-09-27,0.5224,0.0907,0.4622,0.469,2952.02,3064.65
2003-10-02,0.4069,0.3491,0.418,0.4182,3195.63,3171.8
2003-10-05,0.4292,0.3571,0.4044,0.3971,3148.59,3216.3
2003-10-07,0.3771,0.7426,0.4032,0.394,3258.48,3222.84
2003-10-31,0.7501,0.0883,0.7501,0.7501,2471.75,2471.75
2004-05-02,0.7262,0.5876,0.7262,0.7262,2522.16,2522.16
2004-05-20,0.7837,0.4361,0.6939,0.7054,2400.88,2566.03
2004-05-22,0.6955,0.3701,0.6939,0.7054,2586.91,2566.03
2004-05-23,0.6026,0.2961,0.6939,0.7054,2782.86,2566.03
2004-06-05,0.6818,0.6859,0.6058,0.6678,2615.81,2645.34
2004-06-06,0.5299,0.0699,0.6058,0.6678,2936.2,2645.34
2004-06-13,0.5515,0.0822,0.5678,0.5908,2890.64,2807.75
2004-06-14,0.6162,0.4745,0.5678,0.5908,2754.17,2807.75
2004-06-15,0.5357,0.1606,0.5734,0.5907,2923.96,2807.96
2004-06-18,0.5902,0.073,0.5629,0.5527,2809.01,2888.11
2004-06-30,0.6285,0.4317,0.6489,0.6369,2728.23,2710.51
2004-07-02,0.7214,0.223,0.6105,0.595,2532.28,2798.89
2004-07-03,0.5969,0.3807,0.6105,0.595,2794.88,2798.89
2004-07-04,0.5855,0.0972,0.5834,0.5606,2818.92,2871.44
2004-07-05,0.5203,0.5681,0.5834,0.5606,2956.44,2871.44
2004-07-07,0.4928,0.4306,0.5329,0.5153,3014.45,2966.99
2004-07-14,0.4394,0.5703,0.4394,0.4394,3127.08,3127.08
2004-07-28,0.4341,0.4126,0.4167,0.4241,3138.26,3159.35
2004-07-29,0.4675,0.0843,0.4155,0.4207,3067.81,3166.52
2004-07-30,0.4238,0.7296,0.4052,0.4142,3159.98,3180.23
2004-07-31,0.3413,0.0917,0.4052,0.4142,3333.99,3180.23
2004-08-01,0.4108,0.4502,0.3995,0.4089,3187.4,3191.41
2004-08-02,0.354,0.1911,0.3825,0.4055,3307.21,3198.58
2004-08-14,0.4692,0.0555,0.4106,0.3934,3064.23,3224.1
2004-08-15,0.3989,0.8657,0.3868,0.3825,3212.5,3247.09
2004-08-17,0.3636,0.2998,0.3868,0.3825,3286.96,3247.09
2004-08-18,0.3157,0.1998,0.3594,0.379,3387.99,3254.48
