date,meanNIR,MODIS_weight_final,meanNIR_smooth_weighted,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.8489,0.3139,0.8489,3197.43,3197.43
2000-05-09,0.8604,0.5384,0.8604,3183.16,3183.16
2000-05-21,0.7478,0.4194,0.7478,3322.94,3322.94
2000-06-07,0.6925,0.1947,0.6925,3391.59,3391.59
2000-06-12,0.7241,0.2792,0.6702,3352.36,3419.27
2000-06-13,0.6375,0.4598,0.6608,3459.86,3430.94
2000-06-16,0.6132,0.1471,0.6157,3490.03,3486.92
2000-06-17,0.5965,0.5024,0.6003,3510.76,3506.04
2000-06-22,0.739,0.3375,0.6973,3333.86,3385.63
2000-06-25,0.5955,0.1381,0.6627,3512.0,3428.58
2000-06-28,0.6153,0.3479,0.6097,3487.42,3494.37
2000-07-03,0.5253,0.5679,0.5253,3599.15,3599.15
2000-07-09,0.5837,0.1992,0.4935,3526.65,3638.62
2000-07-11,0.4199,0.1653,0.4835,3729.99,3651.04
2000-07-12,0.4803,0.442,0.472,3655.01,3665.31
2000-07-14,0.4664,0.4683,0.4424,3672.26,3702.06
2000-07-15,0.4268,0.3235,0.4443,3721.42,3699.7
2000-07-16,0.4397,0.2129,0.4341,3705.41,3712.36
2000-07-17,0.4092,0.5603,0.4341,3743.27,3712.36
2000-07-22,0.3415,0.2575,0.3653,3827.31,3797.77
2000-07-25,0.3989,0.1822,0.3434,3756.06,3824.95
2000-07-26,0.3383,0.7265,0.3349,3831.29,3835.51
2000-07-28,0.3308,0.4693,0.3279,3840.6,3844.2
2000-07-29,0.2957,0.3096,0.3224,3884.17,3851.02
2000-07-30,0.3224,0.3823,0.3158,3851.02,3859.22
2000-07-31,0.3016,0.373,0.3158,3876.84,3859.22
2000-08-01,0.3251,0.2178,0.3104,3847.67,3865.92
2000-08-05,0.3344,0.2357,0.3344,3836.13,3836.13
2000-08-20,0.339,0.6407,0.3371,3830.42,3832.77
2000-08-23,0.3336,0.3402,0.3371,3837.12,3832.77
2000-09-04,0.5654,0.1595,0.4655,3549.37,3673.38
2000-09-05,0.478,0.5578,0.4655,3657.86,3673.38
2000-09-06,0.3951,0.1903,0.515,3760.77,3611.93
2000-09-07,0.4356,0.3188,0.515,3710.5,3611.93
2000-09-09,0.6626,0.4118,0.4963,3428.7,3635.15
2000-09-11,0.5347,0.2118,0.5229,3587.48,3602.13
2000-09-12,0.4506,0.8303,0.5229,3691.88,3602.13
2000-09-18,0.5468,0.2166,0.5148,3572.46,3612.18
2000-09-19,0.5024,0.5609,0.5148,3627.57,3612.18
2000-09-28,0.7934,0.7394,0.7934,3266.33,3266.33
2000-10-02,0.7786,0.5074,0.7446,3284.7,3326.91
2000-10-03,0.7336,0.4115,0.7451,3340.57,3326.29
2000-10-04,0.7675,0.3098,0.7329,3298.48,3341.43
2000-10-05,0.7126,0.6179,0.7329,3366.63,3341.43
2000-10-06,0.7526,0.125,0.7216,3316.98,3355.46
2000-10-07,0.6919,0.5899,0.7186,3392.33,3359.19
2000-10-14,0.7689,0.6694,0.7436,3296.74,3328.15
2000-10-15,0.7106,0.1552,0.7436,3369.12,3328.15
2000-10-17,0.6821,0.1914,0.7306,3404.5,3344.29
2000-10-19,0.6992,0.4211,0.6939,3383.27,3389.85
2000-10-25,0.7023,0.4388,0.7135,3379.42,3365.52
2000-10-26,0.7261,0.3874,0.7135,3349.88,3365.52
2001-05-06,0.7991,0.3765,0.8081,3259.26,3248.08
2001-05-07,0.8186,0.3233,0.8081,3235.05,3248.08
2001-05-12,0.8536,0.6851,0.8536,3191.6,3191.6
2001-05-22,0.7954,0.4342,0.8158,3263.85,3238.52
2001-05-25,0.8546,0.2284,0.8158,3190.36,3238.52
2001-05-29,0.8131,0.242,0.8157,3241.88,3238.65
2001-06-01,0.8192,0.1844,0.7795,3234.3,3283.59
2001-06-04,0.7591,0.7577,0.7709,3308.91,3294.26
2001-06-13,0.6759,0.5643,0.6574,3412.19,3435.16
2001-06-14,0.6181,0.2665,0.6574,3483.95,3435.16
2001-07-04,0.5587,0.7999,0.5687,3557.68,3545.27
2001-07-06,0.5788,0.7864,0.5687,3532.73,3545.27
2001-07-11,0.6488,0.4234,0.6488,3445.84,3445.84
2001-07-15,0.5051,0.4236,0.4987,3624.22,3632.17
2001-07-16,0.4723,0.3482,0.4987,3664.94,3632.17
2001-07-17,0.5131,0.4492,0.4987,3614.29,3632.17
2001-07-22,0.4363,0.913,0.4213,3709.63,3728.25
2001-07-25,0.3757,0.3011,0.4131,3784.86,3738.43
2001-07-26,0.4688,0.2247,0.3978,3669.28,3757.42
2001-07-27,0.3772,0.6511,0.3879,3783.0,3769.71
2001-07-28,0.4171,0.2118,0.4051,3733.46,3748.36
2001-07-30,0.2911,0.1417,0.4012,3889.88,3753.2
2001-07-31,0.4697,0.4065,0.4217,3668.17,3727.75
2001-08-04,0.4029,0.3226,0.3637,3751.09,3799.75
2001-08-05,0.3452,0.7222,0.3637,3822.72,3799.75
2001-08-06,0.3673,0.1846,0.3637,3795.28,3799.75
2001-08-12,0.2993,0.6212,0.2858,3879.7,3896.46
2001-08-13,0.3309,0.251,0.3009,3840.47,3877.71
2001-08-14,0.2625,0.8479,0.3023,3925.38,3875.97
2001-08-16,0.3685,0.3864,0.3149,3793.8,3860.33
