date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.8947,0.118,0.8947,0.8947,0.8947,0.8947,3136.17,3136.17
2000-05-18,0.8377,0.4363,0.8183,0.8169,0.779,0.8051,3213.6,3241.86
2000-05-20,0.841,0.1808,0.8183,0.8169,0.779,0.8051,3209.12,3241.86
2000-05-21,0.7762,0.3295,0.779,0.8051,0.779,0.8051,3297.15,3257.89
2000-05-24,0.6613,0.0781,0.7188,0.7542,0.7898,0.8148,3453.23,3327.03
2000-05-30,0.8329,0.5554,0.8329,0.8329,0.7471,0.8117,3220.12,3220.12
2000-06-07,0.7617,0.0972,0.7617,0.7617,0.7444,0.7433,3316.84,3316.84
2000-06-11,0.7093,0.1538,0.7386,0.7402,0.7224,0.7142,3388.03,3346.05
2000-06-12,0.7801,0.1953,0.7256,0.7141,0.7224,0.7142,3291.85,3381.51
2000-06-13,0.7265,0.2215,0.7145,0.7104,0.7224,0.7142,3364.66,3386.53
2000-06-15,0.6865,0.5417,0.7158,0.7106,0.7145,0.7104,3419.0,3386.26
2000-06-16,0.6702,0.1,0.6944,0.6949,0.7323,0.7325,3441.14,3407.59
2000-06-22,0.8211,0.3014,0.7441,0.7909,0.7127,0.7245,3236.15,3277.18
2000-06-25,0.6671,0.0736,0.7299,0.748,0.7299,0.748,3445.35,3335.45
2000-06-26,0.7511,0.4693,0.6995,0.7205,0.7299,0.748,3331.24,3372.81
2000-06-28,0.6803,0.2587,0.6995,0.7205,0.6823,0.6935,3427.42,3372.81
2000-07-03,0.623,0.6804,0.5872,0.615,0.6593,0.6701,3505.26,3516.13
2000-07-04,0.5514,0.0854,0.5872,0.615,0.6363,0.6356,3602.53,3516.13
2000-07-09,0.6905,0.0771,0.593,0.5683,0.5753,0.5809,3413.57,3579.57
2000-07-11,0.5327,0.0627,0.5706,0.5591,0.5632,0.5569,3627.93,3592.07
2000-07-12,0.5559,0.5783,0.5706,0.5591,0.5652,0.5572,3596.41,3592.07
2000-07-13,0.5135,0.1535,0.5401,0.549,0.5652,0.5572,3654.01,3605.79
2000-07-14,0.5602,0.3295,0.5401,0.549,0.5652,0.5572,3590.57,3605.79
2000-07-16,0.5382,0.1177,0.5373,0.544,0.5357,0.5304,3620.46,3612.58
2000-07-21,0.4807,0.3812,0.4474,0.4626,0.4846,0.5007,3698.57,3723.16
2000-07-22,0.4141,0.142,0.4782,0.4734,0.4662,0.4669,3789.05,3708.49
2000-07-25,0.5397,0.0854,0.4446,0.4471,0.4518,0.4591,3618.42,3744.22
2000-07-27,0.3749,0.059,0.4548,0.4557,0.4518,0.4591,3842.3,3732.53
2000-07-28,0.4497,0.4052,0.4548,0.4557,0.4518,0.4591,3740.68,3732.53
2000-08-05,0.3648,0.0742,0.3648,0.3648,0.3648,0.3648,3856.02,3856.02
2000-08-20,0.3483,0.5303,0.4322,0.4197,0.4322,0.4197,3878.43,3781.44
2000-08-22,0.5221,0.3584,0.4322,0.4197,0.4322,0.4197,3642.33,3781.44
2000-08-23,0.4261,0.1891,0.4322,0.4197,0.4322,0.4197,3772.74,3781.44
2000-09-02,0.753,0.1226,0.6214,0.553,0.5711,0.5449,3328.66,3600.35
2000-09-04,0.591,0.0745,0.5711,0.5449,0.6128,0.5715,3548.73,3611.36
2000-09-05,0.5201,0.8298,0.5711,0.5449,0.6128,0.5715,3645.05,3611.36
2000-09-06,0.4202,0.0672,0.5777,0.5515,0.6128,0.5715,3780.76,3602.39
2000-09-09,0.7796,0.1399,0.5999,0.663,0.6128,0.5715,3292.53,3450.92
2000-09-18,0.6704,0.091,0.6192,0.5842,0.6192,0.5842,3440.87,3557.97
2000-09-19,0.568,0.4834,0.6192,0.5842,0.6192,0.5842,3579.98,3557.97
2000-10-02,0.8939,0.2736,0.8484,0.8296,0.8346,0.8154,3137.25,3224.6
2000-10-03,0.813,0.4027,0.8458,0.8299,0.8346,0.8154,3247.15,3224.2
2000-10-04,0.8814,0.0719,0.8346,0.8154,0.8346,0.8154,3154.24,3243.89
2000-10-05,0.8054,0.6026,0.8346,0.8154,0.8346,0.8154,3257.48,3243.89
2000-10-06,0.8353,0.0654,0.8227,0.8027,0.8346,0.8154,3216.86,3261.15
2000-10-07,0.7784,0.5565,0.8251,0.7995,0.8346,0.8154,3294.16,3265.49
2000-10-14,0.9285,0.5623,0.8646,0.9115,0.8358,0.85,3090.25,3113.35
2000-10-15,0.8006,0.0863,0.8646,0.9115,0.8645,0.9115,3264.0,3113.35
2000-10-24,0.8115,0.0836,0.8541,0.8654,0.8648,0.8794,3249.19,3175.97
2000-10-26,0.8967,0.1439,0.8648,0.8794,0.8606,0.8757,3133.45,3156.95
2000-10-28,0.8862,0.4637,0.877,0.8834,0.8606,0.8757,3147.71,3151.52
2000-10-31,0.8482,0.0917,0.8672,0.8799,0.8606,0.8757,3199.34,3156.27
2001-05-01,0.88,0.6528,0.88,0.88,0.8592,0.8693,3156.14,3156.14
2001-05-07,0.8385,0.2257,0.8385,0.8385,0.8646,0.8716,3212.51,3212.51
2001-05-12,0.8754,0.515,0.8754,0.8754,0.8635,0.8656,3162.39,3162.39
2001-05-18,0.8767,0.1,0.8767,0.8767,0.8626,0.8636,3160.62,3160.62
2001-05-22,0.8358,0.2647,0.877,0.8576,0.8769,0.8618,3216.18,3186.57
2001-05-25,0.9181,0.0956,0.877,0.8576,0.8623,0.8511,3104.38,3186.57
2001-05-29,0.8185,0.1516,0.855,0.8466,0.8504,0.817,3239.68,3201.51
2001-06-01,0.8916,0.0945,0.8327,0.8024,0.854,0.8124,3140.38,3261.55
2001-06-04,0.788,0.7574,0.8398,0.7995,0.8327,0.8024,3281.12,3265.49
2001-06-13,0.7095,0.5799,0.6758,0.696,0.6758,0.696,3387.76,3406.09
2001-06-14,0.642,0.145,0.6758,0.696,0.6758,0.696,3479.45,3406.09
2001-07-04,0.6179,0.7337,0.6364,0.6193,0.6364,0.6193,3512.19,3510.29
2001-07-05,0.6753,0.0636,0.6364,0.6193,0.6644,0.6487,3434.21,3510.29
2001-07-06,0.616,0.7764,0.6364,0.6193,0.6644,0.6487,3514.77,3510.29
2001-07-11,0.7483,0.4657,0.7146,0.7142,0.6417,0.6424,3335.05,3381.37
2001-07-13,0.6809,0.4773,0.6592,0.6736,0.6324,0.643,3426.61,3436.52
2001-07-15,0.6398,0.6583,0.6145,0.6289,0.6356,0.6513,3482.44,3497.25
2001-07-16,0.568,0.1525,0.6159,0.6287,0.6259,0.6285,3579.98,3497.52
2001-07-17,0.5876,0.3356,0.6029,0.612,0.6164,0.6258,3553.35,3520.21
2001-07-18,0.596,0.2669,0.6093,0.6134,0.6164,0.6258,3541.94,3518.3
2001-07-19,0.6229,0.0784,0.5941,0.5742,0.5904,0.5993,3505.4,3571.56
2001-07-21,0.6415,0.0772,0.5879,0.5681,0.5694,0.5695,3480.13,3579.84
2001-07-22,0.5485,0.7165,0.5664,0.5497,0.5681,0.5691,3606.47,3604.84
2001-07-23,0.5304,0.0882,0.5487,0.5428,0.5616,0.5514,3631.06,3614.21
2001-07-25,0.4886,0.1686,0.5269,0.5286,0.547,0.541,3687.84,3633.5
2001-07-26,0.5344,0.1802,0.5226,0.5144,0.5333,0.5288,3625.62,3652.79
2001-07-27,0.5055,0.4774,0.5062,0.5077,0.5234,0.5251,3664.88,3661.89
2001-07-28,0.5543,0.09,0.5062,0.5077,0.5234,0.5251,3598.59,3661.89
2001-07-30,0.4482,0.08,0.4918,0.4973,0.4987,0.4863,3742.72,3676.02
2001-08-01,0.459,0.1327,0.4756,0.4779,0.4848,0.4697,3728.05,3702.38
2001-08-04,0.5196,0.1169,0.4633,0.4474,0.4662,0.4481,3645.73,3743.81
2001-08-05,0.4481,0.6663,0.4644,0.4464,0.454,0.4443,3742.86,3745.17
2001-08-06,0.4597,0.1,0.4644,0.4464,0.4468,0.4352,3727.1,3745.17
2001-08-07,0.4302,0.6815,0.4535,0.4419,0.4419,0.4338,3767.17,3751.28
2001-08-10,0.4101,0.22,0.4181,0.4174,0.4233,0.4088,3794.48,3784.56
2001-08-11,0.4572,0.1505,0.401,0.3806,0.4183,0.4078,3730.5,3834.55
2001-08-12,0.3891,0.4239,0.401,0.3806,0.4053,0.4024,3823.01,3834.55
2001-08-13,0.4039,0.0818,0.396,0.3785,0.4011,0.3923,3802.9,3837.41
2001-08-14,0.3449,0.6601,0.389,0.3742,0.3945,0.39,3883.05,3843.25
2001-08-16,0.3707,0.4014,0.3729,0.3617,0.398,0.395,3848.0,3860.23
2001-08-17,0.3683,0.0887,0.3651,0.3592,0.398,0.395,3851.26,3863.62
2001-08-18,0.3765,0.2317,0.3942,0.412,0.3965,0.3937,3840.12,3791.9
2001-08-21,0.4613,0.5811,0.4189,0.4371,0.3976,0.3984,3724.93,3757.8
2001-08-25,0.4537,0.2947,0.4028,0.3958,0.3972,0.3911,3735.25,3813.9
2001-08-27,0.4076,0.1471,0.3885,0.3679,0.4563,0.4746,3797.88,3851.81
2001-08-28,0.3471,0.3866,0.3885,0.3679,0.4563,0.4746,3880.06,3851.81
2001-08-29,0.4056,0.1,0.4558,0.482,0.4554,0.4782,3800.59,3696.81
2001-08-30,0.3284,0.6807,0.4558,0.482,0.503,0.4936,3905.47,3696.81
2001-09-01,0.7901,0.5692,0.508,0.5288,0.5154,0.516,3278.26,3633.23
2001-09-05,0.7888,0.1138,0.6955,0.6321,0.6309,0.621,3280.03,3492.9
2001-09-06,0.6021,0.5951,0.6955,0.6321,0.6721,0.633,3533.65,3492.9
2001-09-10,0.8257,0.4988,0.7318,0.7582,0.7227,0.7206,3229.9,3321.6
2001-09-11,0.6753,0.2675,0.7318,0.7582,0.7185,0.716,3434.21,3321.6
2001-09-12,0.6943,0.1804,0.7363,0.7542,0.7055,0.7112,3408.4,3327.03
2001-09-15,0.7501,0.9187,0.6881,0.7161,0.6879,0.717,3332.6,3378.79
2001-09-17,0.6935,0.5171,0.6726,0.7027,0.6795,0.7014,3409.49,3396.99
2001-09-18,0.6145,0.1535,0.6616,0.6981,0.6789,0.707,3516.81,3403.24
2001-09-19,0.6322,0.3584,0.634,0.6423,0.6827,0.7095,3492.76,3479.04
2001-09-21,0.6178,0.1114,0.6594,0.6952,0.6813,0.7103,3512.33,3407.18
2001-09-22,0.6121,0.5249,0.6784,0.7027,0.6813,0.7103,3520.07,3396.99
2001-09-24,0.8206,0.6949,0.69,0.7209,0.6714,0.6952,3236.83,3372.27
2001-09-25,0.7093,0.059,0.714,0.7299,0.7008,0.7612,3388.03,3360.04
2001-10-01,0.8994,0.9023,0.8144,0.8533,0.7898,0.8309,3129.78,3192.41
2001-10-03,0.8078,0.5153,0.8022,0.8384,0.8238,0.8448,3254.22,3212.65
2001-10-04,0.7359,0.1542,0.8022,0.8384,0.8202,0.835,3351.89,3212.65
