date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-21,0.6647,0.2724,0.64,0.6542,3110.17,3135.29
2000-05-22,0.6152,0.0735,0.64,0.6542,3228.56,3135.29
2000-06-07,0.5985,0.0663,0.5985,0.5985,3268.5,3268.5
2000-06-12,0.7498,0.372,0.6886,0.6867,2906.64,3057.56
2000-06-15,0.6273,0.3954,0.6298,0.6344,3199.62,3182.64
2000-06-16,0.5798,0.0703,0.5898,0.59,3313.23,3288.83
2000-06-17,0.5622,0.5032,0.5898,0.59,3355.32,3288.83
2000-06-22,0.6751,0.2773,0.6751,0.6751,3085.3,3085.3
2000-06-26,0.6422,0.5846,0.6422,0.6422,3163.99,3163.99
2000-07-01,0.5085,0.3453,0.5198,0.5227,3483.75,3449.79
2000-07-03,0.5311,0.5788,0.5091,0.5115,3429.7,3476.58
2000-07-05,0.4876,0.4316,0.5094,0.5125,3533.74,3474.19
2000-07-09,0.5977,0.0968,0.5615,0.5355,3270.41,3419.18
2000-07-12,0.5253,0.5912,0.5006,0.5011,3443.57,3501.45
2000-07-13,0.4516,0.0643,0.4772,0.4918,3619.84,3523.69
2000-07-14,0.4838,0.3272,0.4704,0.4813,3542.83,3548.81
2000-07-15,0.4444,0.2612,0.4704,0.4813,3637.06,3548.81
2000-07-16,0.4807,0.2067,0.4594,0.4596,3550.24,3600.7
2000-07-17,0.4366,0.3389,0.4614,0.4601,3655.71,3599.51
2000-07-21,0.449,0.3741,0.4565,0.4555,3626.06,3610.51
2000-07-23,0.464,0.286,0.4433,0.4379,3590.18,3652.6
2000-07-26,0.417,0.5586,0.42,0.425,3702.59,3683.46
2000-07-28,0.4203,0.5651,0.4077,0.4156,3694.7,3705.94
2000-07-29,0.3785,0.0866,0.4145,0.418,3794.67,3700.2
2000-07-30,0.4149,0.345,0.4138,0.4185,3707.61,3699.0
2000-08-01,0.4417,0.1584,0.4117,0.4168,3643.52,3703.07
2000-08-19,0.3729,0.0622,0.391,0.4052,3808.06,3730.81
2000-08-20,0.4092,0.5005,0.3733,0.3969,3721.24,3750.66
2000-08-23,0.3377,0.0788,0.3735,0.3995,3892.25,3744.44
2000-08-29,0.6852,0.7139,0.6852,0.6852,3061.14,3061.14
2000-09-02,0.6793,0.1766,0.6053,0.5757,3075.25,3323.03
2000-09-03,0.5985,0.4586,0.5622,0.5706,3268.5,3335.23
2000-09-05,0.5382,0.7679,0.5622,0.5706,3412.72,3335.23
2000-09-06,0.4329,0.052,0.5164,0.5457,3664.56,3394.78
2000-09-09,0.4961,0.2549,0.4606,0.4598,3513.41,3600.23
2000-09-11,0.4786,0.0773,0.4698,0.4618,3555.26,3595.44
2000-09-12,0.4347,0.3703,0.4698,0.4618,3660.26,3595.44
2000-09-18,0.6518,0.176,0.6116,0.6099,3141.03,3241.24
2000-09-19,0.5956,0.4295,0.6116,0.6099,3275.44,3241.24
2000-09-20,0.5874,0.0541,0.6116,0.6099,3295.05,3241.24
2000-10-02,0.7053,0.3997,0.6567,0.6617,3013.07,3117.35
2000-10-03,0.6103,0.2221,0.6443,0.6567,3240.28,3129.31
2000-10-04,0.676,0.1512,0.6443,0.6567,3083.15,3129.31
2000-10-05,0.6354,0.3097,0.6443,0.6567,3180.25,3129.31
2000-10-06,0.5944,0.0876,0.629,0.6315,3278.31,3189.58
2000-10-16,0.6439,0.6949,0.6439,0.6439,3159.92,3159.92
2000-10-28,0.6327,0.2761,0.6126,0.6253,3186.71,3204.4
2000-10-29,0.642,0.0814,0.6126,0.6253,3164.46,3204.4
2000-10-31,0.563,0.0543,0.6126,0.6253,3353.41,3204.4
2001-05-04,0.7378,0.0823,0.7504,0.7574,2935.34,2888.46
2001-05-07,0.7629,0.2907,0.7504,0.7574,2875.31,2888.46
2001-05-22,0.7364,0.1379,0.7515,0.7491,2938.69,2908.32
2001-05-25,0.7666,0.1004,0.7126,0.6668,2866.46,3105.15
2001-05-26,0.6349,0.6139,0.7008,0.6534,3181.44,3137.2
2001-06-09,0.7609,0.2756,0.7057,0.683,2880.09,3066.41
2001-06-11,0.6505,0.6619,0.7057,0.683,3144.13,3066.41
2001-07-04,0.5953,0.3987,0.58,0.5768,3276.15,3320.4
2001-07-06,0.5648,0.6178,0.5806,0.5783,3349.1,3316.81
2001-07-08,0.5816,0.4572,0.5732,0.5719,3308.92,3332.12
2001-07-13,0.5192,0.3891,0.5099,0.5102,3458.16,3479.69
2001-07-15,0.5054,0.6418,0.5099,0.5102,3491.17,3479.69
2001-07-16,0.505,0.0742,0.519,0.5147,3492.12,3468.92
2001-07-19,0.5464,0.1539,0.5082,0.4882,3393.11,3532.3
2001-07-22,0.4731,0.674,0.4812,0.4757,3568.42,3562.2
2001-07-23,0.4811,0.0728,0.4637,0.4657,3549.28,3586.12
2001-07-24,0.4622,0.3435,0.4603,0.461,3594.49,3597.36
2001-07-25,0.4431,0.1492,0.4603,0.461,3640.17,3597.36
2001-07-26,0.4592,0.2395,0.4531,0.4457,3601.66,3633.95
2001-07-27,0.4433,0.3934,0.4442,0.4437,3639.69,3638.73
2001-07-29,0.4299,0.6373,0.4399,0.439,3671.74,3649.97
2001-07-30,0.4274,0.0608,0.439,0.441,3677.72,3645.19
2001-08-02,0.4554,0.4858,0.4414,0.4426,3610.75,3641.36
2001-08-04,0.4653,0.163,0.4366,0.4376,3587.07,3653.32
2001-08-05,0.4176,0.3596,0.4366,0.4376,3701.15,3653.32
2001-08-06,0.4162,0.0647,0.432,0.4298,3704.5,3671.98
2001-08-07,0.4287,0.519,0.4286,0.4283,3674.61,3675.56
2001-08-10,0.4153,0.1244,0.4104,0.4114,3706.66,3715.98
2001-08-11,0.4273,0.222,0.3987,0.3856,3677.96,3777.69
2001-08-12,0.3608,0.2753,0.3987,0.3856,3837.0,3777.69
2001-08-13,0.4198,0.1105,0.3987,0.3856,3695.89,3777.69
2001-08-14,0.3702,0.6438,0.3945,0.3826,3814.52,3784.86
2001-08-21,0.5463,0.4389,0.5463,0.5463,3393.35,3393.35
2001-08-27,0.6255,0.203,0.571,0.5591,3203.93,3362.73
2001-08-28,0.5165,0.3165,0.571,0.5591,3464.62,3362.73
2001-09-01,0.6968,0.7282,0.6306,0.6821,3033.4,3068.56
2001-09-02,0.5645,0.0912,0.6309,0.6735,3349.82,3089.13
2001-09-05,0.6313,0.1668,0.5788,0.5814,3190.05,3309.4
2001-09-06,0.5738,0.4455,0.5836,0.5836,3327.58,3304.14
2001-09-07,0.5456,0.0947,0.5989,0.6126,3395.02,3234.78
2001-09-10,0.6448,0.6354,0.5711,0.6046,3157.77,3253.91
2001-09-12,0.5229,0.244,0.5805,0.5973,3449.31,3271.37
2001-09-15,0.5739,0.5148,0.5496,0.5651,3327.34,3348.38
2001-09-17,0.5849,0.4486,0.5585,0.5752,3301.03,3324.23
2001-09-18,0.5167,0.0633,0.5585,0.5752,3464.14,3324.23
