date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.8392,0.2764,0.8392,0.8392,0.8392,0.8392,2783.07,2783.07
2000-05-15,0.8073,0.0625,0.8073,0.8073,0.755,0.7181,2822.18,2822.18
2000-05-21,0.7027,0.3608,0.6616,0.6863,0.7102,0.7011,2950.42,2970.53
2000-05-22,0.6205,0.0896,0.6616,0.6863,0.7102,0.7011,3051.2,2970.53
2000-06-16,0.53,0.0969,0.53,0.53,0.53,0.53,3162.15,3162.15
2000-06-25,0.5878,0.0802,0.5878,0.5878,0.5878,0.5878,3091.29,3091.29
2000-07-04,0.3814,0.0656,0.3814,0.3814,0.4399,0.4344,3344.33,3344.33
2000-07-09,0.5119,0.1,0.4691,0.4399,0.4262,0.4224,3184.34,3272.61
2000-07-10,0.4263,0.5313,0.4691,0.4399,0.4247,0.4219,3289.28,3272.61
2000-07-14,0.4354,0.3526,0.3961,0.3893,0.4029,0.4029,3278.13,3334.65
2000-07-15,0.376,0.2772,0.3961,0.3893,0.3974,0.3966,3350.95,3334.65
2000-07-16,0.417,0.1439,0.3961,0.3893,0.3892,0.3921,3300.69,3334.65
2000-07-17,0.356,0.4953,0.3764,0.3853,0.3738,0.3869,3375.47,3339.55
2000-07-20,0.2975,0.0583,0.3339,0.3489,0.3703,0.376,3447.19,3384.18
2000-07-21,0.3589,0.3276,0.3266,0.3423,0.3703,0.376,3371.92,3392.27
2000-07-22,0.3234,0.1506,0.3445,0.3471,0.361,0.362,3415.44,3386.38
2000-07-25,0.398,0.051,0.3607,0.3423,0.3276,0.3356,3323.98,3392.27
2000-07-29,0.2559,0.0732,0.2938,0.3146,0.3273,0.3252,3498.19,3426.23
2000-07-30,0.3318,0.2504,0.2938,0.3146,0.3286,0.326,3405.14,3426.23
2000-08-20,0.3108,0.6766,0.3108,0.3108,0.3108,0.3108,3430.89,3430.89
2000-09-02,0.6102,0.1469,0.4816,0.3944,0.4816,0.3944,3063.82,3328.39
2000-09-05,0.353,0.7652,0.4816,0.3944,0.4266,0.3928,3379.15,3328.39
2000-09-09,0.4088,0.2076,0.3715,0.3877,0.4266,0.3928,3310.74,3336.61
2000-09-11,0.3343,0.0823,0.3715,0.3877,0.3654,0.3625,3402.08,3336.61
2000-09-19,0.3683,0.3464,0.3683,0.3683,0.3683,0.3683,3360.39,3360.39
2000-10-14,0.8686,0.4765,0.7798,0.8394,0.7798,0.8394,2747.03,2782.83
2000-10-15,0.691,0.0938,0.7798,0.8394,0.7798,0.8394,2964.76,2782.83
2001-05-01,0.7661,0.5841,0.7661,0.7661,0.7592,0.7624,2872.69,2872.69
2001-05-07,0.7522,0.2131,0.7522,0.7522,0.7592,0.7624,2889.73,2889.73
2001-05-25,0.8283,0.0969,0.7892,0.759,0.7892,0.759,2796.44,2881.4
2001-05-26,0.7501,0.7501,0.7892,0.759,0.7892,0.759,2892.31,2881.4
2001-06-13,0.5863,0.4942,0.5612,0.5795,0.5612,0.5795,3093.13,3101.46
