date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.9001,0.1994,0.9001,0.9001,0.9001,0.9001,3096.96,3096.96
2000-05-17,0.7486,0.0609,0.7736,0.7766,0.7686,0.7641,3191.65,3174.15
2000-05-19,0.7513,0.2366,0.7686,0.7641,0.7686,0.7641,3189.96,3181.96
2000-05-20,0.8209,0.1736,0.7686,0.7641,0.7686,0.7641,3146.46,3181.96
2000-05-21,0.7537,0.5615,0.7753,0.7651,0.7686,0.7641,3188.46,3181.33
2000-05-28,0.777,0.3222,0.777,0.777,0.7654,0.7622,3173.9,3173.9
2000-06-12,0.7142,0.3464,0.7011,0.6983,0.7011,0.6983,3213.15,3223.08
2000-06-15,0.6881,0.54,0.7011,0.6983,0.7011,0.6983,3229.46,3223.08
2000-06-25,0.6502,0.0909,0.6502,0.6502,0.6264,0.6089,3253.15,3253.15
2000-07-01,0.6026,0.593,0.5924,0.6095,0.6069,0.6125,3282.9,3278.59
2000-07-03,0.6279,0.4825,0.5924,0.6095,0.6241,0.6165,3267.09,3278.59
2000-07-04,0.5468,0.0766,0.5924,0.6095,0.6217,0.6151,3317.77,3278.59
2000-07-09,0.719,0.0792,0.6656,0.6246,0.597,0.6037,3210.15,3269.15
2000-07-10,0.6122,0.605,0.6193,0.6129,0.5956,0.6028,3276.9,3276.46
2000-07-13,0.5267,0.0929,0.5743,0.5901,0.5926,0.5849,3330.34,3290.71
2000-07-14,0.599,0.3133,0.5634,0.5654,0.5926,0.5849,3285.15,3306.15
2000-07-15,0.5472,0.2296,0.5634,0.5654,0.5926,0.5849,3317.52,3306.15
2000-07-16,0.5862,0.0977,0.5634,0.5654,0.5926,0.5849,3293.15,3306.15
2000-07-17,0.5581,0.6587,0.5726,0.5681,0.5716,0.5796,3310.71,3304.46
2000-07-26,0.5189,0.6615,0.4925,0.5096,0.4854,0.4992,3335.21,3341.03
2000-07-29,0.466,0.1411,0.4854,0.4992,0.4839,0.4939,3368.28,3347.53
2000-07-31,0.4714,0.3021,0.4722,0.4742,0.4667,0.4892,3364.9,3363.15
