date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.8242,0.2632,0.8242,0.8242,0.8242,0.8242,2737.33,2737.33
2000-05-12,0.7851,0.2138,0.7851,0.7851,0.7851,0.7851,2785.69,2785.69
2000-05-20,0.8003,0.1588,0.7188,0.7171,0.7188,0.7171,2766.89,2869.8
2000-05-21,0.6946,0.3985,0.7188,0.7171,0.7188,0.7171,2897.63,2869.8
2000-05-22,0.6614,0.0762,0.7188,0.7171,0.7188,0.7171,2938.7,2869.8
2000-06-07,0.6204,0.0676,0.6204,0.6204,0.6534,0.67,2989.41,2989.41
2000-06-12,0.6864,0.2044,0.6512,0.6424,0.6192,0.6282,2907.77,2962.2
2000-06-15,0.616,0.34,0.6189,0.6291,0.6656,0.6637,2994.85,2978.65
2000-06-16,0.5542,0.0971,0.5851,0.6023,0.6656,0.6637,3071.29,3011.8
2000-06-21,0.806,0.156,0.806,0.806,0.6471,0.6379,2759.84,2759.84
2000-06-25,0.643,0.0905,0.6298,0.6204,0.6885,0.6582,2961.46,2989.41
2000-06-26,0.6165,0.5206,0.6298,0.6204,0.6885,0.6582,2994.24,2989.41
2000-07-05,0.4759,0.3268,0.4759,0.4759,0.5444,0.507,3168.15,3168.15
2000-07-09,0.6128,0.0962,0.5356,0.4809,0.4749,0.4657,2998.81,3161.96
2000-07-12,0.4585,0.5672,0.4747,0.4632,0.4666,0.4552,3189.67,3183.85
2000-07-13,0.4309,0.0629,0.4442,0.4526,0.4654,0.4521,3223.81,3196.97
2000-07-14,0.4709,0.4101,0.4407,0.4438,0.458,0.45,3174.33,3207.85
2000-07-15,0.4002,0.2035,0.4444,0.4448,0.458,0.45,3261.78,3206.61
2000-07-16,0.4603,0.1517,0.442,0.4397,0.458,0.45,3187.44,3212.92
2000-07-17,0.4236,0.6112,0.4366,0.4376,0.4386,0.4428,3232.84,3215.52
2000-07-18,0.4662,0.0924,0.4298,0.4257,0.4386,0.4428,3180.14,3230.24
2000-07-20,0.3985,0.0905,0.4294,0.4257,0.4358,0.4374,3263.88,3230.24
2000-07-29,0.366,0.1017,0.366,0.366,0.3589,0.3543,3304.08,3304.08
2000-08-02,0.3518,0.486,0.3405,0.3494,0.349,0.352,3321.65,3324.61
2000-08-05,0.3291,0.0567,0.3405,0.3494,0.349,0.352,3349.72,3324.61
2000-08-19,0.3232,0.08,0.3035,0.2872,0.2961,0.2862,3357.02,3401.55
