date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-04,0.8281,0.2211,0.8281,0.8281,2346.01,2346.01
2000-05-17,0.7008,0.05,0.7008,0.7008,2591.64,2591.64
2000-05-21,0.6751,0.3151,0.6515,0.6652,2641.23,2660.33
2000-05-22,0.628,0.0841,0.6515,0.6652,2732.11,2660.33
2000-06-07,0.5897,0.0812,0.5897,0.5897,2806.01,2806.01
2000-06-12,0.6402,0.2616,0.5985,0.5808,2708.57,2823.18
2000-06-15,0.5569,0.65,0.5648,0.5628,2869.3,2857.92
2000-06-16,0.5171,0.0898,0.5396,0.5486,2946.09,2885.31
2000-06-17,0.5448,0.6845,0.5396,0.5486,2892.65,2885.31
2000-07-04,0.4237,0.0564,0.4237,0.4237,3126.31,3126.31
2000-07-09,0.5051,0.0901,0.4775,0.4569,2969.25,3062.25
2000-07-10,0.4499,0.6167,0.4533,0.4498,3075.76,3075.95
2000-07-13,0.405,0.1125,0.4331,0.4399,3162.39,3095.05
2000-07-14,0.4491,0.3029,0.4297,0.4321,3077.3,3110.1
2000-07-15,0.4175,0.244,0.4297,0.4321,3138.28,3110.1
2000-07-16,0.444,0.0975,0.4297,0.4321,3087.14,3110.1
2000-07-17,0.4331,0.3535,0.4359,0.4352,3108.17,3104.12
2000-07-28,0.3859,0.6123,0.3735,0.3839,3199.25,3203.11
2000-07-29,0.3433,0.0809,0.3781,0.3847,3281.45,3201.56
2000-07-30,0.3914,0.2715,0.378,0.3827,3188.64,3205.42
2000-08-01,0.3918,0.1063,0.376,0.3805,3187.86,3209.67
2000-08-02,0.3776,0.4075,0.3667,0.3765,3215.26,3217.39
2000-08-05,0.3062,0.0867,0.3419,0.3651,3353.03,3239.38
2000-08-19,0.3307,0.0828,0.3307,0.3307,3305.76,3305.76
2000-09-05,0.4286,0.6286,0.4286,0.4286,3116.86,3116.86
2000-09-09,0.4636,0.2062,0.3874,0.3641,3049.32,3241.31
2000-09-11,0.3615,0.0882,0.3874,0.3641,3246.33,3241.31
2000-09-12,0.3372,0.7558,0.3874,0.3641,3293.22,3241.31
2000-10-03,0.5985,0.2789,0.5666,0.571,2789.03,2842.09
2000-10-04,0.5445,0.0762,0.5454,0.5264,2893.23,2928.15
2000-10-05,0.5569,0.4028,0.5454,0.5264,2869.3,2928.15
2000-10-07,0.4819,0.7586,0.5278,0.5102,3014.01,2959.41
2000-10-14,0.6097,0.6646,0.6097,0.6097,2767.42,2767.42
2000-10-28,0.6075,0.3598,0.6075,0.6075,2771.67,2771.67
2001-05-01,0.7226,0.3888,0.7226,0.7226,2549.58,2549.58
2001-05-07,0.7635,0.2053,0.7635,0.7635,2470.66,2470.66
2001-05-18,0.7542,0.0634,0.7542,0.7542,2488.6,2488.6
2001-05-25,0.8027,0.0888,0.7712,0.7473,2395.02,2501.92
2001-05-26,0.7397,0.6504,0.7712,0.7473,2516.58,2501.92
2001-06-13,0.6,0.5912,0.5766,0.5941,2786.14,2797.52
2001-06-14,0.5532,0.085,0.5766,0.5941,2876.44,2797.52
2001-07-04,0.488,0.5741,0.4852,0.4883,3002.24,3001.67
2001-07-05,0.4781,0.079,0.4852,0.4883,3021.35,3001.67
2001-07-06,0.4894,0.8518,0.4852,0.4883,2999.54,3001.67
2001-07-13,0.4558,0.7082,0.4406,0.4535,3064.37,3068.81
2001-07-14,0.4306,0.0634,0.4427,0.4531,3113.0,3069.58
2001-07-15,0.4592,0.6823,0.4427,0.4531,3057.81,3069.58
2001-07-16,0.4166,0.1117,0.4423,0.4524,3140.01,3070.94
2001-07-17,0.4513,0.2886,0.4396,0.4504,3073.06,3074.79
2001-07-19,0.4402,0.1154,0.4335,0.432,3094.48,3110.3
2001-07-22,0.4258,0.7762,0.4088,0.4177,3122.26,3137.89
2001-07-23,0.3744,0.0975,0.4055,0.417,3221.44,3139.24
2001-07-24,0.4242,0.4173,0.4035,0.4117,3125.35,3149.47
2001-07-25,0.3795,0.1939,0.4035,0.4117,3211.6,3149.47
2001-07-26,0.4234,0.2388,0.3946,0.395,3126.89,3181.69
2001-07-27,0.3938,0.5092,0.3986,0.396,3184.01,3179.76
2001-07-29,0.3722,0.5893,0.3965,0.3896,3225.68,3192.11
2001-08-04,0.3989,0.1272,0.3708,0.3611,3174.16,3247.1
2001-08-05,0.3566,0.6383,0.3708,0.3611,3255.78,3247.1
2001-08-06,0.3696,0.1,0.3701,0.3623,3230.7,3244.79
2001-08-07,0.3581,0.9043,0.3615,0.3582,3252.89,3252.7
2001-08-09,0.3674,0.4069,0.3486,0.3482,3234.94,3271.99
2001-08-10,0.3183,0.2243,0.346,0.3475,3329.68,3273.34
2001-08-11,0.3587,0.2117,0.3377,0.3308,3251.73,3305.57
2001-08-12,0.3197,0.5051,0.3377,0.3308,3326.98,3305.57
2001-08-13,0.3539,0.1,0.3328,0.326,3260.99,3314.83
2001-08-14,0.3084,0.6525,0.3257,0.3249,3348.79,3316.95
2001-08-16,0.3375,0.585,0.319,0.3217,3292.64,3323.12
2001-08-17,0.2762,0.0844,0.3074,0.3192,3410.92,3327.95
2001-08-27,0.4114,0.1917,0.3684,0.3887,3150.05,3193.85
2001-08-29,0.3254,0.0688,0.4648,0.5831,3315.98,2818.75
2001-09-01,0.6577,0.6785,0.4997,0.6149,2674.8,2757.39
2001-09-02,0.516,0.092,0.5868,0.6408,2948.22,2707.41
2001-09-06,0.5056,0.6068,0.5056,0.5056,2968.28,2968.28
2001-09-10,0.5615,0.4988,0.4706,0.4962,2860.42,2986.42
2001-09-11,0.4334,0.2255,0.4706,0.4962,3107.6,2986.42
2001-09-12,0.4169,0.2322,0.4702,0.4838,3139.43,3010.35
2001-09-15,0.4692,0.8072,0.407,0.4466,3038.52,3082.13
2001-09-18,0.3349,0.1016,0.4012,0.4442,3297.65,3086.76
