date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-09,0.7733,0.4722,0.7733,0.7733,0.7532,0.7617,3588.54,3588.54
2000-05-13,0.7332,0.1916,0.7332,0.7332,0.7532,0.7617,3589.81,3589.81
2000-05-22,0.6283,0.1003,0.6283,0.6283,0.6283,0.6283,3593.12,3593.12
2000-06-07,0.5687,0.1309,0.5687,0.5687,0.644,0.6763,3595.0,3595.0
2000-06-12,0.7193,0.328,0.6882,0.6874,0.6229,0.6572,3590.25,3591.25
2000-06-15,0.657,0.3438,0.6409,0.6726,0.6409,0.6726,3592.21,3591.72
2000-06-16,0.5465,0.0787,0.6018,0.6364,0.6213,0.6515,3595.7,3592.86
2000-06-22,0.5622,0.1779,0.541,0.5435,0.5523,0.5484,3595.2,3595.79
2000-06-23,0.5199,0.1413,0.5193,0.5025,0.5261,0.5064,3596.54,3597.09
2000-06-26,0.4759,0.491,0.4979,0.4857,0.5193,0.5025,3597.93,3597.62
2000-07-04,0.3531,0.0911,0.3648,0.3732,0.3564,0.356,3601.8,3601.17
2000-07-05,0.3765,0.5602,0.3648,0.3732,0.3565,0.356,3601.06,3601.17
2000-07-09,0.3715,0.1504,0.3509,0.3394,0.3431,0.3462,3601.22,3602.23
2000-07-10,0.3245,0.4321,0.3385,0.3347,0.3369,0.3391,3602.7,3602.38
2000-07-11,0.3567,0.0922,0.3345,0.3299,0.3278,0.3249,3601.69,3602.53
2000-07-13,0.3012,0.0944,0.3188,0.3165,0.3119,0.3056,3603.44,3602.96
2000-07-14,0.3184,0.316,0.305,0.2924,0.3056,0.3039,3602.9,3603.72
2000-07-16,0.293,0.2685,0.2886,0.2861,0.2908,0.2789,3603.7,3603.92
2000-07-17,0.2556,0.4106,0.2794,0.2831,0.2827,0.2735,3604.88,3604.01
2000-07-18,0.2746,0.0787,0.2604,0.2476,0.2781,0.2635,3604.28,3605.13
2000-07-20,0.2553,0.0664,0.2467,0.2372,0.2899,0.2673,3604.89,3605.46
2000-07-21,0.2234,0.7494,0.2445,0.2296,0.2885,0.2658,3605.89,3605.7
2000-07-22,0.2248,0.115,0.2916,0.2457,0.273,0.2429,3605.85,3605.19
2000-07-25,0.4631,0.0848,0.2942,0.2323,0.2391,0.2125,3598.33,3605.61
2000-07-28,0.1946,0.4954,0.2348,0.2,0.2318,0.2091,3606.8,3606.63
2000-07-29,0.1812,0.072,0.1777,0.1828,0.2332,0.2019,3607.23,3607.18
2000-07-30,0.1817,0.5538,0.1777,0.1828,0.2348,0.2,3607.21,3607.18
2000-07-31,0.1535,0.1761,0.1777,0.1828,0.2348,0.2,3608.1,3607.18
2000-08-19,0.1655,0.0676,0.227,0.2775,0.227,0.2775,3607.72,3604.19
2000-08-20,0.2885,0.6858,0.227,0.2775,0.227,0.2775,3603.84,3604.19
2000-08-29,0.7107,0.9396,0.7107,0.7107,0.5816,0.6926,3590.52,3590.52
2000-09-04,0.4526,0.0709,0.4393,0.4298,0.459,0.5576,3598.66,3599.38
2000-09-05,0.426,0.4245,0.4393,0.4298,0.459,0.5576,3599.5,3599.38
2000-09-09,0.2468,0.2589,0.2482,0.2486,0.3437,0.32,3605.16,3605.1
2000-09-12,0.2495,0.5036,0.2482,0.2486,0.3448,0.3414,3605.07,3605.1
2000-09-16,0.4569,0.3014,0.4569,0.4569,0.3177,0.3076,3598.53,3598.53
2000-10-02,0.6086,0.4531,0.6086,0.6086,0.6086,0.6086,3593.74,3593.74
2000-10-14,0.583,0.472,0.583,0.583,0.583,0.583,3594.55,3594.55
2000-10-24,0.514,0.0832,0.5305,0.5418,0.5304,0.5418,3596.73,3595.85
2000-10-25,0.5469,0.4584,0.5305,0.5418,0.5304,0.5418,3595.69,3595.85
2001-05-07,0.7685,0.3768,0.7685,0.7685,0.7685,0.7685,3588.7,3588.7
2001-05-22,0.7708,0.1042,0.7724,0.7725,0.7534,0.7311,3588.62,3588.57
2001-05-25,0.7739,0.1291,0.7534,0.7311,0.7534,0.7311,3588.52,3589.88
2001-05-26,0.7156,0.6236,0.7448,0.7256,0.7607,0.7391,3590.36,3590.05
2001-06-01,0.7824,0.1594,0.7824,0.7824,0.7573,0.7355,3588.26,3588.26
2001-06-10,0.7116,0.1439,0.6407,0.5952,0.6407,0.5952,3590.49,3594.16
2001-06-13,0.5698,0.6604,0.6407,0.5952,0.6407,0.5952,3594.96,3594.16
2001-07-04,0.4547,0.3219,0.4547,0.4547,0.4547,0.4547,3598.6,3598.6
2001-07-13,0.39,0.5453,0.3741,0.3851,0.3914,0.3945,3600.64,3600.79
2001-07-16,0.3582,0.1,0.3914,0.3945,0.3778,0.3698,3601.64,3600.5
2001-07-17,0.3745,0.335,0.3919,0.398,0.3734,0.3692,3601.13,3600.39
2001-07-19,0.4431,0.2634,0.3747,0.3617,0.3661,0.3587,3598.96,3601.53
2001-07-22,0.323,0.6572,0.36,0.3443,0.3395,0.3306,3602.75,3602.08
2001-07-23,0.3514,0.062,0.319,0.3153,0.3286,0.3152,3601.86,3602.99
2001-07-24,0.3223,0.5639,0.308,0.3063,0.3152,0.3123,3602.77,3603.28
2001-07-26,0.2795,0.3159,0.2918,0.2809,0.3078,0.3049,3604.12,3604.08
2001-07-27,0.2639,0.3386,0.269,0.277,0.2885,0.2906,3604.62,3604.2
2001-07-29,0.2418,0.5518,0.2556,0.2569,0.2885,0.2905,3605.31,3604.84
2001-07-30,0.2373,0.0631,0.2477,0.2494,0.2718,0.2678,3605.46,3605.07
2001-08-04,0.2892,0.2348,0.2313,0.2276,0.2366,0.2351,3603.82,3605.76
2001-08-05,0.1886,0.3422,0.2313,0.2276,0.2356,0.2342,3606.99,3605.76
2001-08-06,0.2162,0.1,0.2313,0.2276,0.2346,0.2304,3606.12,3605.76
2001-08-10,0.2465,0.1052,0.2232,0.2223,0.2132,0.1994,3605.17,3605.93
2001-08-11,0.2297,0.2632,0.2057,0.184,0.2132,0.1994,3605.7,3607.14
2001-08-13,0.1934,0.1553,0.2024,0.1844,0.2163,0.1978,3606.84,3607.12
2001-08-14,0.1531,0.6506,0.1913,0.1787,0.2163,0.1965,3608.11,3607.3
2001-08-15,0.1891,0.0955,0.1785,0.1639,0.2163,0.1965,3606.98,3607.77
2001-08-19,0.2861,0.1728,0.2861,0.2861,0.2054,0.1835,3603.92,3603.92
2001-08-27,0.4483,0.3636,0.3154,0.3485,0.3451,0.3942,3598.8,3601.95
2001-08-28,0.2613,0.2392,0.3154,0.3485,0.3451,0.3942,3604.7,3601.95
2001-08-29,0.2366,0.1376,0.345,0.3942,0.3451,0.3942,3605.48,3600.51
2001-09-01,0.434,0.8487,0.3353,0.4065,0.3343,0.3738,3599.25,3600.12
2001-09-05,0.425,0.1909,0.3199,0.3212,0.3261,0.3737,3599.53,3602.81
2001-09-06,0.2811,0.3257,0.3199,0.3212,0.3484,0.3865,3604.07,3602.81
2001-09-07,0.2536,0.1,0.3199,0.3212,0.3484,0.3865,3604.94,3602.81
2001-09-15,0.3769,0.4887,0.3961,0.3943,0.3961,0.3943,3601.05,3600.5
2001-09-17,0.4071,0.6172,0.3961,0.3943,0.3961,0.3943,3600.1,3600.5
2001-09-18,0.4043,0.0653,0.3961,0.3943,0.3764,0.372,3600.19,3600.5
2001-09-24,0.3175,0.4807,0.3175,0.3175,0.3763,0.3699,3602.93,3602.93
2001-10-03,0.4634,0.5947,0.4024,0.4191,0.485,0.4792,3598.32,3599.72
2001-10-05,0.3413,0.3388,0.4737,0.4775,0.4872,0.4835,3602.17,3597.88
2001-10-08,0.6165,0.3925,0.4931,0.4929,0.4782,0.4735,3593.49,3597.39
2001-10-09,0.519,0.0575,0.5161,0.5095,0.4782,0.4735,3596.57,3596.87
2001-10-10,0.4956,0.4876,0.5161,0.5095,0.4678,0.4705,3597.31,3596.87
2001-10-12,0.4334,0.4695,0.4827,0.4681,0.4685,0.4727,3599.27,3598.17
2001-10-16,0.4052,0.1076,0.4064,0.4073,0.4522,0.442,3600.16,3600.09
2001-10-19,0.4077,0.6562,0.4064,0.4073,0.4154,0.4173,3600.08,3600.09
2002-05-01,0.7515,0.4728,0.7515,0.7515,0.7515,0.7515,3589.23,3589.23
2002-05-12,0.7953,0.1312,0.7641,0.7625,0.7312,0.7325,3587.85,3588.88
2002-05-13,0.7598,0.6724,0.7505,0.7596,0.7312,0.7325,3588.97,3588.98
2002-05-14,0.7373,0.1,0.7312,0.7325,0.7356,0.7388,3589.68,3589.83
2002-05-16,0.7094,0.0508,0.7151,0.7253,0.7244,0.7126,3590.56,3590.06
2002-05-17,0.6541,0.3307,0.7147,0.715,0.7244,0.7126,3592.3,3590.38
2002-05-20,0.7579,0.4233,0.6984,0.6863,0.7143,0.7083,3589.03,3591.29
