date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-22,0.5488,0.0599,0.5488,0.5488,0.5488,0.5488,3103.76,3103.76
2000-06-07,0.5308,0.0871,0.5308,0.5308,0.6245,0.6805,3126.21,3126.21
2000-06-12,0.7182,0.3463,0.613,0.5912,0.5304,0.5263,2892.49,3050.88
2000-06-15,0.5079,0.5282,0.5303,0.526,0.5303,0.526,3154.77,3132.19
2000-06-16,0.4645,0.069,0.4677,0.4681,0.5392,0.5326,3208.89,3204.4
2000-06-17,0.4306,0.5526,0.4677,0.4681,0.5347,0.5316,3251.17,3204.4
2000-06-22,0.575,0.2322,0.5436,0.5572,0.4818,0.4722,3071.08,3093.28
2000-06-23,0.5122,0.0922,0.5436,0.5572,0.4766,0.4573,3149.4,3093.28
2000-06-28,0.4007,0.3207,0.3865,0.3863,0.4347,0.4347,3288.46,3306.42
2000-07-01,0.3723,0.3298,0.362,0.3794,0.362,0.3794,3323.88,3315.03
2000-07-04,0.3131,0.0677,0.3427,0.3622,0.3618,0.3609,3397.71,3336.48
2000-07-09,0.3971,0.0974,0.3615,0.3379,0.3203,0.3265,3292.95,3366.78
2000-07-10,0.3258,0.4786,0.3317,0.3298,0.322,0.3272,3381.87,3376.88
2000-07-13,0.2723,0.0806,0.3087,0.323,0.3179,0.3176,3448.6,3385.37
2000-07-14,0.3453,0.4552,0.3005,0.309,0.3093,0.3143,3357.55,3402.83
2000-07-15,0.268,0.168,0.3005,0.309,0.3093,0.3143,3453.96,3402.83
2000-07-16,0.3323,0.1924,0.3005,0.309,0.3093,0.3143,3373.77,3402.83
2000-07-17,0.2847,0.4615,0.2958,0.3069,0.2968,0.3101,3433.13,3405.44
2000-07-20,0.2489,0.0961,0.2668,0.2785,0.3092,0.3093,3477.78,3440.86
2000-07-25,0.4129,0.0599,0.3358,0.2694,0.2656,0.2537,3273.25,3452.21
2000-07-28,0.2588,0.8091,0.269,0.254,0.2675,0.2545,3465.43,3471.42
2000-07-29,0.1973,0.0922,0.2384,0.249,0.2675,0.2545,3542.13,3477.65
2000-07-30,0.27,0.3925,0.2384,0.249,0.2675,0.2545,3451.46,3477.65
2000-07-31,0.2059,0.3003,0.2384,0.249,0.2675,0.2545,3531.41,3477.65
2000-08-01,0.2602,0.1391,0.2334,0.2404,0.2675,0.2545,3463.69,3488.38
