date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-20,0.8349,0.2074,0.8004,0.8123,0.8004,0.8123,3635.68,3638.92
2000-05-22,0.7658,0.1011,0.8004,0.8123,0.8004,0.8123,3645.59,3638.92
2000-06-07,0.7231,0.1259,0.7231,0.7231,0.769,0.7974,3651.72,3651.72
2000-06-12,0.8148,0.5394,0.8008,0.8043,0.7553,0.7858,3638.56,3640.07
2000-06-15,0.7867,0.3214,0.7661,0.7941,0.7661,0.7941,3642.59,3641.53
2000-06-16,0.6967,0.0898,0.7417,0.767,0.7653,0.7876,3655.5,3645.42
2000-06-22,0.763,0.2546,0.7067,0.7246,0.6983,0.6967,3645.99,3651.5
2000-06-23,0.6903,0.1505,0.6943,0.6882,0.6836,0.6765,3656.42,3656.72
2000-06-25,0.6669,0.0796,0.6809,0.6751,0.6809,0.6751,3659.78,3658.6
2000-06-26,0.6569,0.5648,0.6604,0.6544,0.6809,0.6751,3661.21,3661.57
2000-06-28,0.6275,0.2886,0.6504,0.6487,0.6809,0.6751,3665.43,3662.39
2000-07-09,0.535,0.1549,0.5052,0.4872,0.4778,0.4761,3678.7,3685.55
2000-07-12,0.4753,0.6223,0.4778,0.4761,0.4631,0.4709,3687.26,3687.14
2000-07-14,0.4672,0.4346,0.4606,0.468,0.4631,0.4709,3688.42,3688.31
2000-07-15,0.4338,0.112,0.4487,0.4641,0.4444,0.444,3693.21,3688.87
2000-07-16,0.4659,0.2053,0.4421,0.4557,0.4444,0.444,3688.61,3690.07
2000-07-18,0.4014,0.0853,0.4083,0.3888,0.4293,0.4364,3697.86,3699.67
2000-07-21,0.3322,0.3881,0.3668,0.3447,0.3974,0.3758,3707.78,3705.99
2000-07-26,0.2839,0.5444,0.2789,0.2875,0.2952,0.2963,3714.71,3714.2
2000-07-28,0.2949,0.5687,0.2743,0.282,0.2952,0.2963,3713.13,3714.98
2000-07-29,0.2579,0.0762,0.2878,0.2879,0.2878,0.2879,3718.44,3714.14
2000-07-30,0.2606,0.3065,0.2887,0.2898,0.2878,0.2879,3718.05,3713.87
2000-08-01,0.3415,0.1643,0.2867,0.2845,0.2878,0.2879,3706.45,3714.63
2000-08-19,0.2468,0.0569,0.2468,0.2468,0.2468,0.2468,3720.03,3720.03
2000-08-29,0.8245,0.9337,0.8245,0.8245,0.8245,0.8245,3637.17,3637.17
2000-09-11,0.3601,0.1055,0.3684,0.3559,0.447,0.4547,3703.78,3704.38
2000-09-12,0.3504,0.5541,0.3684,0.3559,0.447,0.4547,3705.17,3704.38
2000-09-13,0.3947,0.0671,0.447,0.4547,0.447,0.4547,3698.82,3690.21
2000-09-16,0.683,0.3147,0.5389,0.6323,0.447,0.4547,3657.47,3664.74
2000-10-02,0.8922,0.4965,0.8431,0.8489,0.8431,0.8489,3627.46,3633.67
2000-10-03,0.834,0.1473,0.8431,0.8489,0.8431,0.8489,3635.81,3633.67
2000-10-04,0.8574,0.1376,0.8431,0.8489,0.8431,0.8489,3632.45,3633.67
2000-10-05,0.7888,0.3409,0.8431,0.8489,0.8431,0.8489,3642.29,3633.67
2000-10-15,0.9055,0.0592,0.8785,0.8552,0.8785,0.8552,3625.55,3632.77
2000-10-16,0.8515,0.8038,0.8785,0.8552,0.8785,0.8552,3633.3,3632.77
2000-10-24,0.8899,0.0637,0.8899,0.8899,0.9314,0.9397,3627.79,3627.79
2000-10-28,0.9454,0.2312,0.9522,0.9494,0.9314,0.9397,3619.83,3619.26
2000-10-29,0.959,0.0956,0.9522,0.9494,0.9314,0.9397,3617.88,3619.26
2001-05-07,0.8678,0.41,0.8678,0.8678,0.8678,0.8678,3630.96,3630.96
2001-05-25,0.8588,0.1536,0.8402,0.8287,0.8402,0.8287,3632.25,3636.57
2001-05-26,0.8216,0.6527,0.8402,0.8287,0.8402,0.8287,3637.59,3636.57
2001-06-10,0.84,0.0937,0.84,0.84,0.84,0.84,3634.95,3634.95
2001-07-17,0.5347,0.3228,0.5347,0.5347,0.4939,0.5041,3678.74,3678.74
2001-07-22,0.4897,0.4293,0.4566,0.4754,0.4541,0.4628,3685.19,3687.24
2001-07-23,0.4572,0.0796,0.4476,0.4584,0.4541,0.4628,3689.85,3689.68
2001-07-25,0.423,0.0896,0.438,0.443,0.438,0.443,3694.76,3691.89
2001-07-26,0.4205,0.2674,0.425,0.416,0.438,0.443,3695.12,3695.76
2001-07-27,0.3994,0.3064,0.4143,0.4111,0.438,0.443,3698.15,3696.47
2001-08-04,0.4163,0.191,0.3564,0.3455,0.3534,0.3451,3695.72,3705.88
2001-08-05,0.3873,0.2384,0.3564,0.3455,0.3565,0.3517,3699.88,3705.88
2001-08-06,0.3288,0.1,0.3564,0.3455,0.3474,0.3415,3708.27,3705.88
2001-08-07,0.293,0.4163,0.3534,0.3451,0.3423,0.3385,3713.41,3705.93
2001-08-10,0.3417,0.0986,0.3212,0.3188,0.3315,0.3199,3706.42,3709.71
2001-08-11,0.372,0.3371,0.3154,0.3039,0.3315,0.3199,3702.08,3711.84
2001-08-12,0.2927,0.288,0.315,0.3043,0.3221,0.3119,3713.45,3711.79
2001-08-13,0.3068,0.1597,0.315,0.3043,0.314,0.3032,3711.43,3711.79
2001-08-14,0.2639,0.5992,0.3097,0.3018,0.3119,0.3019,3717.58,3712.14
2001-08-15,0.3129,0.0739,0.2941,0.2806,0.3272,0.3241,3710.55,3715.19
2001-08-21,0.4003,0.4055,0.4003,0.4003,0.3905,0.3731,3698.02,3698.02
2001-08-27,0.585,0.2778,0.4916,0.5324,0.4612,0.4648,3671.52,3679.07
2001-08-29,0.3983,0.109,0.4916,0.5324,0.4916,0.5324,3698.3,3679.07
2001-09-06,0.3907,0.2476,0.3766,0.3828,0.4932,0.6081,3699.39,3700.53
2001-09-07,0.3624,0.0966,0.5109,0.6283,0.4932,0.6081,3703.45,3665.31
2001-09-10,0.7797,0.5583,0.5273,0.6786,0.5112,0.5997,3643.6,3658.1
2001-09-11,0.4398,0.1086,0.6098,0.7243,0.5112,0.5997,3692.35,3651.54
2001-09-15,0.5836,0.5256,0.5836,0.5836,0.601,0.6623,3671.72,3671.72
2001-09-25,0.3443,0.066,0.3443,0.3443,0.6034,0.8153,3706.05,3706.05
2001-10-01,0.8624,0.6597,0.7252,0.79,0.6132,0.715,3631.73,3642.12
2001-10-03,0.7237,0.5305,0.6805,0.7297,0.7146,0.7554,3651.63,3650.77
2001-10-04,0.5896,0.0626,0.6805,0.7297,0.7119,0.7422,3670.86,3650.77
2001-10-05,0.5462,0.4115,0.6776,0.7067,0.7119,0.7422,3677.09,3654.07
2001-10-08,0.8509,0.4462,0.6986,0.7021,0.7012,0.7237,3633.38,3654.73
2001-10-10,0.6986,0.6399,0.7288,0.7177,0.6819,0.6906,3655.23,3652.49
2001-10-12,0.6368,0.5833,0.6677,0.6691,0.692,0.6854,3664.09,3659.46
2001-10-16,0.7273,0.0818,0.7273,0.7273,0.6876,0.6728,3651.11,3651.11
2002-05-01,0.8483,0.4654,0.8483,0.8483,0.8483,0.8483,3633.76,3633.76
2002-05-14,0.8134,0.1,0.7918,0.779,0.7918,0.779,3638.76,3643.7
2002-05-17,0.7703,0.3941,0.7918,0.779,0.7964,0.7835,3644.95,3643.7
2002-05-21,0.8055,0.1,0.8055,0.8055,0.7964,0.7835,3639.9,3639.9
2002-06-04,0.83,0.2711,0.83,0.83,0.7722,0.7966,3636.38,3636.38
2002-06-10,0.7143,0.1102,0.7137,0.7134,0.7565,0.745,3652.98,3653.11
2002-06-11,0.7131,0.2931,0.7137,0.7134,0.7565,0.745,3653.15,3653.11
2002-06-15,0.7984,0.0898,0.7626,0.7337,0.7381,0.7275,3640.91,3650.19
2002-06-16,0.7267,0.8296,0.7626,0.7337,0.752,0.7332,3651.2,3650.19
2002-06-22,0.8077,0.1,0.7252,0.7335,0.7242,0.7255,3639.58,3650.22
2002-06-24,0.6428,0.0819,0.6986,0.6999,0.6986,0.6999,3663.23,3655.04
2002-06-26,0.6452,0.1117,0.644,0.6442,0.6986,0.6999,3662.89,3663.03
2002-07-19,0.5501,0.0909,0.5673,0.5817,0.5673,0.5817,3676.53,3672.0
2002-07-20,0.6063,0.3142,0.5673,0.5817,0.5673,0.5817,3668.47,3672.0
2002-07-21,0.5456,0.1343,0.5673,0.5817,0.6,0.6459,3677.18,3672.0
2002-07-27,0.6981,0.6626,0.5891,0.6757,0.5813,0.6201,3655.3,3658.51
2002-07-28,0.48,0.076,0.5917,0.6654,0.5763,0.6232,3686.58,3659.99
2002-07-31,0.5971,0.1105,0.5459,0.557,0.5839,0.6315,3669.79,3675.54
2002-08-01,0.5605,0.4058,0.5788,0.5683,0.5839,0.6315,3675.04,3673.92
2002-08-12,0.5377,0.5486,0.4925,0.5074,0.4925,0.5074,3678.31,3682.65
2002-08-13,0.4611,0.1108,0.4925,0.5074,0.4925,0.5074,3689.3,3682.65
2002-08-14,0.4786,0.3995,0.4925,0.5074,0.4925,0.5074,3686.79,3682.65
2002-08-23,0.4921,0.2482,0.5257,0.5036,0.5257,0.5036,3684.85,3683.2
2002-08-25,0.5593,0.0512,0.5257,0.5036,0.5257,0.5036,3675.21,3683.2
2002-09-06,0.5109,0.472,0.5109,0.5109,0.5109,0.5109,3682.15,3682.15
2002-09-22,0.8013,0.5728,0.7575,0.7784,0.6257,0.6339,3640.5,3643.78
2002-09-23,0.7137,0.2022,0.684,0.752,0.6257,0.6339,3653.06,3647.57
2002-09-26,0.5371,0.0955,0.5672,0.5222,0.6257,0.6339,3678.39,3680.53
2002-09-27,0.4507,0.5611,0.4939,0.4633,0.6257,0.6339,3690.79,3688.98
2002-10-06,0.7964,0.8669,0.7779,0.7926,0.7779,0.7926,3641.2,3641.75
2002-10-07,0.7594,0.1,0.7779,0.7926,0.7779,0.7926,3646.51,3641.75
2002-10-18,0.8501,0.3471,0.8486,0.8495,0.8886,0.93,3633.5,3633.58
2002-10-19,0.8472,0.0898,0.8886,0.93,0.8886,0.93,3633.91,3622.04
2002-10-22,0.9684,0.9144,0.9078,0.9576,0.9292,0.9358,3616.53,3618.08
