date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-18,0.8484,0.2669,0.8237,0.8213,0.7967,0.8104,3491.94,3514.84
2000-05-19,0.813,0.1623,0.8237,0.8213,0.7967,0.8104,3521.86,3514.84
2000-05-20,0.8393,0.1502,0.8237,0.8213,0.7967,0.8104,3499.63,3514.84
2000-05-21,0.794,0.3151,0.7967,0.8104,0.7967,0.8104,3537.92,3524.05
2000-05-24,0.6886,0.0803,0.7413,0.7726,0.8041,0.8231,3627.0,3556.0
2000-05-30,0.8411,0.6862,0.8411,0.8411,0.7648,0.8251,3498.11,3498.11
2000-06-07,0.8008,0.0748,0.8008,0.8008,0.776,0.7702,3532.17,3532.17
2000-06-11,0.745,0.1496,0.7757,0.7698,0.7689,0.7593,3579.33,3558.37
2000-06-12,0.813,0.2057,0.7698,0.7599,0.7689,0.7593,3521.86,3566.74
2000-06-13,0.7453,0.2927,0.7661,0.7591,0.7689,0.7593,3579.08,3567.42
2000-06-14,0.7994,0.0673,0.7643,0.7576,0.7689,0.7593,3533.35,3568.68
2000-06-15,0.7462,0.5161,0.7675,0.7587,0.7643,0.7576,3578.32,3567.75
2000-06-16,0.7475,0.0907,0.7584,0.7511,0.7697,0.7645,3577.22,3574.18
2000-06-17,0.7538,0.5022,0.7617,0.7526,0.7697,0.7645,3571.89,3572.91
2000-06-22,0.8074,0.293,0.7493,0.7847,0.7489,0.7566,3526.59,3545.78
2000-06-25,0.6912,0.0711,0.7486,0.7644,0.7486,0.7644,3624.81,3562.94
2000-06-26,0.7698,0.3703,0.729,0.746,0.7486,0.7644,3558.37,3578.49
2000-06-28,0.7261,0.2454,0.729,0.746,0.7095,0.7127,3595.31,3578.49
2000-07-03,0.6657,0.832,0.6438,0.6616,0.6936,0.6918,3646.36,3649.83
2000-07-04,0.5969,0.1,0.6438,0.6616,0.6784,0.6747,3704.51,3649.83
2000-07-05,0.6688,0.4262,0.6438,0.6616,0.6596,0.6704,3643.74,3649.83
2000-07-09,0.7343,0.0874,0.6468,0.6456,0.6125,0.6234,3588.38,3663.35
2000-07-11,0.5661,0.0698,0.6148,0.6133,0.6001,0.5961,3730.55,3690.65
2000-07-12,0.6399,0.3906,0.5969,0.5859,0.608,0.5986,3668.17,3713.81
2000-07-13,0.5395,0.1546,0.5731,0.5771,0.6013,0.584,3753.03,3721.25
2000-07-14,0.594,0.3226,0.5716,0.5734,0.6013,0.584,3706.96,3724.38
2000-07-15,0.5076,0.359,0.5873,0.5778,0.6013,0.584,3779.99,3720.66
2000-07-16,0.5913,0.11,0.5785,0.5618,0.5897,0.5774,3709.25,3734.18
2000-07-17,0.5629,0.4924,0.5863,0.5643,0.5736,0.5709,3733.25,3732.07
2000-07-18,0.6759,0.0764,0.5844,0.5551,0.5736,0.5709,3637.74,3739.84
2000-07-22,0.4855,0.1501,0.56,0.5334,0.5623,0.548,3798.67,3758.19
2000-07-25,0.6345,0.0711,0.5327,0.5217,0.5306,0.5074,3672.73,3768.07
2000-07-27,0.4781,0.0593,0.5056,0.4868,0.4925,0.4683,3804.93,3797.57
2000-07-29,0.4473,0.1181,0.4626,0.4603,0.5287,0.5468,3830.96,3819.97
2000-07-30,0.4625,0.2183,0.4588,0.4528,0.5232,0.5469,3818.11,3826.31
2000-08-02,0.4471,0.5274,0.5256,0.5544,0.5046,0.5427,3831.13,3740.44
2000-08-04,0.7457,0.4515,0.5466,0.5731,0.5099,0.5454,3578.74,3724.63
2000-08-05,0.447,0.0908,0.5466,0.5731,0.5099,0.5454,3831.21,3724.63
2000-08-20,0.4814,0.5001,0.5565,0.5574,0.5565,0.5574,3802.14,3737.9
2000-08-22,0.6493,0.4521,0.5565,0.5574,0.5565,0.5574,3660.22,3737.9
2000-08-23,0.5389,0.1929,0.5565,0.5574,0.5565,0.5574,3753.54,3737.9
2000-09-02,0.8304,0.121,0.736,0.6946,0.736,0.6946,3507.15,3621.93
2000-09-04,0.7032,0.0606,0.736,0.6946,0.7713,0.7334,3614.66,3621.93
2000-09-05,0.6745,0.845,0.736,0.6946,0.7633,0.733,3638.92,3621.93
2000-09-09,0.8501,0.1354,0.7905,0.801,0.7633,0.733,3490.5,3532.0
2000-09-10,0.7983,0.3718,0.7905,0.801,0.7498,0.725,3534.28,3532.0
2000-09-11,0.7231,0.0724,0.7905,0.801,0.7498,0.725,3597.84,3532.0
2000-09-18,0.8414,0.0937,0.7822,0.7432,0.7625,0.7408,3497.85,3580.85
2000-09-19,0.723,0.4562,0.7822,0.7432,0.7822,0.7432,3597.93,3580.85
