date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-21,0.5531,0.3356,0.5205,0.5434,3779.25,3791.47
2000-05-24,0.4878,0.0589,0.5205,0.5434,3861.49,3791.47
2000-06-13,0.4888,0.2176,0.5592,0.5887,3860.23,3734.41
2000-06-15,0.6297,0.5305,0.5592,0.5887,3682.78,3734.41
2000-07-04,0.4445,0.0726,0.4445,0.4445,3916.02,3916.02
2000-07-15,0.376,0.293,0.3879,0.3823,4002.29,3994.35
2000-07-16,0.4049,0.0624,0.3879,0.3823,3965.89,3994.35
2000-07-17,0.3829,0.7001,0.3879,0.3823,3993.6,3994.35
2000-07-26,0.382,0.7469,0.3386,0.3704,3994.73,4009.34
2000-07-29,0.2952,0.1157,0.3468,0.3632,4104.05,4018.41
2000-07-30,0.374,0.2983,0.3351,0.3447,4004.81,4041.71
2000-07-31,0.336,0.3445,0.3351,0.3447,4052.66,4041.71
2000-08-20,0.3968,0.4867,0.375,0.3857,3976.09,3990.07
2000-08-23,0.3533,0.1665,0.375,0.3857,4030.88,3990.07
2000-09-04,0.5291,0.0758,0.5291,0.5291,3809.47,3809.47
2000-09-12,0.4007,0.586,0.4007,0.4007,3971.18,3971.18
2000-10-07,0.3794,0.4325,0.3794,0.3794,3998.01,3998.01
2000-10-30,0.2945,0.5877,0.2945,0.2945,4104.93,4104.93
2001-05-12,0.6915,0.4747,0.6915,0.6915,3604.95,3604.95
2001-05-20,0.6614,0.0654,0.6444,0.6377,3642.86,3672.7
2001-05-22,0.6274,0.1495,0.6444,0.6377,3685.68,3672.7
2001-06-07,0.6159,0.1566,0.6159,0.6159,3700.16,3700.16
2001-06-13,0.575,0.6321,0.54,0.5664,3751.67,3762.5
2001-06-14,0.5051,0.0888,0.54,0.5664,3839.7,3762.5
2001-07-04,0.5148,0.5217,0.5148,0.5148,3827.48,3827.48
2001-07-22,0.4155,0.5646,0.411,0.4133,3952.54,3955.31
2001-07-25,0.4066,0.18,0.3982,0.3989,3963.75,3973.45
2001-07-27,0.3724,0.4045,0.37,0.3656,4006.82,4015.39
2001-07-29,0.3516,0.6044,0.3578,0.359,4033.02,4023.7
2001-07-30,0.3493,0.0992,0.3578,0.359,4035.91,4023.7
2001-08-04,0.4184,0.065,0.4046,0.3808,3948.89,3996.24
2001-08-05,0.3681,0.5125,0.4046,0.3808,4012.24,3996.24
2001-08-06,0.4273,0.0871,0.4046,0.3808,3937.68,3996.24
2001-08-12,0.3473,0.5349,0.3531,0.3413,4038.43,4045.99
2001-08-13,0.3787,0.0525,0.3531,0.3413,3998.89,4045.99
2001-08-14,0.3334,0.6605,0.36,0.3438,4055.94,4042.84
2001-08-17,0.3806,0.085,0.3666,0.3511,3996.49,4033.65
2001-08-18,0.3857,0.2656,0.3832,0.3845,3990.07,3991.58
2001-09-10,0.5326,0.3088,0.5326,0.5326,3805.07,3805.07
2001-09-15,0.3975,0.5078,0.4436,0.4383,3975.21,3923.83
2001-09-17,0.4897,0.4031,0.4436,0.4383,3859.09,3923.83
2001-09-25,0.3667,0.0758,0.3667,0.3667,4014.0,4014.0
2002-05-01,0.6769,0.1892,0.6661,0.6624,3623.34,3641.6
2002-05-04,0.6553,0.3831,0.6661,0.6624,3650.54,3641.6
2002-05-09,0.6725,0.2515,0.6725,0.6725,3628.88,3628.88
2002-05-13,0.6837,0.7003,0.6594,0.6776,3614.77,3622.45
2002-05-14,0.6351,0.1,0.6594,0.6776,3675.98,3622.45
2002-05-18,0.6211,0.2762,0.6434,0.651,3693.61,3655.95
2002-05-20,0.6656,0.5656,0.6434,0.651,3637.57,3655.95
2002-05-25,0.6891,0.2509,0.6507,0.6425,3607.97,3666.66
2002-05-27,0.6123,0.3882,0.6507,0.6425,3704.69,3666.66
2002-06-07,0.7004,0.656,0.7004,0.7004,3593.74,3593.74
2002-06-16,0.6259,0.3461,0.594,0.6073,3687.57,3710.99
2002-06-17,0.5622,0.1427,0.594,0.6073,3767.79,3710.99
2002-06-22,0.7182,0.1,0.6452,0.6417,3571.32,3667.67
2002-06-23,0.6408,0.6791,0.6341,0.6322,3668.8,3679.63
2002-06-24,0.5956,0.0605,0.6341,0.6322,3725.72,3679.63
2002-06-25,0.6261,0.2692,0.6341,0.6322,3687.31,3679.63
2002-06-26,0.59,0.2498,0.6131,0.6254,3732.78,3688.19
2002-07-09,0.6049,0.5172,0.6049,0.6049,3714.01,3714.01
2002-07-19,0.4585,0.0869,0.4742,0.4807,3898.39,3870.43
2002-07-20,0.4899,0.2095,0.4742,0.4807,3858.84,3870.43
2002-08-13,0.3867,0.2423,0.3986,0.3959,3988.81,3977.23
2002-08-14,0.4106,0.1514,0.3986,0.3959,3958.71,3977.23
2002-08-31,0.5486,0.3961,0.5486,0.5486,3784.92,3784.92
2002-09-04,0.5479,0.5072,0.5274,0.5344,3785.8,3802.8
2002-09-06,0.507,0.2511,0.5274,0.5344,3837.31,3802.8
2002-09-14,0.5137,0.2652,0.5137,0.5137,3828.87,3828.87
2002-10-11,0.3245,0.5081,0.336,0.3364,4067.15,4052.16
2002-10-13,0.3476,0.5442,0.336,0.3364,4038.05,4052.16
2003-05-01,0.5784,0.071,0.5784,0.5784,3747.39,3747.39
2003-05-13,0.6115,0.1129,0.6042,0.6006,3705.7,3719.43
2003-05-14,0.5969,0.3377,0.6042,0.6006,3724.09,3719.43
2003-05-21,0.609,0.2066,0.6128,0.6106,3708.85,3706.83
2003-05-24,0.6167,0.0557,0.592,0.5706,3699.15,3757.21
2003-05-25,0.5503,0.5163,0.5835,0.5568,3782.78,3774.59
2003-06-08,0.564,0.486,0.5401,0.5514,3765.52,3781.39
2003-06-10,0.5483,0.5803,0.5401,0.5514,3785.29,3781.39
2003-06-11,0.508,0.0992,0.5401,0.5514,3836.05,3781.39
2003-06-26,0.5468,0.4874,0.5468,0.5468,3787.18,3787.18
2003-07-03,0.5392,0.6927,0.493,0.5276,3796.75,3811.36
2003-07-04,0.4469,0.1,0.493,0.5276,3913.0,3811.36
2003-07-09,0.9245,0.0891,0.6316,0.5369,3311.51,3799.65
2003-07-10,0.5428,0.5124,0.6316,0.5369,3792.22,3799.65
2003-07-11,0.5889,0.0718,0.5945,0.5216,3734.16,3818.92
2003-07-12,0.4701,0.619,0.5945,0.5216,3883.78,3818.92
2003-07-14,0.4462,0.2609,0.5017,0.4725,3913.88,3880.76
2003-08-16,0.3641,0.2295,0.3641,0.3641,4017.27,4017.27
2003-08-25,0.4769,0.4007,0.4441,0.4388,3875.21,3923.2
2003-08-27,0.3977,0.3966,0.4441,0.4388,3974.96,3923.2
2003-08-28,0.4577,0.0557,0.4441,0.4388,3899.39,3923.2
2003-09-03,0.3331,0.4326,0.3331,0.3331,4056.32,4056.32
2003-09-14,0.5328,0.7654,0.5328,0.5328,3804.81,3804.81
2003-09-18,0.6008,0.1246,0.6008,0.6008,3719.18,3719.18
2003-10-14,0.3232,0.422,0.3232,0.3232,4068.78,4068.78
2003-10-30,0.3537,0.5793,0.3537,0.3537,4030.37,4030.37
2004-05-02,0.6281,0.6574,0.6347,0.63,3684.79,3682.4
2004-05-05,0.6412,0.1087,0.6209,0.6221,3668.3,3692.35
2004-05-07,0.5935,0.212,0.6174,0.6097,3728.37,3707.97
2004-05-14,0.6139,0.1629,0.6139,0.6139,3702.68,3702.68
2004-05-18,0.6906,0.9437,0.6906,0.6906,3606.08,3606.08
2004-05-23,0.6034,0.2345,0.6034,0.6034,3715.9,3715.9
2004-05-31,0.6675,0.115,0.6675,0.6675,3635.17,3635.17
2004-06-16,0.5752,0.1382,0.5559,0.5495,3751.42,3783.78
2004-06-17,0.5468,0.4775,0.5559,0.5495,3787.18,3783.78
2004-06-19,0.5458,0.6109,0.5559,0.5495,3788.44,3783.78
2004-07-03,0.5443,0.5233,0.5443,0.5443,3790.33,3790.33
2004-07-21,0.489,0.5242,0.489,0.489,3859.98,3859.98
2004-07-31,0.3839,0.0573,0.381,0.3792,3992.34,3998.26
2004-08-02,0.378,0.2291,0.381,0.3792,3999.77,3998.26
2004-08-14,0.5093,0.0541,0.4664,0.437,3834.41,3925.46
2004-08-17,0.4235,0.2889,0.4307,0.4089,3942.47,3960.85
2004-08-18,0.3592,0.1942,0.3914,0.3977,4023.45,3974.96
2004-08-27,0.3064,0.2485,0.3358,0.342,4089.94,4045.11
2004-08-29,0.3652,0.3821,0.3358,0.342,4015.89,4045.11
2004-09-08,0.4933,0.0686,0.4933,0.4933,3854.56,3854.56
2004-10-11,0.3774,0.5405,0.3774,0.3774,4000.52,4000.52
2005-05-06,0.6665,0.1,0.6665,0.6665,3636.43,3636.43
2005-05-10,0.623,0.416,0.6173,0.6162,3691.22,3699.78
