date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.8253,0.2103,0.8253,0.8253
2000-05-15,0.7777,0.0851,0.7777,0.7777
2000-05-21,0.7279,0.2553,0.7279,0.7279
2000-05-26,0.6237,0.0719,0.6237,0.6237
2000-06-10,0.7873,0.4294,0.7873,0.7873
2000-06-15,0.6983,0.5275,0.6337,0.6598
2000-06-16,0.5642,0.0802,0.6337,0.6598
2000-06-17,0.6386,0.595,0.6337,0.6598
2000-06-21,0.7913,0.1878,0.7082,0.7547
2000-06-23,0.6251,0.0531,0.6805,0.6996
2000-06-25,0.6237,0.0781,0.6446,0.66
2000-06-26,0.682,0.4163,0.6446,0.66
2000-06-28,0.6475,0.36,0.6511,0.6621
2000-07-03,0.5948,0.859,0.538,0.5837
2000-07-04,0.4813,0.0927,0.538,0.5837
2000-07-09,0.6092,0.0792,0.569,0.5548
2000-07-10,0.5638,0.7102,0.543,0.5481
2000-07-12,0.5339,0.5103,0.528,0.5316
2000-07-13,0.4651,0.1047,0.5118,0.5275
2000-07-14,0.5277,0.4101,0.4924,0.4982
2000-07-15,0.4682,0.3406,0.4924,0.4982
2000-07-16,0.5121,0.1525,0.4841,0.4849
2000-07-17,0.4473,0.3692,0.4888,0.4866
2000-07-21,0.5075,0.3728,0.4771,0.4926
2000-07-22,0.4467,0.121,0.4771,0.4926
2000-07-28,0.4909,0.6634,0.4628,0.4844
2000-07-29,0.4347,0.0872,0.4628,0.4844
2000-08-20,0.5642,0.4918,0.5642,0.5642
2000-09-02,0.6826,0.1595,0.6385,0.6126
2000-09-05,0.5945,0.6184,0.6385,0.6126
2000-09-09,0.6813,0.1871,0.5756,0.5517
2000-09-11,0.5203,0.0875,0.5756,0.5517
2000-09-12,0.5252,0.8113,0.5756,0.5517
2000-09-20,0.5804,0.0531,0.5804,0.5804
2000-10-02,0.8096,0.367,0.7376,0.7412
2000-10-03,0.7515,0.2577,0.7376,0.7412
2000-10-04,0.7128,0.1334,0.723,0.7068
2000-10-05,0.6767,0.3723,0.723,0.7068
2000-10-07,0.6642,0.9139,0.6846,0.672
2000-10-15,0.6311,0.0688,0.6311,0.6311
2000-10-28,0.8497,0.3112,0.8497,0.8497
2001-05-01,0.7587,0.4436,0.7587,0.7587
2001-05-07,0.8123,0.218,0.8123,0.8123
2001-05-25,0.8099,0.0978,0.7796,0.7556
2001-05-26,0.7493,0.8403,0.7603,0.7536
2001-05-29,0.7217,0.0584,0.7355,0.7475
2001-06-13,0.6412,0.7441,0.615,0.6357
2001-06-14,0.5889,0.0872,0.615,0.6357
2001-07-06,0.5891,0.772,0.5891,0.5891
2001-07-15,0.7,0.6521,0.6052,0.6455
2001-07-16,0.5587,0.0718,0.6011,0.6383
2001-07-17,0.5569,0.3311,0.6011,0.6383
