date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.8446,0.2526,0.8446,0.8446
2000-05-12,0.7869,0.1735,0.7869,0.7869
2000-05-21,0.7235,0.4665,0.7195,0.7224
2000-05-22,0.7155,0.0737,0.7195,0.7224
2000-06-12,0.7714,0.3261,0.7035,0.7096
2000-06-13,0.6356,0.2722,0.668,0.694
2000-06-16,0.597,0.0963,0.6094,0.6058
2000-06-17,0.5957,0.7244,0.5963,0.5959
2000-07-09,0.5721,0.0585,0.5721,0.5721
2000-07-14,0.5306,0.2621,0.5107,0.5051
2000-07-17,0.4908,0.4654,0.5107,0.5051
2000-07-29,0.4105,0.0727,0.4428,0.4503
2000-07-30,0.4542,0.2705,0.4428,0.4503
2000-08-01,0.4637,0.1383,0.4428,0.4503
2000-09-05,0.313,0.4943,0.313,0.313
2000-09-09,0.3268,0.258,0.3323,0.3293
2000-09-11,0.3377,0.0774,0.3323,0.3293
2000-09-19,0.544,0.338,0.5442,0.5441
2000-09-20,0.5445,0.0685,0.5442,0.5441
2000-10-02,0.7005,0.3622,0.666,0.6513
2000-10-03,0.6306,0.2492,0.666,0.6513
2000-10-04,0.7226,0.1024,0.6509,0.6282
2000-10-05,0.6105,0.4892,0.6509,0.6282
2000-10-07,0.5904,0.7346,0.6412,0.608
2000-10-14,0.6691,0.4515,0.6531,0.6876
2000-10-15,0.5703,0.0963,0.6531,0.6876
2000-10-16,0.72,0.6047,0.6531,0.6876
2000-10-28,0.7042,0.2365,0.7042,0.7042
2001-05-07,0.8118,0.2728,0.8118,0.8118
2001-05-22,0.7733,0.1898,0.812,0.7988
2001-05-25,0.8508,0.0932,0.8085,0.8008
2001-05-26,0.8015,0.7549,0.8262,0.8069
2001-06-13,0.6338,0.6289,0.6338,0.6338
2001-07-16,0.4564,0.0826,0.4564,0.4564
2001-07-22,0.4751,0.5236,0.4627,0.4776
2001-07-23,0.4304,0.0553,0.4627,0.4776
2001-07-24,0.4919,0.5023,0.4626,0.4737
2001-07-25,0.4533,0.1348,0.4626,0.4737
2001-07-27,0.4621,0.4054,0.4632,0.4671
2001-07-29,0.4456,0.3988,0.4539,0.4539
2001-08-05,0.4187,0.3667,0.423,0.4243
2001-08-07,0.4273,0.6984,0.4104,0.4192
2001-08-10,0.3851,0.1597,0.3942,0.4056
2001-08-12,0.3743,0.3408,0.3816,0.3782
2001-08-13,0.3901,0.079,0.3816,0.3782
2001-08-14,0.3771,0.6177,0.3805,0.3772
2001-09-01,0.7497,0.7018,0.6888,0.7376
2001-09-02,0.628,0.0774,0.6888,0.7376
2001-09-06,0.611,0.5051,0.611,0.611
2001-09-10,0.5905,0.3157,0.548,0.5613
2001-09-12,0.5054,0.1646,0.5344,0.5329
2001-09-15,0.5072,0.5297,0.4476,0.4922
2001-09-18,0.3303,0.0627,0.4188,0.4885
2001-09-24,0.5329,0.6072,0.4644,0.5142
2001-09-25,0.3959,0.0958,0.4644,0.5142
2001-10-01,0.7776,0.7135,0.6392,0.7078
2001-10-02,0.5645,0.0989,0.6344,0.688
2001-10-03,0.6644,0.4596,0.6344,0.688
2001-10-04,0.5503,0.1,0.6344,0.688
2001-10-05,0.6153,0.3738,0.5986,0.626
2001-10-09,0.6921,0.08,0.6921,0.6921
2001-10-15,0.6826,0.4281,0.6826,0.6826
2001-10-23,0.8282,0.0955,0.7674,0.7245
2001-10-26,0.7065,0.5517,0.7127,0.7164
2001-10-27,0.5798,0.1,0.6742,0.7065
2001-10-28,0.7363,0.4234,0.6742,0.7065
2002-05-01,0.8278,0.413,0.8278,0.8278
2002-05-13,0.7877,0.7422,0.6891,0.7602
2002-05-14,0.6356,0.0979,0.6948,0.7462
2002-05-16,0.6441,0.0711,0.6948,0.7462
2002-05-17,0.7117,0.367,0.6638,0.6888
2002-05-27,0.6425,0.2777,0.6425,0.6425
2002-06-04,0.753,0.1363,0.753,0.753
2002-06-10,0.6498,0.1503,0.6652,0.6686
2002-06-11,0.6806,0.2345,0.6652,0.6686
2002-06-16,0.6613,0.5076,0.6613,0.6613
2002-06-22,0.6977,0.0905,0.6356,0.6458
2002-06-23,0.6451,0.5665,0.6262,0.6387
2002-06-24,0.5481,0.0664,0.6262,0.6387
2002-06-25,0.6516,0.3859,0.6262,0.6387
2002-06-26,0.5887,0.1598,0.6084,0.6341
2002-07-07,0.5857,0.385,0.5857,0.5857
2002-07-20,0.5375,0.2572,0.5332,0.5311
2002-07-21,0.5159,0.273,0.5332,0.5311
2002-07-22,0.5463,0.1655,0.5332,0.5311
2002-07-28,0.4699,0.1526,0.4699,0.4699
2002-08-13,0.4154,0.1799,0.4367,0.4366
2002-08-14,0.458,0.1782,0.4367,0.4366
2002-09-23,0.5657,0.2883,0.5323,0.528
2002-09-25,0.4989,0.3734,0.5323,0.528
2002-10-05,0.61,0.0858,0.6205,0.6213
2002-10-07,0.631,0.1,0.6205,0.6213
2002-10-18,0.6406,0.4667,0.6742,0.6517
2002-10-19,0.7079,0.0926,0.7174,0.7376
2002-10-22,0.8037,0.7272,0.7558,0.7929
2003-05-01,0.6684,0.0995,0.7006,0.7358
2003-05-02,0.7725,0.7229,0.7006,0.7358
2003-05-03,0.6583,0.0996,0.7006,0.7358
2003-05-04,0.7034,0.375,0.7006,0.7358
2003-05-10,0.653,0.0653,0.6666,0.687
2003-05-11,0.7184,0.5009,0.6615,0.6719
2003-05-12,0.6279,0.172,0.6638,0.6721
2003-05-13,0.6671,0.17,0.6638,0.6721
2003-05-14,0.6413,0.4479,0.6659,0.673
2003-05-15,0.675,0.09,0.6528,0.6471
2003-05-21,0.6004,0.1864,0.6004,0.6004
2003-05-25,0.6237,0.8245,0.6237,0.6237
2003-06-03,0.7569,0.4115,0.7569,0.7569
2003-06-07,0.7705,0.1407,0.7705,0.7705
2003-06-11,0.5566,0.0811,0.5566,0.5566
2003-06-25,0.774,0.09,0.774,0.774
2003-07-03,0.5793,0.4814,0.5272,0.5488
2003-07-04,0.4762,0.0737,0.5272,0.5488
2003-07-05,0.5262,0.4111,0.5272,0.5488
2003-07-11,0.5459,0.1,0.5459,0.5459
2003-08-16,0.3397,0.1264,0.3852,0.3938
2003-08-17,0.4307,0.1853,0.3852,0.3938
2003-08-25,0.3293,0.2035,0.3293,0.3293
2003-09-02,0.373,0.2167,0.373,0.373
2003-09-09,0.7965,0.3506,0.721,0.7329
2003-09-10,0.6697,0.2801,0.721,0.7329
2003-09-11,0.6969,0.1276,0.721,0.7329
2003-09-21,0.7444,0.4243,0.6483,0.6771
2003-09-23,0.6521,0.6172,0.6483,0.6771
2003-09-24,0.5484,0.102,0.6376,0.6709
2003-09-27,0.6054,0.1078,0.5769,0.5777
2003-10-05,0.6088,0.2387,0.5931,0.5675
2003-10-06,0.6307,0.0832,0.5931,0.5675
2003-10-07,0.5398,0.5466,0.5931,0.5675
2004-05-06,0.7628,0.301,0.7628,0.7628
2004-05-22,0.8096,0.2541,0.7396,0.7345
2004-05-23,0.7245,0.2888,0.7396,0.7345
2004-05-25,0.6848,0.3253,0.7396,0.7345
2004-06-05,0.8188,0.6594,0.7486,0.8056
2004-06-06,0.6783,0.0685,0.7486,0.8056
2004-06-13,0.6835,0.0953,0.6765,0.7006
2004-06-14,0.7279,0.5362,0.6765,0.7006
2004-06-15,0.618,0.1571,0.6765,0.7006
2004-06-30,0.766,0.3305,0.7376,0.7338
2004-07-03,0.7092,0.432,0.6988,0.6948
2004-07-04,0.6715,0.0842,0.6586,0.6491
2004-07-05,0.6483,0.5977,0.6586,0.6491
2004-07-07,0.6056,0.6274,0.6418,0.6293
2004-07-29,0.5633,0.0548,0.4928,0.498
2004-07-30,0.5017,0.7448,0.4875,0.4938
2004-07-31,0.4134,0.0748,0.4875,0.4938
2004-08-02,0.4717,0.1668,0.4623,0.4899
2004-08-15,0.4674,0.5618,0.441,0.4567
2004-08-18,0.4147,0.1437,0.441,0.4567
2004-08-28,0.4687,0.1332,0.4687,0.4687
2004-09-08,0.6573,0.1,0.6573,0.6573
2004-09-13,0.807,0.1394,0.7246,0.6915
2004-09-14,0.7133,0.5174,0.7246,0.6915
2004-09-15,0.7217,0.0874,0.7246,0.6915
2004-09-16,0.6566,0.859,0.6878,0.6766
2004-09-19,0.5402,0.1752,0.5869,0.614
2004-09-20,0.5905,0.2106,0.5637,0.5642
2004-09-21,0.5603,0.3484,0.5637,0.5642
2004-09-25,0.5216,0.4743,0.5012,0.5067
2004-09-28,0.4809,0.2732,0.4914,0.4899
2004-09-29,0.5072,0.1572,0.4838,0.4758
2004-09-30,0.464,0.5749,0.4838,0.4758
2004-10-01,0.4832,0.0553,0.4838,0.4758
2004-10-07,0.705,0.4008,0.7043,0.7048
2004-10-08,0.7037,0.0742,0.7043,0.7048
2004-10-14,0.7491,0.3163,0.7491,0.7491
2004-10-23,0.7689,0.4597,0.6656,0.732
2004-10-26,0.5623,0.1,0.6847,0.7268
2004-10-27,0.7228,0.734,0.6426,0.7036
2005-05-10,0.7928,0.3186,0.767,0.7486
2005-05-11,0.793,0.1539,0.767,0.7486
2005-05-12,0.7151,0.6253,0.767,0.7486
2005-05-18,0.7397,0.2198,0.704,0.6847
2005-05-21,0.6683,0.7384,0.662,0.6736
2005-05-22,0.5667,0.0984,0.6362,0.6638
2005-05-23,0.6735,0.6447,0.6362,0.6638
2005-05-29,0.6771,0.0805,0.6771,0.6771
2005-06-08,0.7118,0.6626,0.6606,0.6812
2005-06-09,0.6139,0.1031,0.6606,0.6812
2005-06-10,0.6885,0.297,0.6606,0.6812
2005-06-11,0.6281,0.2925,0.6606,0.6812
2005-06-24,0.7878,0.592,0.7878,0.7878
2005-07-04,0.5541,0.1942,0.576,0.5657
2005-07-07,0.5978,0.07,0.576,0.5657
2005-07-31,0.4866,0.3566,0.4866,0.4866
2005-08-07,0.447,0.3712,0.4842,0.4627
2005-08-08,0.5214,0.0995,0.4842,0.4627
2005-08-16,0.4003,0.5169,0.4003,0.4003
