date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-19,0.8103,0.2161,0.8136,0.8064
2000-05-20,0.8345,0.1334,0.8136,0.8064
2000-05-21,0.7961,0.4488,0.7847,0.7982
2000-05-24,0.6977,0.0644,0.7469,0.7838
2000-05-30,0.791,0.427,0.791,0.791
2000-06-07,0.7441,0.0672,0.7441,0.7441
2000-06-12,0.7556,0.1971,0.7556,0.7556
2000-06-16,0.7011,0.0778,0.7011,0.7011
2000-07-01,0.6454,0.5563,0.6299,0.6449
2000-07-03,0.6505,0.5386,0.6299,0.6449
2000-07-04,0.5938,0.0654,0.6299,0.6449
2000-07-09,0.7063,0.0598,0.6662,0.6369
2000-07-12,0.6262,0.3877,0.6259,0.6185
2000-07-13,0.5627,0.1084,0.6002,0.6102
2000-07-14,0.6083,0.218,0.5928,0.5943
2000-07-16,0.6037,0.0987,0.5844,0.5795
2000-07-17,0.5631,0.415,0.5917,0.582
2000-07-21,0.5707,0.2839,0.5707,0.5707
2000-07-25,0.5485,0.085,0.5074,0.4785
2000-07-26,0.4663,0.4899,0.4705,0.4629
2000-07-29,0.3968,0.1356,0.4316,0.4512
2000-08-05,0.3886,0.063,0.3886,0.3886
2000-08-20,0.3898,0.5448,0.4264,0.4302
2000-08-22,0.5024,0.4247,0.4264,0.4302
2000-08-23,0.387,0.2013,0.4264,0.4302
2000-09-02,0.8071,0.067,0.7142,0.6864
2000-09-04,0.661,0.0675,0.6653,0.6744
2000-09-05,0.6745,0.5327,0.6653,0.6744
2000-09-06,0.5186,0.0515,0.6704,0.6903
2000-09-09,0.8274,0.1404,0.6467,0.6364
2000-09-11,0.6399,0.0587,0.6894,0.6441
2000-09-12,0.6009,0.5892,0.6894,0.6441
2000-09-28,0.983,0.5349,0.983,0.983
2000-10-03,0.882,0.3268,0.8769,0.867
2000-10-04,0.8945,0.0619,0.8627,0.8448
2000-10-05,0.8542,0.5145,0.8627,0.8448
2000-10-07,0.8202,0.8124,0.8563,0.8361
2000-10-14,1.0106,0.786,0.9523,1.0004
2000-10-15,0.894,0.0757,0.9523,1.0004
2000-10-28,0.9896,0.3891,0.9896,0.9896
2001-05-01,0.8552,0.5772,0.8552,0.8552
2001-05-07,0.8302,0.2082,0.8302,0.8302
2001-05-18,0.8753,0.0675,0.8753,0.8753
2001-05-22,0.837,0.2653,0.837,0.837
2001-05-29,0.8164,0.0898,0.8164,0.8164
2001-06-04,0.7774,0.8014,0.7774,0.7774
2001-06-13,0.7216,0.5999,0.6982,0.7118
2001-06-14,0.6749,0.1597,0.6982,0.7118
2001-07-04,0.6637,0.6873,0.6615,0.6613
2001-07-06,0.6593,0.8446,0.6615,0.6613
2001-07-13,0.6936,0.7736,0.6582,0.6846
2001-07-16,0.6228,0.1131,0.6472,0.6797
2001-07-19,0.6251,0.0787,0.6376,0.6251
2001-07-21,0.6836,0.0532,0.6153,0.6125
2001-07-22,0.6188,0.4501,0.5973,0.5878
2001-07-23,0.5336,0.0964,0.5862,0.5825
2001-07-25,0.5252,0.267,0.5594,0.5675
2001-07-26,0.5699,0.1359,0.5446,0.5443
2001-07-27,0.5496,0.4943,0.5184,0.5344
2001-07-30,0.4288,0.0938,0.4844,0.5212
2001-08-01,0.4748,0.116,0.4518,0.4542
2001-08-05,0.4504,0.6486,0.4625,0.4536
2001-08-06,0.4746,0.0995,0.4625,0.4536
2001-08-10,0.4148,0.2616,0.398,0.4003
2001-08-11,0.3496,0.1259,0.398,0.4003
2001-08-12,0.3997,0.3089,0.398,0.4003
2001-08-13,0.4281,0.1,0.4049,0.4127
2001-08-16,0.4323,0.5016,0.3885,0.4149
2001-08-17,0.3051,0.0915,0.3687,0.4127
2001-08-21,0.517,0.5407,0.517,0.517
2001-08-28,0.436,0.4676,0.422,0.4321
2001-08-29,0.4079,0.0747,0.5762,0.6616
2001-09-01,0.8848,0.5573,0.6464,0.8284
2001-09-06,0.6839,0.546,0.6839,0.6839
2001-09-10,0.8812,0.427,0.7531,0.7692
2001-09-11,0.7347,0.2223,0.7531,0.7692
2001-09-13,0.6435,0.3195,0.7747,0.795
