date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-20,0.8469,0.1342,0.8289,0.82
2000-05-21,0.8109,0.397,0.7904,0.8062
2000-05-24,0.7133,0.079,0.7621,0.7947
2000-06-07,0.7788,0.0764,0.7788,0.7788
2000-06-11,0.7693,0.1059,0.7802,0.7834
2000-06-12,0.7984,0.259,0.7802,0.7834
2000-06-13,0.7728,0.2256,0.7714,0.7783
2000-06-16,0.7449,0.0901,0.7588,0.7648
2000-06-25,0.7446,0.0614,0.7477,0.7558
2000-06-26,0.773,0.4707,0.7477,0.7558
2000-06-28,0.7256,0.2449,0.7261,0.7175
2000-07-01,0.6612,0.5293,0.6696,0.6729
2000-07-03,0.6704,0.7816,0.6509,0.6637
2000-07-04,0.6212,0.0912,0.6509,0.6637
2000-07-09,0.7394,0.068,0.6844,0.6627
2000-07-10,0.6569,0.5375,0.6585,0.652
2000-07-12,0.6568,0.3482,0.6385,0.6367
2000-07-13,0.581,0.1445,0.6151,0.63
2000-07-14,0.6221,0.2589,0.6005,0.5994
2000-07-15,0.575,0.212,0.6005,0.5994
2000-07-16,0.5989,0.0953,0.5893,0.5842
2000-07-17,0.5694,0.5982,0.5914,0.5846
2000-07-25,0.5997,0.0779,0.5997,0.5997
2000-07-29,0.4792,0.1338,0.4792,0.4792
2000-08-02,0.4898,0.4908,0.4841,0.488
2000-08-05,0.4784,0.09,0.4841,0.488
2000-08-22,0.6263,0.4761,0.5826,0.5984
2000-08-23,0.5389,0.2231,0.5826,0.5984
2000-09-02,0.8616,0.1122,0.7737,0.7445
2000-09-04,0.7312,0.0647,0.7378,0.7351
2000-09-05,0.7282,0.7532,0.7378,0.7351
2000-09-06,0.6302,0.0834,0.749,0.751
2000-09-09,0.9063,0.1839,0.762,0.8044
2000-09-11,0.7496,0.0768,0.828,0.8601
2000-09-18,0.8505,0.1095,0.8505,0.8505
2000-10-03,0.9761,0.3215,0.9411,0.9499
2000-10-04,0.9502,0.0673,0.9308,0.9254
2000-10-05,0.9404,0.6112,0.9308,0.9254
2000-10-06,0.8976,0.0503,0.9308,0.9254
2000-10-07,0.8898,0.7252,0.9195,0.9141
2000-10-14,1.0654,0.7842,1.0235,1.057
2000-10-15,0.9816,0.0879,1.0235,1.057
2000-10-28,1.086,0.4058,1.0667,1.0816
2000-10-31,1.0474,0.0521,1.0667,1.0816
2001-05-01,0.8682,0.3974,0.8682,0.8682
2001-05-07,0.8574,0.2217,0.8574,0.8574
2001-05-18,0.8968,0.0988,0.8968,0.8968
2001-05-22,0.8661,0.2682,0.8876,0.8743
2001-05-25,0.9092,0.063,0.8876,0.8743
2001-06-04,0.8116,0.5689,0.8116,0.8116
2001-06-11,0.7866,0.6199,0.7514,0.7643
2001-06-13,0.7555,0.6334,0.7514,0.7643
2001-06-14,0.7122,0.158,0.7514,0.7643
2001-07-04,0.691,0.7465,0.6973,0.6977
2001-07-06,0.7036,0.8364,0.6973,0.6977
2001-07-13,0.7551,0.794,0.6925,0.7373
2001-07-14,0.5972,0.0921,0.6925,0.7373
2001-07-16,0.7252,0.1005,0.6838,0.722
2001-07-18,0.6626,0.2051,0.7074,0.7076
2001-07-19,0.679,0.0691,0.6976,0.6823
2001-07-20,0.7189,0.5849,0.6729,0.6753
2001-07-21,0.7515,0.0642,0.6729,0.6753
2001-07-22,0.6487,0.7706,0.6604,0.6641
2001-07-23,0.5767,0.0757,0.655,0.6623
2001-07-25,0.5874,0.2646,0.6173,0.6298
2001-07-26,0.6471,0.1305,0.6095,0.6145
2001-07-27,0.6266,0.4788,0.5851,0.6087
2001-07-30,0.4795,0.0614,0.5893,0.6169
2001-08-01,0.6617,0.084,0.5817,0.5924
2001-08-04,0.6039,0.0964,0.57,0.5351
2001-08-05,0.5466,0.7244,0.547,0.5282
2001-08-06,0.5455,0.0989,0.547,0.5282
2001-08-07,0.4922,0.6225,0.5375,0.524
2001-08-10,0.4993,0.2582,0.5028,0.4969
2001-08-11,0.5264,0.1683,0.4863,0.471
2001-08-12,0.4905,0.5474,0.4863,0.471
2001-08-13,0.5055,0.1,0.4863,0.471
2001-08-14,0.4098,0.5027,0.483,0.4654
2001-08-18,0.5503,0.2924,0.5503,0.5503
2001-08-25,0.5827,0.4342,0.566,0.5666
2001-08-28,0.5493,0.4048,0.5563,0.5634
2001-08-29,0.5368,0.0989,0.6517,0.731
2001-09-01,0.8689,0.6728,0.7027,0.8092
2001-09-02,0.7023,0.124,0.8057,0.8433
2001-09-05,0.846,0.0842,0.7519,0.7195
2001-09-06,0.7075,0.7087,0.7767,0.7222
2001-09-10,0.9299,0.5071,0.8516,0.8744
2001-09-11,0.8286,0.2712,0.8516,0.8744
2001-09-12,0.7964,0.2018,0.8536,0.8672
2001-09-15,0.8595,0.9203,0.7964,0.8356
2001-09-17,0.8343,0.54,0.7855,0.8254
2001-09-18,0.6956,0.0952,0.771,0.8202
2001-09-19,0.7525,0.3262,0.7419,0.7569
2001-09-21,0.7129,0.0908,0.7581,0.8029
2001-09-22,0.714,0.7129,0.7737,0.8079
2001-09-24,0.9153,0.8728,0.7807,0.8187
2001-10-01,0.9989,0.7628,0.916,0.9439
2001-10-03,0.9052,0.6773,0.9024,0.9293
2001-10-04,0.8438,0.1569,0.9024,0.9293
2001-10-05,0.8615,0.3455,0.8962,0.9169
2001-10-08,0.9745,0.6694,0.9188,0.935
2001-10-09,0.9205,0.0735,0.9475,0.9692
2001-10-14,0.9953,0.1541,0.9953,0.9953
2001-10-26,1.0294,0.5117,1.0055,1.0103
2001-10-28,0.9815,0.3398,1.0055,1.0103
2002-05-01,0.932,0.2449,0.932,0.932
2002-05-09,0.874,0.2793,0.874,0.874
2002-05-13,0.9005,0.9013,0.8476,0.8826
2002-05-14,0.8244,0.1,0.8476,0.8826
2002-05-16,0.8178,0.1586,0.8476,0.8826
2002-05-20,0.8576,0.7214,0.8576,0.8576
2002-05-25,0.888,0.2666,0.8296,0.815
2002-05-27,0.7713,0.446,0.8296,0.815
2002-06-07,0.8332,0.5077,0.8177,0.8255
2002-06-10,0.8022,0.1686,0.8002,0.8113
2002-06-11,0.7652,0.2079,0.7837,0.7818
2002-06-15,0.7752,0.1,0.7682,0.7677
2002-06-16,0.7676,0.6744,0.7904,0.7946
2002-06-17,0.7617,0.1065,0.7904,0.7946
2002-06-19,0.8572,0.3773,0.805,0.7992
2002-06-22,0.8334,0.1,0.8129,0.8061
2002-06-23,0.7952,0.6908,0.7822,0.7788
2002-06-25,0.7656,0.3567,0.7822,0.7788
2002-06-26,0.7346,0.2747,0.7651,0.7746
2002-07-08,0.752,0.0536,0.7385,0.7273
2002-07-09,0.725,0.5723,0.7385,0.7273
2002-07-13,0.7649,0.1856,0.7649,0.7649
2002-07-19,0.6583,0.1382,0.657,0.6585
2002-07-20,0.649,0.2193,0.657,0.6585
2002-07-21,0.6638,0.405,0.657,0.6585
2002-07-27,0.7429,0.3754,0.7309,0.7151
2002-07-28,0.7855,0.1459,0.7309,0.7151
2002-07-30,0.6644,0.4078,0.7309,0.7151
2002-08-12,0.6846,0.4966,0.6664,0.6705
2002-08-13,0.6476,0.2741,0.6664,0.6705
2002-08-14,0.6671,0.2131,0.6664,0.6705
2002-08-25,0.744,0.0535,0.744,0.744
2002-08-29,0.8015,0.2569,0.8134,0.8177
2002-08-31,0.8252,0.5516,0.8134,0.8177
2002-09-04,0.8827,0.3451,0.8827,0.8827
2002-09-14,0.9307,0.2724,0.9307,0.9307
2002-09-20,1.0307,0.6794,0.9886,0.9991
2002-09-23,0.9464,0.4076,0.9468,0.9578
2002-09-25,0.8634,0.4747,0.9049,0.9017
2002-09-29,0.91,0.3522,0.91,0.91
