date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.777,0.1562,0.777,0.777
2000-05-10,0.7116,0.058,0.7116,0.7116
2000-05-15,0.7079,0.0674,0.6794,0.6558
2000-05-16,0.6509,0.7203,0.6794,0.6558
2000-05-20,0.6061,0.1488,0.5731,0.5666
2000-05-21,0.5444,0.2735,0.5731,0.5666
2000-05-22,0.5688,0.0827,0.5731,0.5666
2000-06-07,0.5891,0.0762,0.5891,0.5891
2000-06-12,0.6281,0.2794,0.5457,0.5369
2000-06-13,0.5163,0.1774,0.5323,0.5337
2000-06-15,0.4926,0.4921,0.5191,0.5091
2000-06-16,0.4921,0.0736,0.4919,0.4842
2000-06-17,0.4666,0.5908,0.4838,0.4793
2000-06-21,0.7553,0.1791,0.6374,0.6406
2000-06-22,0.5883,0.2828,0.6374,0.6406
2000-06-23,0.5686,0.0799,0.6374,0.6406
2000-07-03,0.4259,0.6027,0.4026,0.4214
2000-07-04,0.3793,0.0642,0.4026,0.4214
2000-07-09,0.4647,0.0856,0.429,0.4029
2000-07-10,0.3933,0.5525,0.4029,0.3979
2000-07-13,0.3506,0.0667,0.3679,0.3766
2000-07-14,0.3867,0.3518,0.3615,0.3651
2000-07-15,0.3334,0.2524,0.3615,0.3651
2000-07-16,0.3753,0.1371,0.3615,0.3651
2000-07-25,0.3582,0.0778,0.3359,0.3182
2000-07-28,0.3136,0.6697,0.315,0.313
2000-07-29,0.2731,0.0985,0.2934,0.3084
2000-08-23,0.2694,0.1144,0.2694,0.2694
2000-09-02,0.489,0.1176,0.4046,0.3581
2000-09-04,0.3919,0.0681,0.4046,0.3581
2000-09-05,0.333,0.7061,0.4046,0.3581
2000-09-09,0.379,0.2283,0.3341,0.3148
2000-09-11,0.3383,0.0738,0.3341,0.3148
2000-09-12,0.2851,0.5524,0.3341,0.3148
2000-09-18,0.4855,0.1216,0.4109,0.395
2000-09-19,0.3672,0.3509,0.4109,0.395
2000-09-20,0.3799,0.0812,0.4109,0.395
2000-10-02,0.5206,0.356,0.4634,0.4575
2000-10-03,0.4375,0.244,0.4574,0.4562
2000-10-04,0.4837,0.1109,0.4503,0.4423
2000-10-05,0.4118,0.4478,0.4503,0.4423
2000-10-06,0.4334,0.0696,0.4362,0.4236
2000-10-07,0.4147,0.6169,0.4359,0.4208
2000-10-14,0.5437,0.5663,0.4725,0.5262
2000-10-15,0.4013,0.0791,0.4725,0.5262
2001-05-01,0.6915,0.4768,0.6915,0.6915
2001-05-07,0.6591,0.2587,0.6591,0.6591
2001-05-12,0.7653,0.509,0.7653,0.7653
2001-05-25,0.7477,0.0861,0.699,0.6602
2001-05-26,0.6504,0.773,0.6898,0.661
2001-05-29,0.6713,0.0742,0.6853,0.6613
2001-06-01,0.7343,0.1056,0.7028,0.7083
2001-06-07,0.673,0.1145,0.6389,0.6394
2001-06-08,0.6258,0.1955,0.6269,0.6113
2001-06-10,0.6179,0.0545,0.6081,0.5769
2001-06-11,0.5908,0.5,0.5739,0.5654
2001-06-13,0.5329,0.6772,0.561,0.5564
2001-06-14,0.5022,0.0856,0.542,0.5537
2001-07-06,0.4438,0.7322,0.4438,0.4438
