date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.8152,0.2678,0.8152,0.8152
2000-05-10,0.7901,0.0915,0.7852,0.7828
2000-05-12,0.7802,0.2558,0.7852,0.7828
2000-05-20,0.8036,0.2591,0.7448,0.758
2000-05-21,0.7357,0.2939,0.7448,0.758
2000-05-22,0.6952,0.0833,0.7448,0.758
2000-06-07,0.6845,0.0875,0.6845,0.6845
2000-06-12,0.7512,0.2777,0.7001,0.6865
2000-06-15,0.6489,0.4775,0.6656,0.6762
2000-06-16,0.5967,0.0983,0.6228,0.64
2000-06-21,0.8143,0.2106,0.8143,0.8143
2000-06-25,0.7198,0.0992,0.7145,0.7108
2000-06-26,0.7092,0.542,0.7145,0.7108
2000-07-01,0.5834,0.502,0.5834,0.5834
2000-07-05,0.5504,0.4146,0.5504,0.5504
2000-07-09,0.686,0.1,0.5751,0.5337
2000-07-10,0.5362,0.5151,0.5524,0.5307
2000-07-12,0.503,0.5392,0.544,0.5261
2000-07-13,0.4842,0.0729,0.5077,0.5145
2000-07-14,0.5107,0.3639,0.4939,0.494
2000-07-16,0.5046,0.1415,0.491,0.4891
2000-07-17,0.467,0.4354,0.4738,0.4814
2000-07-18,0.4887,0.0792,0.4635,0.4643
2000-07-20,0.3978,0.0983,0.4533,0.4591
2000-07-21,0.4596,0.4781,0.4487,0.4538
2000-07-29,0.353,0.1184,0.3755,0.3844
2000-07-30,0.398,0.2735,0.3755,0.3844
2000-08-19,0.3173,0.0758,0.2934,0.2738
2000-08-20,0.2694,0.7512,0.2807,0.2705
2000-08-23,0.2555,0.1835,0.2624,0.2667
2000-09-02,0.697,0.0805,0.5753,0.473
2000-09-05,0.4536,0.9289,0.5018,0.4655
2000-09-06,0.3549,0.0683,0.4042,0.4468
2000-09-11,0.3823,0.0567,0.36,0.3419
2000-09-12,0.3377,0.5417,0.36,0.3419
2000-09-19,0.4847,0.341,0.4847,0.4847
2000-10-02,0.7461,0.2952,0.7244,0.7271
2000-10-03,0.7027,0.2288,0.6836,0.7163
2000-10-06,0.6021,0.05,0.6524,0.6847
2000-10-14,0.7947,0.503,0.7313,0.7383
2000-10-15,0.6991,0.0958,0.7313,0.7383
2000-10-16,0.7001,0.6435,0.7313,0.7383
2000-10-31,0.7304,0.0837,0.7304,0.7304
2001-05-01,0.8136,0.6422,0.8136,0.8136
2001-05-07,0.7698,0.2707,0.7698,0.7698
2001-05-25,0.8246,0.1,0.8052,0.79
2001-05-26,0.7859,0.8454,0.8052,0.79
2001-06-13,0.6509,0.7431,0.6509,0.6509
2001-07-06,0.536,0.6619,0.536,0.536
2001-07-13,0.5303,0.7222,0.5237,0.5342
2001-07-15,0.5446,0.5884,0.5237,0.5342
2001-07-16,0.4961,0.0875,0.52,0.5328
2001-07-19,0.5091,0.0782,0.4977,0.4911
2001-07-22,0.4879,0.5836,0.4708,0.4732
2001-07-24,0.4613,0.4609,0.4456,0.4525
2001-07-25,0.4247,0.1218,0.4481,0.4526
2001-07-27,0.4084,0.4847,0.4288,0.4177
2001-07-28,0.4582,0.0517,0.4206,0.4029
2001-07-29,0.3912,0.6992,0.4193,0.4008
2001-08-02,0.4055,0.2499,0.3851,0.3713
2001-08-04,0.414,0.1608,0.3705,0.3561
2001-08-05,0.3358,0.4332,0.3705,0.3561
2001-08-06,0.3614,0.1,0.3618,0.347
2001-08-07,0.3359,0.6606,0.3497,0.3409
2001-08-10,0.3015,0.2113,0.3227,0.3267
2001-08-11,0.3358,0.2636,0.3194,0.3199
2001-08-12,0.3183,0.3284,0.3194,0.3199
2001-08-13,0.3222,0.1,0.3157,0.3114
2001-08-16,0.3006,0.7074,0.3114,0.3033
2001-08-29,0.399,0.065,0.5896,0.7503
2001-09-01,0.7801,0.7658,0.6141,0.7417
2001-09-02,0.6633,0.0906,0.7376,0.768
2001-09-05,0.7695,0.1549,0.6552,0.6507
2001-09-06,0.6302,0.5373,0.6526,0.6493
2001-09-07,0.558,0.0917,0.68,0.6891
2001-09-10,0.7623,0.4263,0.6129,0.6578
2001-09-11,0.599,0.1987,0.6312,0.669
2001-09-12,0.5323,0.1893,0.6504,0.6871
2001-09-15,0.708,0.7035,0.6202,0.6707
2001-09-19,0.5087,0.2677,0.4892,0.4853
2001-09-22,0.4696,0.3973,0.4892,0.4853
2001-10-01,0.8142,0.7539,0.7249,0.7487
2001-10-02,0.7201,0.1,0.7249,0.7487
2001-10-03,0.6906,0.6587,0.7249,0.7487
2001-10-04,0.6746,0.1107,0.7249,0.7487
2001-10-08,0.7563,0.6317,0.6718,0.698
2001-10-09,0.6697,0.0567,0.6718,0.698
2001-10-10,0.6501,0.6304,0.6718,0.698
2001-10-11,0.6111,0.0575,0.6718,0.698
