date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.7725,0.2074,0.7725,0.7725
2000-05-20,0.6785,0.1825,0.6189,0.622
2000-05-21,0.5948,0.2559,0.6189,0.622
2000-05-22,0.5834,0.0868,0.6189,0.622
2000-06-12,0.556,0.231,0.5149,0.4977
2000-06-15,0.4738,0.5635,0.4902,0.4799
2000-06-16,0.4777,0.0824,0.4683,0.4649
2000-06-17,0.4533,0.5232,0.4683,0.4649
2000-06-21,0.7433,0.1643,0.7433,0.7433
2000-06-25,0.5722,0.0537,0.518,0.4976
2000-06-26,0.5071,0.4064,0.518,0.4976
2000-06-28,0.4746,0.3405,0.518,0.4976
2000-07-03,0.3923,0.6043,0.3968,0.3953
2000-07-05,0.4014,0.2939,0.3968,0.3953
2000-07-09,0.4779,0.0809,0.405,0.3772
2000-07-10,0.3814,0.5603,0.3924,0.3758
2000-07-12,0.3557,0.4872,0.3766,0.3664
2000-07-13,0.3548,0.0759,0.3584,0.3613
2000-07-14,0.3668,0.2114,0.3538,0.3516
2000-07-15,0.3233,0.2635,0.3538,0.3516
2000-07-16,0.3683,0.1234,0.3533,0.3487
2000-07-20,0.3057,0.0574,0.3011,0.3084
2000-07-21,0.32,0.3713,0.3011,0.3084
2000-07-22,0.2777,0.1359,0.3011,0.3084
2000-07-27,0.2785,0.0802,0.2834,0.2957
2000-07-28,0.2976,0.745,0.2834,0.2957
2000-07-29,0.25,0.0944,0.2834,0.2957
2000-07-30,0.3076,0.3556,0.2834,0.2957
2000-09-04,0.423,0.0758,0.3468,0.3478
2000-09-05,0.3452,0.6345,0.3468,0.3478
2000-09-06,0.2722,0.0537,0.3507,0.3505
2000-09-09,0.3625,0.1725,0.3064,0.2899
2000-09-11,0.329,0.0809,0.3178,0.2912
2000-09-12,0.262,0.5272,0.3178,0.2912
2000-09-18,0.4753,0.0873,0.4155,0.3775
2000-09-19,0.3557,0.392,0.4155,0.3775
2000-09-28,0.5265,0.4356,0.5265,0.5265
2000-10-02,0.4816,0.321,0.4111,0.4033
2000-10-03,0.4061,0.294,0.4111,0.4033
2000-10-04,0.4323,0.081,0.3936,0.3761
2000-10-05,0.3243,0.3583,0.3936,0.3761
2000-10-07,0.3236,0.5449,0.3601,0.3328
2000-10-14,0.4481,0.7069,0.4168,0.442
2000-10-15,0.3854,0.0758,0.4168,0.442
2000-10-28,0.3969,0.3866,0.3969,0.3969
2001-05-01,0.6606,0.5106,0.6606,0.6606
2001-05-07,0.6616,0.2704,0.6616,0.6616
2001-05-25,0.7695,0.0954,0.7149,0.6724
2001-05-26,0.6603,0.7648,0.7149,0.6724
2001-06-04,0.6223,0.5697,0.6223,0.6223
2001-06-10,0.609,0.086,0.56,0.5392
2001-06-11,0.552,0.6812,0.56,0.5392
2001-06-13,0.5189,0.7278,0.56,0.5392
2001-07-06,0.4066,0.8342,0.4066,0.4066
2001-07-13,0.3914,0.5872,0.3869,0.3959
2001-07-15,0.4102,0.4079,0.385,0.3926
2001-07-16,0.3591,0.0861,0.3878,0.3932
2001-07-17,0.3794,0.2689,0.3869,0.3944
2001-07-19,0.3989,0.1457,0.3667,0.3507
2001-07-22,0.3295,0.7273,0.3369,0.3337
2001-07-23,0.3263,0.0963,0.3214,0.327
2001-07-24,0.3361,0.4327,0.3166,0.3204
2001-07-25,0.2939,0.1705,0.3166,0.3204
2001-07-27,0.2972,0.41,0.2961,0.2995
2001-07-29,0.2854,0.7954,0.2834,0.288
2001-07-30,0.2677,0.0853,0.2907,0.2923
2001-08-02,0.3125,0.2796,0.3073,0.3016
2001-08-04,0.357,0.0921,0.3183,0.3054
2001-08-05,0.2918,0.5396,0.3183,0.3054
2001-08-06,0.3119,0.1,0.3202,0.3028
2001-08-10,0.2662,0.1801,0.2765,0.2703
2001-08-11,0.305,0.1868,0.2765,0.2703
2001-08-12,0.2494,0.3321,0.2765,0.2703
2001-08-13,0.2853,0.0824,0.2755,0.2708
2001-08-16,0.2714,0.6525,0.2784,0.273
2001-08-21,0.2934,0.4919,0.2934,0.2934
2001-08-27,0.4051,0.1546,0.4051,0.4051
2001-09-01,0.5625,0.6643,0.4866,0.55
2001-09-02,0.4107,0.0595,0.4921,0.5446
2001-09-05,0.5032,0.0951,0.4296,0.3937
2001-09-06,0.3748,0.6047,0.439,0.3922
2001-09-10,0.4953,0.3044,0.4091,0.4259
2001-09-11,0.3551,0.1265,0.4091,0.4259
2001-09-12,0.3768,0.2485,0.4036,0.4074
2001-09-15,0.3874,0.6278,0.3621,0.3789
2001-09-18,0.3221,0.0851,0.3694,0.3761
2001-09-19,0.3534,0.2878,0.3634,0.3611
2001-09-21,0.4146,0.1037,0.3634,0.3611
2001-10-02,0.4491,0.078,0.4024,0.4059
2001-10-03,0.4286,0.4431,0.4024,0.4059
2001-10-04,0.3542,0.0848,0.4024,0.4059
2001-10-05,0.3777,0.3208,0.3988,0.3986
2001-10-08,0.3845,0.4755,0.3459,0.3541
2001-10-09,0.4343,0.0537,0.3379,0.3473
2001-10-10,0.3228,0.5286,0.3379,0.3473
2001-10-11,0.21,0.0684,0.3379,0.3473
2001-10-27,0.4044,0.0729,0.4756,0.5011
2001-10-29,0.5468,0.1543,0.4756,0.5011
2002-05-01,0.6968,0.2944,0.6637,0.6713
2002-05-02,0.6306,0.1841,0.6637,0.6713
2002-05-13,0.6272,0.6881,0.6083,0.6208
2002-05-14,0.6084,0.0941,0.6083,0.6208
2002-05-16,0.5894,0.1017,0.6083,0.6208
2002-05-20,0.6715,0.4596,0.641,0.6324
2002-05-22,0.6104,0.8179,0.641,0.6324
2002-05-26,0.6201,0.1604,0.5905,0.5779
2002-05-27,0.5609,0.3987,0.5905,0.5779
2002-06-04,0.6565,0.1529,0.6565,0.6565
2002-06-10,0.6197,0.1211,0.6068,0.6036
2002-06-11,0.594,0.2043,0.6068,0.6036
2002-06-15,0.5919,0.0809,0.5758,0.5633
2002-06-16,0.5597,0.6393,0.5758,0.5633
2002-06-22,0.6084,0.1,0.5524,0.5466
2002-06-23,0.5429,0.7569,0.5304,0.5319
2002-06-24,0.506,0.0838,0.5304,0.5319
2002-06-26,0.4644,0.2042,0.5044,0.5246
2002-07-07,0.4519,0.4199,0.4567,0.4408
2002-07-08,0.491,0.0662,0.4567,0.4408
2002-07-09,0.4271,0.5809,0.4567,0.4408
2002-07-19,0.3585,0.098,0.3866,0.3998
2002-07-20,0.4148,0.2697,0.3866,0.3998
2002-07-27,0.4453,0.4298,0.4033,0.4106
2002-07-28,0.3946,0.1125,0.4033,0.4106
2002-07-29,0.4232,0.189,0.4033,0.4106
2002-07-30,0.35,0.2553,0.4033,0.4106
2002-08-12,0.3663,0.3732,0.3445,0.3502
2002-08-13,0.3077,0.2002,0.3445,0.3502
2002-08-14,0.3594,0.2697,0.3445,0.3502
2002-08-30,0.4204,0.1681,0.3796,0.3662
2002-08-31,0.3389,0.3332,0.3796,0.3662
2002-09-06,0.4296,0.3051,0.366,0.3757
2002-09-07,0.3025,0.2243,0.366,0.3757
2002-09-20,0.5739,0.6938,0.489,0.511
2002-09-22,0.494,0.3288,0.489,0.511
2002-09-23,0.3992,0.3405,0.489,0.511
2002-10-05,0.5001,0.0846,0.4692,0.4697
2002-10-06,0.4696,0.6017,0.4692,0.4697
2002-10-07,0.4379,0.0796,0.4692,0.4697
2002-10-11,0.3755,0.5729,0.337,0.3327
2002-10-13,0.2985,0.7177,0.337,0.3327
2002-10-17,0.4511,0.1699,0.4084,0.3956
2002-10-18,0.3658,0.3172,0.4084,0.3956
2002-10-22,0.4661,0.4847,0.4416,0.4463
2002-10-24,0.4171,0.3276,0.4224,0.4197
2002-10-27,0.384,0.6051,0.4006,0.3956
2003-05-01,0.6244,0.1,0.6155,0.6168
2003-05-02,0.625,0.6636,0.6155,0.6168
2003-05-04,0.597,0.3149,0.6155,0.6168
2003-05-10,0.6063,0.0838,0.587,0.5888
2003-05-11,0.602,0.4284,0.5778,0.5732
2003-05-12,0.5612,0.1729,0.5768,0.5732
2003-05-13,0.5784,0.2251,0.5768,0.5732
2003-05-14,0.5411,0.4412,0.571,0.5711
2003-05-15,0.5721,0.0985,0.5632,0.557
2003-05-21,0.5213,0.3486,0.524,0.5193
2003-05-23,0.513,0.4017,0.5136,0.5039
2003-05-24,0.5377,0.1,0.5136,0.5039
2003-05-25,0.4823,0.6076,0.511,0.4984
2003-06-02,0.6369,0.0633,0.6224,0.6107
2003-06-03,0.6078,0.573,0.6273,0.6189
2003-06-06,0.6371,0.2877,0.5885,0.5852
2003-06-07,0.5915,0.0833,0.5635,0.542
2003-06-08,0.5175,0.4195,0.5416,0.5372
2003-06-10,0.5079,0.6231,0.5142,0.5098
2003-06-11,0.4542,0.0809,0.4948,0.5054
2003-06-12,0.4998,0.4391,0.4836,0.4957
2003-06-15,0.4726,0.2616,0.5213,0.4984
2003-06-18,0.5915,0.0655,0.5074,0.4796
2003-06-21,0.4582,0.2566,0.5248,0.4853
