date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.7704,0.271,0.7704,0.7704
2000-05-12,0.6666,0.1687,0.6666,0.6666
2000-05-21,0.6356,0.3231,0.624,0.6304
2000-05-22,0.6124,0.0936,0.624,0.6304
2000-06-07,0.5893,0.0522,0.5893,0.5893
2000-06-13,0.5469,0.1943,0.541,0.5458
2000-06-15,0.5491,0.4092,0.541,0.5458
2000-06-16,0.527,0.0828,0.541,0.5458
2000-07-09,0.4727,0.0856,0.4416,0.4198
2000-07-10,0.4104,0.4792,0.4085,0.4111
2000-07-13,0.3424,0.0718,0.3832,0.3974
2000-07-14,0.3922,0.2521,0.3698,0.3697
2000-07-16,0.3876,0.0973,0.3698,0.3697
2000-07-17,0.3571,0.4362,0.379,0.3721
2000-07-25,0.3519,0.0549,0.3519,0.3519
2000-07-29,0.2566,0.0791,0.2566,0.2566
2000-08-20,0.256,0.5082,0.256,0.256
2000-09-02,0.4877,0.1071,0.3918,0.3218
2000-09-05,0.2959,0.6852,0.3918,0.3218
2000-09-11,0.2952,0.0751,0.2952,0.2952
2000-10-03,0.4721,0.2389,0.4721,0.4721
2000-10-14,0.6239,0.4815,0.5154,0.5549
2000-10-15,0.4126,0.0877,0.5154,0.5549
2000-10-16,0.5098,0.4593,0.5154,0.5549
2001-05-07,0.7006,0.2568,0.7006,0.7006
2001-05-22,0.6798,0.1515,0.7358,0.7216
2001-05-25,0.7918,0.0903,0.721,0.6986
2001-05-26,0.6915,0.7791,0.7416,0.7019
2001-06-13,0.5563,0.5955,0.5179,0.5466
2001-06-14,0.4795,0.0862,0.5179,0.5466
2001-07-06,0.4584,0.585,0.4584,0.4584
2001-07-15,0.4585,0.5248,0.4144,0.4453
2001-07-16,0.3703,0.0923,0.4144,0.4453
2001-07-22,0.3784,0.7411,0.3646,0.3744
2001-07-24,0.3838,0.3741,0.3623,0.368
2001-07-25,0.3316,0.1522,0.3623,0.368
2001-07-26,0.3782,0.1648,0.3582,0.3606
2001-07-27,0.3393,0.3381,0.3582,0.3606
2001-08-02,0.3347,0.2259,0.3236,0.3186
2001-08-05,0.3124,0.5852,0.324,0.3116
2001-08-06,0.3526,0.0945,0.3204,0.3076
2001-08-07,0.2961,0.6144,0.3032,0.302
2001-08-10,0.2517,0.1447,0.2928,0.2916
2001-08-11,0.3157,0.1871,0.2865,0.278
